,those
1956,0.0006159216864034534
1957,0.0005997541593387723
1958,0.000598271784838289
1959,0.0005882075056433678
1960,0.0005963393487036228
1961,0.0005939878174103796
1962,0.0005912393098697066
1963,0.0005944219301454723
1964,0.0005992466467432678
1965,0.0006036190316081047
1966,0.0006116333534009755
1967,0.0006139815668575466
1968,0.0006295991479419172
1969,0.0006365668959915638
1970,0.0006276576314121485
1971,0.0006342526176013052
1972,0.0006182716460898519
1973,0.0006106015644036233
1974,0.0006197846378199756
1975,0.0006197708426043391
1976,0.0006165728555060923
1977,0.000618567515630275
1978,0.0006101583712734282
1979,0.0006103994091972709
1980,0.0006144275539554656
1981,0.0005946148303337395
1982,0.0005978241097182035
1983,0.0006021276349201798
1984,0.0005917198141105473
1985,0.0005827064742334187
1986,0.0005864705890417099
1987,0.0005783603992313147
1988,0.0005829340079799294
1989,0.000567517476156354
1990,0.000572818098589778
1991,0.0005663898191414773
1992,0.0005684939096681774
1993,0.0005610429798252881
1994,0.0005609851214103401
1995,0.0005532694049179554
1996,0.0005660057067871094
1997,0.0005677771987393498
1998,0.0005706730298697948
1999,0.0005718698375858366
2000,0.0005729711265303195
2001,0.0005672242841683328
2002,0.0005762704531662166
2003,0.0005842855898663402
2004,0.0005860864766873419
2005,0.0005833238828927279
2006,0.0005890054744668305
2007,0.0005884435377083719
2008,0.0005953980144113302
2009,0.0005987905315123498
2010,0.000596032477915287
2011,0.0005749967531301081
2012,0.0005591171211563051
2013,0.0005746337701566517
2014,0.0005724726943299174
2015,0.0005762662040069699
2016,0.000575014972127974
2017,0.0005747381364926696
2018,0.000580754189286381
2019,0.0005696239531971514
