,de
1800,0.00030694095767103136
1801,0.0002869402233045548
1802,0.00029204730526544154
1803,0.0002786841068882495
1804,0.00028910860419273376
1805,0.00034100268385373056
1806,0.00037352537037804723
1807,0.00034222714020870626
1808,0.0003280625387560576
1809,0.00029229631763882935
1810,0.00036575490958057344
1811,0.0003181288775522262
1812,0.00031171971932053566
1813,0.00027388290618546307
1814,0.00035549269523471594
1815,0.0002990964276250452
1816,0.0003011412045452744
1817,0.0003424299356993288
1818,0.0002857988001778722
1819,0.00029420119244605303
1820,0.0002863862318918109
1821,0.0002684085338842124
1822,0.0002672214759513736
1823,0.0003055281995330006
1824,0.0003159864863846451
1825,0.0003318974922876805
1826,0.0003087302902713418
1827,0.0003404853923711926
1828,0.00027210748521611094
1829,0.0003364061994943768
1830,0.00029401647043414414
1831,0.0002669550012797117
1832,0.00020755086734425277
1833,0.0002581299631856382
1834,0.000263589812675491
1835,0.0002706884406507015
1836,0.0002611275122035295
1837,0.0003011541557498276
1838,0.00029184078448452055
1839,0.00029722583713009953
1840,0.00030219124164432287
1841,0.0002724188088905066
1842,0.0002759553026407957
1843,0.0002687180822249502
1844,0.00028701682458631694
1845,0.00028869349625892937
1846,0.00029328916571103036
1847,0.00031470193061977625
1848,0.0002957844117190689
1849,0.0003107906086370349
1850,0.00026530036120675504
1851,0.0002504083968233317
1852,0.00025009585078805685
1853,0.0002576923870947212
1854,0.0002671927213668823
1855,0.00027708514244295657
1856,0.0002607894130051136
1857,0.00029632309451699257
1858,0.00029560920665971935
1859,0.00028072664281353354
1860,0.00024595207651145756
1861,0.0002794535830616951
1862,0.00026576468371786177
1863,0.0002652934635989368
1864,0.0002819056389853358
1865,0.00025741138961166143
1866,0.00024530530208721757
1867,0.0002527277683839202
1868,0.00024709038552828133
1869,0.0002594845136627555
1870,0.00024725758703425527
1871,0.00022174863261170685
1872,0.00023245798365678638
1873,0.0002638338482938707
1874,0.00024018918338697404
1875,0.0002457398222759366
1876,0.00022285130398813635
1877,0.00024228132679127157
1878,0.0002289769909111783
1879,0.00023768827668391168
1880,0.0002460572577547282
1881,0.00023694438277743757
1882,0.00023615955433342606
1883,0.0002597637358121574
1884,0.00021837947133462876
1885,0.0002449562889523804
1886,0.00026465405244380236
1887,0.00024347746511921287
1888,0.00024221959756687284
1889,0.0002390589943388477
1890,0.000231945829000324
1891,0.0002671578840818256
1892,0.0002366708795307204
1893,0.00025220392853952944
1894,0.00023849325953051448
1895,0.00024216485326178372
1896,0.00025487388484179974
1897,0.00023505986609961838
1898,0.00026665200130082667
1899,0.00025154929608106613
1900,0.00028092527645640075
1901,0.0002809246361721307
1902,0.0002592780801933259
1903,0.00023276051797438413
1904,0.0002500418049748987
1905,0.00023638163111172616
1906,0.00023421584046445787
1907,0.00022068823454901576
1908,0.00022894999710842967
1909,0.00020494179625529796
1910,0.0002191609819419682
1911,0.00020723907800856978
1912,0.00018998580344486982
1913,0.00019299132691230625
1914,0.00018216126773040742
1915,0.000156582857016474
1916,0.00015228749543894082
1917,0.00015186033851932734
1918,0.00015076418640092015
1919,0.00015019216516520828
1920,0.000164802186191082
1921,0.00016581363161094487
1922,0.00017695885617285967
1923,0.00018712380551733077
1924,0.0002019682142417878
1925,0.00020694250997621566
1926,0.00022707371681462973
1927,0.00021594784629996866
1928,0.00020086193399038166
1929,0.0002155454712919891
1930,0.00020147567556705326
1931,0.0002158330607926473
1932,0.00022291346976999193
1933,0.00019391434034332633
1934,0.0002090160414809361
1935,0.00020597178081516176
1936,0.00020078540546819568
1937,0.00020961974223610014
1938,0.0001920086215250194
1939,0.00017290010873693973
1940,0.00018988162628374994
1941,0.00017727495287545025
1942,0.00017352838767692447
1943,0.00017333343566861004
1944,0.00016629751189611852
1945,0.00019500429334584624
1946,0.00017525596194900572
1947,0.0001780262973625213
1948,0.00018800947873387486
1949,0.00018287607235834002
1950,0.00019021570915356278
1951,0.0001896209578262642
1952,0.00018719735089689493
1953,0.00018959882436320186
1954,0.0001985936105484143
1955,0.00019179802620783448
1956,0.0001903719239635393
1957,0.00018307399295736104
1958,0.00019826019706670195
1959,0.00019767912453971803
1960,0.00020510137255769223
1961,0.00020178758131805807
1962,0.00020752249110955745
1963,0.0002174171677324921
1964,0.00022391938546206802
1965,0.00023092165065463632
1966,0.00023137254174798727
1967,0.00024575318093411624
1968,0.0002268649695906788
1969,0.00022052080021239817
1970,0.00022105583047959954
1971,0.00024130380188580602
1972,0.0002307992399437353
1973,0.00021566057694144547
1974,0.00021223419753368944
1975,0.00020380562637001276
1976,0.00020509235037025064
1977,0.00020111036428716034
1978,0.00020343746291473508
1979,0.0002093975490424782
1980,0.00021968421060591936
1981,0.000208335550269112
1982,0.00021043189917691052
1983,0.00021057821868453175
1984,0.0002127803018083796
1985,0.00021627891692332923
1986,0.00021588797972071916
1987,0.00021481167641468346
1988,0.00021936462144367397
1989,0.0002239390159957111
1990,0.0002144781465176493
1991,0.00022097016335465014
1992,0.0002288097603013739
1993,0.0002305977832293138
1994,0.000227914031711407
1995,0.00021831117919646204
1996,0.00023347476962953806
1997,0.00022573777823708951
1998,0.00021956473938189447
1999,0.00022366731718648225
2000,0.00021705454855691642
2001,0.00022438308224081993
2002,0.0002084746811306104
2003,0.0002158737333957106
2004,0.00021714942704420537
2005,0.0002161534794140607
2006,0.00021918983838986605
2007,0.00021754011686425656
2008,0.00020546605810523033
2009,0.00019562833767849952
2010,0.00020524977298919111
2011,0.0001879059273051098
2012,0.00020550603221636266
2013,0.00022332578373607248
2014,0.00020416881307028234
2015,0.00021859539265278727
2016,0.00023835765023250133
2017,0.00033515490940771997
2018,0.00040137942414730787
2019,0.0002558262785896659
