,however
1800,0.000408327323384583
1801,0.0004466187965590507
1802,0.0004712094378191978
1803,0.0004105771076865494
1804,0.0005090977647341788
1805,0.00048094952944666147
1806,0.00045001425314694643
1807,0.00045050986227579415
1808,0.0003819077101070434
1809,0.0004275645478628576
1810,0.00041127746226266026
1811,0.00040236112545244396
1812,0.00046446529449895024
1813,0.00043598166666924953
1814,0.0004763162287417799
1815,0.00046669182484038174
1816,0.0004215273365844041
1817,0.000480661605251953
1818,0.00047613936476409435
1819,0.0004617045633494854
1820,0.0004660169070120901
1821,0.00046159737394191325
1822,0.000440875010099262
1823,0.00046851206570863724
1824,0.0004847859381698072
1825,0.0004714456445071846
1826,0.0004542084061540663
1827,0.00047918304335325956
1828,0.00047691864892840385
1829,0.0004799639864359051
1830,0.0004936144687235355
1831,0.0004939857171848416
1832,0.00043405196629464626
1833,0.0004963226965628564
1834,0.00048362373490817845
1835,0.0004830710240639746
1836,0.0004783944459632039
1837,0.00046465275227092206
1838,0.0004814885323867202
1839,0.0004569118900690228
1840,0.00045233117998577654
1841,0.00046130557893775403
1842,0.0004697545664384961
1843,0.0004417835734784603
1844,0.0004486704710870981
1845,0.0004581883258651942
1846,0.00045379207585938275
1847,0.0004619829123839736
1848,0.00045066059101372957
1849,0.00045706485980190337
1850,0.0004289905773475766
1851,0.0004349081718828529
1852,0.000433730281656608
1853,0.0004332169482950121
1854,0.0004419843025971204
1855,0.00044111270108260214
1856,0.0004328459035605192
1857,0.00042451859917491674
1858,0.0004249702033121139
1859,0.00041597438394092023
1860,0.00041201073327101767
1861,0.00041363100172020495
1862,0.0004114577313885093
1863,0.0004144806880503893
1864,0.00039508609916083515
1865,0.00039896811358630657
1866,0.00038398083415813744
1867,0.00038104987470433116
1868,0.0003791838535107672
1869,0.00037932253326289356
1870,0.0003803976287599653
1871,0.0003834306262433529
1872,0.0003783428983297199
1873,0.00038955057971179485
1874,0.0003774245851673186
1875,0.0003849466156680137
1876,0.00038290699012577534
1877,0.0003730733587872237
1878,0.00037542448262684047
1879,0.00037149092531763017
1880,0.00037614803295582533
1881,0.000369784829672426
1882,0.0003662399249151349
1883,0.0003722098481375724
1884,0.00036247490788809955
1885,0.00036316082696430385
1886,0.00035475887125357985
1887,0.0003476006386335939
1888,0.00034598264028318226
1889,0.0003419063868932426
1890,0.0003583202778827399
1891,0.000347883760696277
1892,0.0003480763698462397
1893,0.00035042528179474175
1894,0.0003485704946797341
1895,0.0003400559944566339
1896,0.0003450275107752532
1897,0.00033581836032681167
1898,0.00034383879392407835
1899,0.0003310727479401976
1900,0.0003392397193238139
1901,0.00032984346034936607
1902,0.0003441649314481765
1903,0.00033769861329346895
1904,0.0003359679540153593
1905,0.00033783295657485723
1906,0.0003344550495967269
1907,0.0003346979501657188
1908,0.0003365794545970857
1909,0.00032972742337733507
1910,0.0003443766327109188
1911,0.0003457231796346605
1912,0.00033064058516174555
1913,0.0003299037052784115
1914,0.00032987268059514463
1915,0.0003271910536568612
1916,0.00032246907358057797
1917,0.0003204014792572707
1918,0.00032124275458045304
1919,0.00032309110974892974
1920,0.00033443342545069754
1921,0.00033223224454559386
1922,0.000342020473908633
1923,0.00033164446358568966
1924,0.00032796745654195547
1925,0.00033029765472747386
1926,0.00033865816658362746
1927,0.0003314664354547858
1928,0.0003339900868013501
1929,0.0003306778089608997
1930,0.0003332555352244526
1931,0.00032878792262636125
1932,0.0003358113463036716
1933,0.00033748443820513785
1934,0.0003359824186190963
1935,0.0003268533037044108
1936,0.0003306512371636927
1937,0.00033026235178112984
1938,0.00033227811218239367
1939,0.0003234458272345364
1940,0.00032289072987623513
1941,0.000316652178298682
