,if
1901,0.0011120912386104465
1902,0.0011100900592282414
1903,0.0011087526800110936
1904,0.001106883049942553
1905,0.0010791777167469263
1906,0.0011057201772928238
1907,0.0010865407530218363
1908,0.0010953551391139627
1909,0.0011028078151866794
1910,0.001072213752195239
1911,0.0010704363230615854
1912,0.0010837895097211003
1913,0.0010639039101079106
1914,0.0010683214059099555
1915,0.0010322951711714268
1916,0.0010536094196140766
1917,0.0010402685729786754
1918,0.0010434130672365427
1919,0.0010489182313904166
1920,0.0010472950525581837
1921,0.001032052794471383
1922,0.0010402409825474024
1923,0.0010054694721475244
1924,0.0010265088640153408
1925,0.0009750194731168449
1926,0.0009989218087866902
1927,0.0009621413773857057
1928,0.0009681459050625563
1929,0.0009541791514493525
1930,0.000958976976107806
1931,0.0009510181262157857
1932,0.0009604764636605978
1933,0.0009356772061437368
1934,0.0009617445757612586
1935,0.0009613020229153335
1936,0.0009656930342316628
1937,0.0009319345117546618
1938,0.0009512198157608509
1939,0.0009705281700007617
1940,0.0009408455807715654
1941,0.0009401466231793165
1942,0.0009586609667167068
1943,0.000972566835116595
1944,0.0009665856487117708
1945,0.0009794821962714195
1946,0.0009821027051657438
1947,0.0009910360677167773
1948,0.0009866975015029311
1949,0.000949630222748965
1950,0.0009513444383628666
1951,0.0009658447233960032
1952,0.0009998485911637545
1953,0.0009584429208189249
1954,0.0009535942226648331
1955,0.0009656117763370275
1956,0.0009506935020908713
1957,0.000959074473939836
1958,0.0009480251464992762
1959,0.0009282780811190605
1960,0.0009243833483196795
1961,0.0009418315603397787
1962,0.0009229539427906275
1963,0.0009357978124171495
1964,0.0009190758573822677
1965,0.0009314715280197561
1966,0.000944571802392602
1967,0.0009419002453796566
1968,0.000942021666560322
1969,0.0009493705001659691
1970,0.0009416656685061753
1971,0.0009359793621115386
1972,0.0009225246612913907
1973,0.000897755497135222
1974,0.0009135639411397278
1975,0.0009107177029363811
1976,0.0008920877589844167
1977,0.0008865380077622831
1978,0.0008766866521909833
1979,0.000883724947925657
1980,0.0008669184171594679
1981,0.0008611425291746855
1982,0.0008795858593657613
1983,0.0008959603728726506
1984,0.0008693950949236751
1985,0.000857131031807512
1986,0.0008752403082326055
1987,0.0008783864323049784
1988,0.0008900960092432797
1989,0.0008671300602145493
1990,0.0008762385114096105
1991,0.0008836915949359536
1992,0.0008936782833188772
1993,0.0008796401089057326
1994,0.0008813547319732606
1995,0.0008940550033003092
1996,0.0009017335250973701
1997,0.0009299976518377662
1998,0.0009380291448906064
1999,0.0009502142202109098
2000,0.0009781363187357783
2001,0.0009860617574304342
2002,0.0010003873612731695
2003,0.0010232942877337337
2004,0.0010279080597683787
2005,0.0010315780527889729
2006,0.0010608190204948187
2007,0.0010750088840723038
2008,0.0011283291969448328
2009,0.0011871230090036988
2010,0.0012049527140334249
2011,0.0012452175142243505
2012,0.0011994742089882493
2013,0.0011765359668061137
2014,0.0012959189480170608
2015,0.0012887694174423814
2016,0.0012015152024105191
2017,0.0012536410940811038
2018,0.0012511176755651832
2019,0.0012596601154655218
