,about
1800,0.0006882351008243859
1801,0.0006504893535748124
1802,0.0005920176045037806
1803,0.0005561319994740188
1804,0.0005635091802105308
1805,0.0005914830253459513
1806,0.0005734612932428718
1807,0.0006111304392106831
1808,0.0006004130700603127
1809,0.000682842219248414
1810,0.0006385475862771273
1811,0.0005991551443003118
1812,0.0005873715272173285
1813,0.0006610099226236343
1814,0.0006339781102724373
1815,0.0006563271745108068
1816,0.0006375839002430439
1817,0.0006455467082560062
1818,0.0006347529124468565
1819,0.0006865191389806569
1820,0.0006509622908197343
1821,0.0006172327557578683
1822,0.0006646318361163139
1823,0.0006366352317854762
1824,0.0006904444890096784
1825,0.000640103651676327
1826,0.0006130910478532314
1827,0.0006321163382381201
1828,0.0006395499804057181
1829,0.0006723080878145993
1830,0.0006461562006734312
1831,0.0006375788361765444
1832,0.0007059459458105266
1833,0.0006640536594204605
1834,0.0006641008658334613
1835,0.0006739333621226251
1836,0.0006627179682254791
1837,0.0006691886810585856
1838,0.0006925857742317021
1839,0.0006755483918823302
1840,0.0006713674520142376
1841,0.0006827866309322417
1842,0.0007117714849300683
1843,0.0006812904612161219
1844,0.0006758543895557523
1845,0.0006926828064024448
1846,0.0006573466234840453
1847,0.0006741874967701733
1848,0.0006777974194847047
1849,0.0006799192633479834
1850,0.0006811424973420799
1851,0.0006795314839109778
1852,0.0006991244736127555
1853,0.0006985363434068859
1854,0.0007022785721346736
1855,0.0007045378442853689
1856,0.0007112081511877477
1857,0.0007212574128061533
1858,0.0007029718835838139
1859,0.0007161982357501984
1860,0.0007260512211360037
1861,0.0007277224212884903
1862,0.0007555915508419275
1863,0.0007540061487816274
1864,0.0007391441613435745
1865,0.0007642628042958677
1866,0.0007528493879362941
1867,0.0007608671439811587
1868,0.0007674004882574081
1869,0.0007891306304372847
1870,0.0007752628880552948
1871,0.0007640848634764552
1872,0.0008183449972420931
1873,0.000781498325522989
1874,0.0008010856690816581
1875,0.0007857909076847136
1876,0.0008232764666900039
1877,0.0008065142319537699
1878,0.0008125963504426181
1879,0.0008118485566228628
1880,0.0008250215323641896
1881,0.0008003924158401787
1882,0.0008408050634898245
1883,0.0008276979206129909
1884,0.0008359396015293896
1885,0.0008427224238403141
1886,0.0008293798309750855
1887,0.0008141128928400576
1888,0.0008190548396669328
1889,0.0008444971754215658
1890,0.0008456300711259246
1891,0.0008583994349464774
1892,0.0008469671010971069
1893,0.0008415465126745403
1894,0.0008537675603292882
1895,0.0008513861102983356
1896,0.0008410306763835251
1897,0.0008274847059510648
1898,0.000841774046421051
1899,0.0008494507637806237
1900,0.0008713104180060327
1901,0.0008257745648734272
1902,0.0008391665178351104
1903,0.0008251297404058278
1904,0.0008443925180472434
1905,0.0008387934067286551
1906,0.0008530461345799267
1907,0.0008456583600491285
1908,0.0008764148806221783
1909,0.0008617914281785488
1910,0.0008559708367101848
1911,0.0008793913875706494
1912,0.0008797479094937444
1913,0.0008831154555082321
1914,0.0008544503361918032
1915,0.0008447917643934488
1916,0.000885545916389674
1917,0.0008412897004745901
1918,0.0008514594519510865
1919,0.0008634645491838455
1920,0.0008919371175579727
1921,0.0008545347373001277
1922,0.000874335179105401
1923,0.0008646459900774062
1924,0.0008916195947676897
1925,0.000878209131769836
1926,0.0008792299195192754
1927,0.0008652512915432453
1928,0.0008831422892399132
1929,0.0008738801116123796
1930,0.0008814276079647243
1931,0.0008414802723564208
1932,0.000860727799590677
1933,0.0008406803826801479
1934,0.0008761982317082584
1935,0.0008636625716462731
1936,0.0008617625571787357
1937,0.0008511372725479305
1938,0.0008590295328758657
1939,0.000841878354549408
1940,0.0008640133892185986
1941,0.0008609905489720404
1942,0.0008842593524605036
1943,0.0008869625744409859
1944,0.0008926236187107861
1945,0.0008902990957722068
1946,0.0009157640160992742
1947,0.0009011192014440894
1948,0.0009045512415468693
1949,0.0009027269552461803
1950,0.0009183328365907073
1951,0.0009303541155532002
1952,0.0009342100820504129
1953,0.0009183769579976797
1954,0.0009167007519863546
1955,0.0009313292684964836
1956,0.0009509710362181067
1957,0.000934635812882334
1958,0.0009392486535944045
1959,0.0009210206917487085
1960,0.0009229662246070802
1961,0.0009111234685406089
1962,0.000917747849598527
1963,0.0009118840680457652
1964,0.0009209078270941973
1965,0.0008972811629064381
1966,0.0009180387714877725
1967,0.0009014324168674648
1968,0.0009096331777982414
1969,0.0009107963414862752
1970,0.0009090501698665321
1971,0.0008802202064543962
1972,0.0008964513544924557
1973,0.0008786188554950058
1974,0.0009076028363779187
1975,0.0008842804818414152
1976,0.0008850852027535439
1977,0.0008716665906831622
1978,0.000864774570800364
1979,0.0008665205095894635
1980,0.0008825206896290183
1981,0.0008619283325970173
1982,0.0008633739780634642
1983,0.0008659602608531713
1984,0.0008812043815851212
1985,0.0008679375750944018
1986,0.0008818557835184038
1987,0.0008837967179715633
1988,0.0009023246238939464
1989,0.0009008903289213777
1990,0.0009081115713343024
1991,0.0009173640864901245
1992,0.0009239265928044915
1993,0.0009192740544676781
1994,0.000942713173571974
1995,0.0009285772684961557
1996,0.000960514007601887
1997,0.0009877595584839582
1998,0.0009984624339267612
1999,0.0010095585603266954
2000,0.0010606322903186083
2001,0.001067549572326243
2002,0.001097898231819272
2003,0.0010987286223098636
2004,0.0011217395076528192
2005,0.0011481698602437973
2006,0.001150545896962285
2007,0.0011893375776708126
2008,0.0012188457185402513
2009,0.0013229892356321216
2010,0.0013739311834797263
2011,0.0014335691230371594
2012,0.0013538810890167952
2013,0.0013668565079569817
2014,0.0014919432578608394
2015,0.0014593322994187474
