,day
1800,0.0006748971063643694
1801,0.000614884658716619
1802,0.0006122707272879779
1803,0.0005432107136584818
1804,0.0005922685959376395
1805,0.0006206745747476816
1806,0.0006313948542810977
1807,0.0005902832490392029
1808,0.0006554288556799293
1809,0.0006127847009338439
1810,0.0006248496356420219
1811,0.0006492470274679363
1812,0.0006253910250961781
1813,0.000618091260548681
1814,0.0006655908655375242
1815,0.0006821251008659601
1816,0.0006978523451834917
1817,0.0006674214964732528
1818,0.0006377800018526614
1819,0.000632713024970144
1820,0.0006962756742723286
1821,0.000692192988935858
1822,0.0006651168223470449
1823,0.0006880941218696535
1824,0.0006473617977462709
1825,0.0006854120874777436
1826,0.0006834566011093557
1827,0.0006884467438794672
1828,0.0007108471472747624
1829,0.0006543023628182709
1830,0.0006814990774728358
1831,0.0006704952684231102
1832,0.0006782134878449142
1833,0.0006939798477105796
1834,0.000689240638166666
1835,0.0006831130594946444
1836,0.000688332540448755
1837,0.0006938136066310108
1838,0.0006905993213877082
1839,0.0007120745722204447
1840,0.000700352480635047
1841,0.0007006882224231958
1842,0.0006901462911628187
1843,0.0007099429494701326
1844,0.0007089452701620758
1845,0.0006807813188061118
1846,0.0007066382095217705
1847,0.0007176075014285743
1848,0.000725060235708952
1849,0.0006953604752197862
1850,0.0007054012967273593
1851,0.0006662237574346364
1852,0.0007030073902569711
1853,0.0007017220486886799
1854,0.0006981426267884672
1855,0.0006951753166504204
1856,0.0007012959686107934
1857,0.0007073583547025919
1858,0.0006922846660017967
1859,0.000687252264469862
1860,0.0007019405020400882
1861,0.0007156345527619123
1862,0.0007126219570636749
1863,0.0007036586757749319
1864,0.0007255619275383651
1865,0.0007349209627136588
1866,0.0007272787624970078
1867,0.0006973642739467323
1868,0.0007090481813065708
1869,0.0006976305739954114
1870,0.000714711903128773
1871,0.0007066023536026478
1872,0.0006935247220098972
1873,0.0006744182319380343
1874,0.0006735332426615059
1875,0.0006911449017934501
1876,0.0006816633394919336
1877,0.0006946399225853384
1878,0.0006632012664340436
1879,0.0006923091714270413
1880,0.0006692726165056229
1881,0.0006726430729031563
1882,0.0006688988651148975
1883,0.000665034691337496
1884,0.0006606601527892053
1885,0.0006594902952201664
1886,0.0006544814095832407
1887,0.0006605290691368282
1888,0.0006469248328357935
1889,0.0006664120592176914
1890,0.0006597959436476231
1891,0.0006602453649975359
1892,0.0006645237444899976
1893,0.0006528254598379135
1894,0.0006591400015167892
1895,0.0006444021128118038
1896,0.0006648512207902968
1897,0.0006482608150690794
1898,0.0006377618410624564
1899,0.0006768135353922844
1900,0.0006581422640010715
1901,0.0006485024350695312
1902,0.0006224430399015546
1903,0.0006387756438925862
1904,0.0006387291941791773
1905,0.0006159442709758878
1906,0.00061689259018749
1907,0.000613103446085006
1908,0.0006010016077198088
1909,0.0006108448142185807
1910,0.0005909891333431005
1911,0.0005900043179281056
1912,0.0005924422293901443
1913,0.0005977569962851703
1914,0.0005836326163262129
1915,0.0005872473120689392
1916,0.0005856619100086391
1917,0.000587914080824703
1918,0.0005788289709016681
1919,0.0005863431724719703
1920,0.0005772449658252299
1921,0.0005697260494343936
1922,0.0005614873371087015
1923,0.0005539539270102978
1924,0.0005464186542667449
1925,0.0005478371167555451
1926,0.0005316532333381474
1927,0.0005307898391038179
1928,0.0005191740347072482
1929,0.0005298697506077588
1930,0.00050970574375242
1931,0.00052928231889382
1932,0.0005051421467214823
1933,0.0004929709248244762
1934,0.00048166062333621085
1935,0.0004834041465073824
1936,0.0004829151730518788
1937,0.0004666580935008824
1938,0.0004693680675700307
1939,0.0004536801134236157
1940,0.00043448450742289424
1941,0.0004358517471700907
1942,0.0004510007274802774
1943,0.00045974348904564977
1944,0.000451725791208446
1945,0.00044652444194070995
1946,0.00045444024726748466
1947,0.0004374491109047085
1948,0.0004322450258769095
1949,0.00041263847379013896
1950,0.0004161995311733335
1951,0.000414937298046425
1952,0.0004173971537966281
1953,0.00040994249866344035
1954,0.00039667196688242257
1955,0.00039626038051210344
1956,0.00039241183549165726
1957,0.0003902135940734297
1958,0.00038530075107701123
1959,0.0003792605421040207
1960,0.00037408238858915865
1961,0.00036781979724764824
1962,0.0003655049076769501
1963,0.00036482742871157825
1964,0.00036830815952271223
1965,0.00037318086833693087
1966,0.00036818909575231373
1967,0.00037125361268408597
1968,0.00038095415220595896
1969,0.0003711832978297025
1970,0.0003699272056110203
1971,0.00036155342240817845
1972,0.00034898659214377403
1973,0.0003445982583798468
1974,0.0003418948326725513
1975,0.0003361921990290284
1976,0.0003292110050097108
1977,0.00032680638832971454
1978,0.0003194851742591709
1979,0.00032353741698898375
1980,0.00031874541309662163
1981,0.00031850318191573024
1982,0.0003113700950052589
1983,0.0003066493954975158
1984,0.0003065691562369466
1985,0.000314211385557428
1986,0.0003039578441530466
1987,0.0003085815696977079
1988,0.00031362735899165273
1989,0.00031103260698728263
1990,0.00030651871929876506
1991,0.0003111701807938516
1992,0.0003076719876844436
1993,0.00031021854374557734
1994,0.0003085808421019465
1995,0.0003107599331997335
1996,0.0003161695203743875
1997,0.00032783026108518243
1998,0.0003294569323770702
1999,0.0003376550739631057
2000,0.00035318086156621575
2001,0.00035368779208511114
2002,0.00035073322942480445
2003,0.00036685747909359634
2004,0.00038471317384392023
2005,0.0003869828360620886
2006,0.0004003712674602866
2007,0.0004022587672807276
2008,0.00043402891606092453
2009,0.0004526737902779132
2010,0.00046242293319664896
2011,0.00047472494770772755
2012,0.0004352561372797936
2013,0.00042546834447421134
2014,0.0004675689269788563
2015,0.00046701895189471543
2016,0.0004332436074037105
2017,0.0004887331160716712
2018,0.0004973425529897213
2019,0.00048095177044160664
