,no
1973,0.0010545289842411876
1974,0.0010551342274993658
1975,0.0010349461808800697
1976,0.0010340099688619375
1977,0.0010228556348010898
1978,0.0010224705329164863
1979,0.0010083045344799757
1980,0.000992356101050973
1981,0.000982965575531125
1982,0.0009977036388590932
1983,0.0009862754959613085
1984,0.0009783891728147864
1985,0.00097829254809767
1986,0.0009810378542169929
1987,0.000984029727987945
1988,0.0009734915802255273
1989,0.0009621489443816245
1990,0.0009665489778853953
1991,0.0009590798290446401
1992,0.0009663822129368782
1993,0.0009651528089307249
1994,0.0009288197034038603
1995,0.0009284392581321299
1996,0.0009464772883802652
1997,0.0009595753508619964
1998,0.0009675535839051008
1999,0.0009696098859421909
2000,0.0009837114484980702
2001,0.0009814634686335921
2002,0.0009834172669798136
2003,0.0009983549825847149
2004,0.0010083441156893969
2005,0.0010002334602177143
2006,0.0010201794793829322
2007,0.0010336432605981827
2008,0.001077624037861824
2009,0.0010989696020260453
2010,0.0010938255582004786
2011,0.001099856337532401
2012,0.0010612005135044456
2013,0.0010800472227856517
2014,0.0011370349675416946
2015,0.001127153169363737
2016,0.0010867025703191757
2017,0.0011761609930545092
2018,0.0012075220001861453
2019,0.0011701907496899366
