,even
1800,0.0005321871140040457
1801,0.0005014314665459096
1802,0.0005096130189485848
1803,0.000450851017376408
1804,0.000546191178727895
1805,0.0005158481071703136
1806,0.0005011714529246092
1807,0.0005142557783983648
1808,0.0004687467007897794
1809,0.0004989975714124739
1810,0.0004678251571021974
1811,0.000510372337885201
1812,0.000492117484100163
1813,0.00047932902816683054
1814,0.0005151266814209521
1815,0.000499726680573076
1816,0.00046001304872334003
1817,0.000512244354467839
1818,0.0005187701317481697
1819,0.0004879666375927627
1820,0.0005107365432195365
1821,0.00048641409375704825
1822,0.000513138307724148
1823,0.0005227866931818426
1824,0.0005307949613779783
1825,0.00053450558334589
1826,0.0005121693830005825
1827,0.0005426129791885614
1828,0.0005338503979146481
1829,0.0005240495665930212
1830,0.0005493316566571593
1831,0.0005472778575494885
1832,0.0004861772758886218
1833,0.000559360662009567
1834,0.0005325988749973476
1835,0.0005520746926777065
1836,0.0005449326708912849
1837,0.0005291556590236723
1838,0.0005292898858897388
1839,0.0005319845513440669
1840,0.0005185544723644853
1841,0.0005295262089930475
1842,0.0005273196147754788
1843,0.0005303837824612856
1844,0.0005466469447128475
1845,0.0005275016883388162
1846,0.0005295953596942127
1847,0.000525622337590903
1848,0.0005339824710972607
1849,0.0005292001296766102
1850,0.0005251242546364665
1851,0.0005030742613598704
1852,0.0005195467383600771
1853,0.0005122286966070533
1854,0.0005235385615378618
1855,0.0005151465884409845
1856,0.0005042830598540604
1857,0.0004959710058756173
1858,0.0004974509938620031
1859,0.0004964090185239911
1860,0.0004937684279866517
1861,0.0004980589728802443
1862,0.0004964739782735705
1863,0.0004920634673908353
1864,0.00048321514623239636
1865,0.0004824980569537729
1866,0.0004806685319636017
1867,0.0004743568424601108
1868,0.00047169832396321
1869,0.0004886661772616208
1870,0.0004819646419491619
1871,0.0004836783336941153
1872,0.00047131479368545115
1873,0.00047594282659702003
1874,0.00046905799536034465
1875,0.0004724134923890233
1876,0.0004683500446844846
1877,0.0004562292597256601
1878,0.0004605228023137897
1879,0.00045409658923745155
1880,0.0004601810360327363
1881,0.00045568347559310496
1882,0.00045276834862306714
1883,0.0004572926554828882
1884,0.00044681853614747524
1885,0.0004482071672100574
1886,0.0004324809415265918
1887,0.0004226052260491997
1888,0.0004260568821337074
1889,0.00042144820326939225
1890,0.0004351910902187228
1891,0.0004218744579702616
1892,0.00042982789454981685
1893,0.00042387470602989197
1894,0.0004265107854735106
1895,0.0004077725170645863
1896,0.0004255091480445117
1897,0.00040707620792090893
1898,0.00041480051004327834
1899,0.0004279708373360336
1900,0.00041600008262321353
1901,0.0003994367434643209
1902,0.0004038715560454875
1903,0.00040047973743639886
1904,0.00040470200474373996
1905,0.00039216195000335574
1906,0.00038526239222846925
1907,0.00038754212437197566
1908,0.00038508724537678063
1909,0.00038381677586585283
1910,0.0003856898983940482
1911,0.00037365491152741015
1912,0.0003713533515110612
1913,0.0003671179583761841
1914,0.0003676947671920061
1915,0.0003599354240577668
1916,0.0003635208122432232
1917,0.00036652147537097335
1918,0.000373799295630306
1919,0.0003714453778229654
1920,0.0003792652569245547
1921,0.00037028465885668993
1922,0.0003770125040318817
1923,0.00037390735815279186
1924,0.00037199980579316616
1925,0.0003690847079269588
1926,0.00038083246909081936
1927,0.00038322038017213345
1928,0.0003811442293226719
1929,0.00037638554931618273
1930,0.0003783649008255452
1931,0.00037016227724961936
1932,0.00038210282218642533
1933,0.00036904014996252954
1934,0.0003861405130010098
1935,0.0003792762872762978
1936,0.00038669415516778827
1937,0.00037400764995254576
1938,0.000380591896828264
1939,0.0003664606192614883
1940,0.00037305994192138314
1941,0.00036669691326096654
1942,0.0003900629817508161
1943,0.00038189379847608507
1944,0.00039467719034291804
1945,0.0003838726261164993
1946,0.00039389263838529587
1947,0.00039770681178197265
1948,0.00040095404256135225
1949,0.0003873694804497063
1950,0.00039535664836876094
1951,0.00039751603617332876
1952,0.00041041753138415515
1953,0.0003944845811929554
1954,0.0004016956372652203
1955,0.0004032637516502291
1956,0.00041699729626998305
1957,0.00040997666656039655
1958,0.0004199123359285295
1959,0.0004103409009985626
1960,0.00042342807864770293
1961,0.0004265834577381611
1962,0.00043080272735096514
1963,0.0004321157175581902
1964,0.00042746448889374733
1965,0.0004291823133826256
1966,0.00043762256973423064
1967,0.0004335596750024706
