,state
1800,0.0004484008823055774
1801,0.0004713517555501312
1802,0.000557625899091363
1803,0.0004710801877081394
1804,0.0005270008696243167
1805,0.0005380380898714066
1806,0.0005035154172219336
1807,0.0005292622372508049
1808,0.0004942278028465807
1809,0.0005135053070262074
1810,0.0004862872592639178
1811,0.0005147779011167586
1812,0.0005694268620572984
1813,0.0005513401702046394
1814,0.0005835876800119877
1815,0.0005757886683568358
1816,0.0005403030663728714
1817,0.0006155904848128557
1818,0.0006144501385279
1819,0.0006213391316123307
1820,0.0005749014089815319
1821,0.0005945489974692464
1822,0.0005624693585559726
1823,0.0005750710843130946
1824,0.0005313628353178501
1825,0.0005288181127980351
1826,0.0005370777798816562
1827,0.0005296203889884055
1828,0.0005531127098947763
1829,0.0005594363901764154
1830,0.0005581741570495069
1831,0.0005530716734938323
1832,0.0006352998316287994
1833,0.000586113310419023
1834,0.0005208115908317268
1835,0.0005378882051445544
1836,0.0005720477784052491
1837,0.0005150102660991251
1838,0.0005344163510017097
1839,0.0005349096027202904
1840,0.0005175922997295856
1841,0.0005072029307484627
1842,0.0005015111528337002
1843,0.0004962191451340914
1844,0.0004763088945765048
1845,0.0004745683108922094
1846,0.0004890229320153594
1847,0.00047862378414720297
1848,0.000480275513837114
1849,0.00047253529191948473
1850,0.000437895767390728
1851,0.0004332988173700869
1852,0.00042617027065716684
1853,0.0004359420563559979
1854,0.0004172917688265443
1855,0.0004173872875981033
1856,0.0003989704418927431
1857,0.00039616506546735764
1858,0.0004116872150916606
1859,0.0003894535475410521
1860,0.00038456430775113404
1861,0.0003881532757077366
1862,0.0003573435533326119
1863,0.00036523223388940096
1864,0.00034413792309351265
1865,0.0003419472195673734
1866,0.00035814885632134974
1867,0.0003534772840794176
1868,0.0003373724175617099
1869,0.00032230568467639387
1870,0.00033391048782505095
1871,0.000332375755533576
1872,0.00033333085593767464
1873,0.0003443513996899128
1874,0.00034657781361602247
1875,0.00033933439408428967
1876,0.00033526489278301597
1877,0.0003455808910075575
1878,0.0003274609916843474
1879,0.0003335362416692078
1880,0.0003126974916085601
1881,0.0003249550354667008
1882,0.00032179811387322843
1883,0.0003151388082187623
1884,0.00032726727658882737
1885,0.00032107086735777557
1886,0.0003172385331708938
1887,0.0003234974865335971
1888,0.00032125343568623066
1889,0.0003192367439623922
1890,0.0003233867755625397
1891,0.00035305286291986704
1892,0.00032740505412220955
1893,0.000336391938617453
1894,0.0003387155884411186
1895,0.0003555024741217494
1896,0.0003377392131369561
1897,0.0003613756562117487
1898,0.000347426685038954
1899,0.0003494111297186464
1900,0.00034253328340128064
1901,0.00036822917172685266
1902,0.00034474185667932034
1903,0.0003587561077438295
1904,0.0003507095680106431
1905,0.0003700749366544187
1906,0.0003857257543131709
1907,0.0003881000156980008
1908,0.0003765770816244185
1909,0.00041224563028663397
1910,0.00040791890933178365
1911,0.000404186052037403
1912,0.000391558074625209
1913,0.0004022494831588119
1914,0.00041588692693039775
1915,0.0004683180304709822
1916,0.0004153967893216759
1917,0.0004368724476080388
1918,0.0004075092729181051
1919,0.00042562567978166044
1920,0.0003910130762960762
1921,0.00043050621752627194
1922,0.000405338651034981
1923,0.00041774907731451094
1924,0.0003983592614531517
1925,0.0003964592469856143
1926,0.0004079500795342028
