,used
1800,0.0002091262285830453
1801,0.00021694185852538794
1802,0.00019982317462563515
1803,0.00019921692728530616
1804,0.0001925137039506808
1805,0.0002214802079834044
1806,0.0002129997592419386
1807,0.00024228588154073805
1808,0.0002162622840842232
1809,0.0002505539159756154
1810,0.00023691123351454735
1811,0.00021112595277372748
1812,0.00018866785103455186
1813,0.0002421252429485321
1814,0.00021148954692762345
1815,0.00021267116244416684
1816,0.0002274870203109458
1817,0.00020727435185108334
1818,0.00022520148195326328
1819,0.00023341552878264338
1820,0.000204876356292516
1821,0.00024382238916587085
1822,0.00023024185793474317
1823,0.00023495042114518583
1824,0.00023233276442624629
1825,0.00023754950962029397
1826,0.00023239846632350236
1827,0.00022015049762558192
1828,0.0002147707127733156
1829,0.00023581754066981375
1830,0.00022620451636612415
1831,0.0002240441826870665
1832,0.000278315506875515
1833,0.00021540818852372468
1834,0.00021603739878628403
1835,0.00023311963013838977
1836,0.00022043660283088684
1837,0.0002216197899542749
1838,0.00022809939400758594
1839,0.00022916606394574046
1840,0.00022587312560062855
1841,0.00023465053527615964
1842,0.000251122924964875
1843,0.00023243704345077276
1844,0.00022733284276910126
1845,0.0002456552756484598
1846,0.00023586326278746128
1847,0.00024290962028317153
1848,0.00023551743652205914
1849,0.0002352737501496449
1850,0.00023972643248271197
1851,0.0002603550674393773
1852,0.0002581855223979801
1853,0.00024860459961928427
1854,0.00025333923986181617
1855,0.0002509799087420106
1856,0.00025131303118541837
1857,0.00026032276218757033
1858,0.0002622894535306841
1859,0.00026751996483653784
1860,0.00026832858566194773
1861,0.000270869757514447
1862,0.00027931304066441953
1863,0.00028208308503963053
1864,0.00027356218197382987
1865,0.00027094027609564364
1866,0.0002755669702310115
1867,0.00028925639344379306
1868,0.0002892528718803078
1869,0.0002920861297752708
1870,0.00029997172532603145
1871,0.0003050433879252523
1872,0.00030818834784440696
1873,0.0003107590600848198
1874,0.0003157983301207423
1875,0.0003107137745246291
1876,0.0003265203849878162
1877,0.0003258403157815337
1878,0.0003371468046680093
1879,0.00033227968378923833
1880,0.00033833019551821053
1881,0.00033518197597004473
1882,0.00034919619793072343
1883,0.00034985376987606287
1884,0.00035245396429672837
1885,0.0003527002118062228
1886,0.0003497757716104388
1887,0.0003570082481019199
1888,0.00036299205385148525
1889,0.0003700776142068207
1890,0.00037528941174969077
1891,0.00037718183011747897
1892,0.0003884707984980196
1893,0.0003836607502307743
1894,0.0003927790676243603
1895,0.0003831929643638432
1896,0.0003895097179338336
1897,0.0003960429166909307
1898,0.0003942412440665066
1899,0.0003792166826315224
1900,0.0003958687302656472
1901,0.0003962030459661037
1902,0.0004090874863322824
1903,0.00041072172462008893
1904,0.0004184636927675456
1905,0.00043965407530777156
1906,0.0004388389934320003
1907,0.00044725730549544096
1908,0.0004606044676620513
1909,0.00047072689631022513
1910,0.0004681707068812102
1911,0.0004837029264308512
1912,0.0004897608887404203
1913,0.0004978224751539528
1914,0.0005065908189862967
1915,0.0005156945553608239
1916,0.0005191451637074351
1917,0.0005332531873136759
1918,0.0005307229002937675
1919,0.0005181650049053133
1920,0.0005283473874442279
1921,0.0005248671513982117
1922,0.000529315962921828
1923,0.0005371883162297308
1924,0.0005286879022605717
1925,0.0005587041960097849
1926,0.0005385701078921556
1927,0.0005471824551932514
1928,0.0005502490093931556
1929,0.0005565633764490485
1930,0.0005596937844529748
1931,0.0005375504842959344
1932,0.0005445374990813434
1933,0.0005628850776702166
1934,0.0005389939178712666
1935,0.000541298184543848
1936,0.0005503153661265969
1937,0.0005564150051213801
1938,0.0005743687506765127
1939,0.0005717489984817803
1940,0.0005878972006030381
1941,0.0005928059108555317
1942,0.0006313452031463385
1943,0.0006199187482707202
1944,0.0006256549386307597
1945,0.0005985357565805316
1946,0.0005974920350126922
1947,0.0006016636616550386
1948,0.000610395974945277
1949,0.000630551076028496
1950,0.000611795752774924
1951,0.0006167739047668874
1952,0.0006043082103133202
1953,0.0006175469025038183
1954,0.0006239446229301393
1955,0.0006133085698820651
1956,0.0006141002522781491
1957,0.0006166081875562668
1958,0.0006294402410276234
1959,0.0006245851400308311
1960,0.0006300350069068372
1961,0.0006256515625864267
1962,0.0006202923832461238
1963,0.0006249374127946794
1964,0.0006127709639258683
1965,0.000599875405896455
1966,0.0005943083087913692
1967,0.0005891954060643911
1968,0.0005805459804832935
1969,0.0005693841958418489
1970,0.0005934720975346863
1971,0.0005968823679722846
1972,0.0006167590618133545
1973,0.0005979854613542557
1974,0.0006174447480589151
1975,0.0006271291058510542
1976,0.0006267071585170925
1977,0.0006430899375118315
1978,0.0006381194107234478
1979,0.0006447844207286835
1980,0.0006550818216055632
1981,0.0006463546305894852
1982,0.0006488784565590322
1983,0.000674466893542558
1984,0.0006482586613856256
1985,0.0006442221347242594
1986,0.0006479763542301953
1987,0.000646676286123693
1988,0.0006349270115606487
1989,0.0006307492731139064
1990,0.0006430517532862723
1991,0.0006443105521611869
1992,0.0006348966271616518
1993,0.000642418977804482
1994,0.0006326782167889178
1995,0.0006273263716138899
1996,0.0006228723214007914
1997,0.0006348592578433454
1998,0.0006348908646032214
1999,0.0006198991904966533
2000,0.0006145354709587991
2001,0.0006081397295929492
2002,0.0006157365278340876
2003,0.0006330105825327337
2004,0.0006182405049912632
2005,0.0006161081837490201
2006,0.0006078605656512082
2007,0.0005942060961388052
2008,0.0005791198927909136
2009,0.0005706247757188976
2010,0.0005645923665724695
