,because
1800,0.00033723225351423025
1801,0.0003613172739278525
1802,0.0003180954954586923
1803,0.0002973831142298877
1804,0.000325135828461498
1805,0.000310999748762697
1806,0.0003327342856209725
1807,0.00030912409420125186
1808,0.0003460454463493079
1809,0.00038078895886428654
1810,0.0003329753817524761
1811,0.0003961219044867903
1812,0.0004066266992595047
1813,0.000348333443980664
1814,0.0003671202575787902
1815,0.00034827939816750586
1816,0.0003937768342439085
1817,0.0003650375292636454
1818,0.00033869792241603136
1819,0.00031194486655294895
1820,0.00035148064489476383
1821,0.0003194982709828764
1822,0.00035430441494099796
1823,0.00036222132621333003
1824,0.00033936987165361643
1825,0.00035043328534811735
1826,0.0003372048959136009
1827,0.0003243194951210171
1828,0.0003425910254009068
1829,0.0003280507808085531
1830,0.0003539177414495498
1831,0.00033208116656169295
1832,0.00039603342884220183
1833,0.00032741695758886635
1834,0.0003229704743716866
1835,0.00032981083495542407
1836,0.0003421016735956073
1837,0.00031818108982406557
1838,0.00031846421188674867
1839,0.00032167244353331625
1840,0.0003097008157055825
1841,0.00030770854209549725
1842,0.000295802834443748
1843,0.0003030409279745072
1844,0.0003335842629894614
1845,0.0003037278074771166
1846,0.0003096491564065218
1847,0.00030051625799387693
1848,0.00030763045651838183
1849,0.0003089402453042567
1850,0.0003188417758792639
1851,0.00030951981898397207
1852,0.0002969302295241505
1853,0.0003262058016844094
1854,0.00030516344122588634
1855,0.0002987842890433967
1856,0.0002947584434878081
1857,0.00027966804918833077
1858,0.00028410644154064357
1859,0.0002815473126247525
1860,0.00029813931905664504
1861,0.0002920374390669167
1862,0.0002911268384195864
1863,0.0002837106876540929
1864,0.00029418026679195464
1865,0.0002828146971296519
1866,0.0002874301571864635
1867,0.00028876817668788135
1868,0.0002916908706538379
1869,0.00029847753467038274
1870,0.00030062085716053843
1871,0.0003035044646821916
1872,0.0003024235484190285
1873,0.0002932131174020469
1874,0.0002951852511614561
1875,0.0002865914430003613
1876,0.00029382621869444847
1877,0.000291182630462572
1878,0.0002943874860648066
1879,0.00029546808218583465
1880,0.0002829062577802688
1881,0.00029490789165720344
1882,0.0003076570574194193
1883,0.00029649530188180506
1884,0.0002980582357849926
1885,0.000295859354082495
1886,0.00030322716338559985
1887,0.0003019924624823034
1888,0.0003065663913730532
1889,0.00029739292222075164
1890,0.00029841376817785203
1891,0.0002959172707051039
1892,0.0003031302767340094
1893,0.0002994732349179685
1894,0.0003183904627803713
1895,0.00029731931863352656
1896,0.0003060427261516452
1897,0.00030073849484324455
1898,0.0003056550049223006
1899,0.00031582004157826304
1900,0.00031885909265838563
1901,0.0003164466470479965
1902,0.0003233608149457723
1903,0.0003240728983655572
1904,0.0003268031287007034
1905,0.00032733642728999257
1906,0.00033685300149954855
1907,0.0003379365662112832
1908,0.0003506949869915843
1909,0.0003556048031896353
1910,0.00034462963230907917
1911,0.0003491285315249115
1912,0.00036662249476648867
1913,0.0003673266910482198
1914,0.00037430482916533947
1915,0.0003688712022267282
1916,0.0003956998698413372
1917,0.00038834844599477947
1918,0.0004107890126761049
1919,0.0004118571523576975
1920,0.0004125356790609658
1921,0.00040463326149620116
1922,0.0004040989151690155
1923,0.00038787166704423726
1924,0.0004092074232175946
1925,0.00038630960625596344
1926,0.0004015632439404726
1927,0.0003904143231920898
1928,0.00040675076888874173
1929,0.00039723614463582635
1930,0.00040369309135712683
1931,0.00038797338493168354
1932,0.00041546940337866545
1933,0.00039888033643364906
1934,0.0004268428892828524
1935,0.00042596147977747023
1936,0.00043322189594618976
1937,0.00042852124897763133
1938,0.00044605342554859817
1939,0.0004531696322374046
1940,0.00046797553659416735
1941,0.00048286881064996123
1942,0.0004986291169188917
1943,0.0005042905686423182
1944,0.000500885013025254
1945,0.0005062841810286045
1946,0.0004999670782126486
1947,0.0005122202564962208
1948,0.0005085641168989241
1949,0.0004888123366981745
1950,0.0004837842134293169
1951,0.0004928575945086777
1952,0.0005051384796388447
1953,0.0004931415314786136
1954,0.0004848620155826211
1955,0.0005038472008891404
1956,0.0005028361338190734
1957,0.0004974828334525228
1958,0.000499093672260642
