,part
1800,0.000776025524828583
1801,0.0008233769331127405
1802,0.0008334572776220739
1803,0.0007185416761785746
1804,0.0007809305679984391
1805,0.0008145099855028093
1806,0.0007984437979757786
1807,0.000812149082776159
1808,0.0007579677039757371
1809,0.0008531509665772319
1810,0.000768795725889504
1811,0.000770125538110733
1812,0.000801313086412847
1813,0.000830649514682591
1814,0.0008075874648056924
1815,0.0008214445551857352
1816,0.0007710530189797282
1817,0.0008045370923355222
1818,0.0008024598355405033
1819,0.0008551314240321517
1820,0.0007558634970337152
1821,0.0007482982473447919
1822,0.0007655685767531395
1823,0.0007732200319878757
1824,0.0007584223058074713
1825,0.0007462684880010784
1826,0.0007656809757463634
1827,0.0007527648122049868
1828,0.0007416909793391824
1829,0.0007779143052175641
1830,0.0007641587872058153
1831,0.0007494132732972503
1832,0.0007633235072717071
1833,0.0007249894551932812
1834,0.000727915670722723
1835,0.0007285222527571023
1836,0.0007365440251305699
1837,0.0007231532945297658
1838,0.0007302573649212718
1839,0.0007280517602339387
1840,0.0007094769389368594
1841,0.0007001176127232611
1842,0.0007174146012403071
1843,0.0007019841577857733
1844,0.0006777716334909201
1845,0.0007102943491190672
1846,0.0006869824719615281
1847,0.0006832482176832855
1848,0.0006623074295930564
1849,0.0006725798593834043
1850,0.0006489458028227091
1851,0.0006675061886198819
1852,0.0006515900604426861
1853,0.0006649930728599429
1854,0.000665154424495995
1855,0.0006562715861946344
1856,0.0006624363595619798
1857,0.0006401781574822962
1858,0.0006530836108140647
1859,0.0006431413348764181
1860,0.0006248423596844077
1861,0.0006366065354086459
1862,0.0006166206439957023
1863,0.000632391544058919
1864,0.0006221816292963922
1865,0.0006256339838728309
1866,0.0006263438262976706
1867,0.00061956507852301
1868,0.0006086736684665084
1869,0.0006013630190864205
1870,0.0006131394184194505
1871,0.0006163014913909137
1872,0.0006243996322154999
1873,0.0006266007549129426
1874,0.0006196587928570807
1875,0.0006300503155216575
1876,0.0006214803433977067
1877,0.0006185785750858486
1878,0.0006334128556773067
1879,0.0006184495287016034
1880,0.0006178537732921541
1881,0.0006173430010676384
1882,0.0006253368337638676
1883,0.0006171415443532169
1884,0.0006158845499157906
1885,0.0006113849231041968
1886,0.000624457374215126
1887,0.0006108448142185807
1888,0.0006185608799569309
1889,0.0006072979304008186
1890,0.0006127650267444551
1891,0.0006045355112291873
1892,0.0006103718187659979
1893,0.0006072868127375841
1894,0.0006122259073890746
1895,0.0006105822394602001
1896,0.0006000224966555834
1897,0.0005972034996375442
1898,0.0006019509746693075
1899,0.0005811407463625073
1900,0.000591777206864208
1901,0.0005950226914137602
1902,0.0005930240731686354
1903,0.0006010978249832988
1904,0.0006063926848582923
1905,0.0006025685579515994
1906,0.0006121847545728087
1907,0.0006016015540808439
1908,0.000606878544203937
1909,0.0006096254801377654
1910,0.0006092144176363945
1911,0.0006150818662717938
1912,0.0006139783072285354
1913,0.0006039630388841033
