,current
1939,0.00012627696560230106
1940,0.00013237111852504313
1941,0.00013779122673440725
1942,0.00013366456551011652
1943,0.00014082145935390145
1944,0.00013701163697987795
1945,0.0001288510684389621
1946,0.00012951514509040862
1947,0.00014715897850692272
1948,0.00014120822015684098
1949,0.00014477598597295582
1950,0.00014422334788832814
1951,0.0001482685620430857
1952,0.00015074777184054255
1953,0.0001454689772799611
1954,0.00015057304699439555
1955,0.00014701542386319488
1956,0.00015027351037133485
1957,0.00015253642050083727
1958,0.00015957064169924706
1959,0.00016152540047187358
1960,0.00016463668725918978
1961,0.00016714302182663232
1962,0.00017073392518796027
1963,0.00016064521332737058
1964,0.000169272068887949
1965,0.00016954884631559253
1966,0.00016773714742157608
1967,0.00016106927068904042
1968,0.00015930453082546592
1969,0.00015892043302301317
1970,0.00016021131887100637
1971,0.00016731733921915293
1972,0.00016715940728317946
1973,0.00017014660988934338
1974,0.0001796635042410344
1975,0.00018999044550582767
1976,0.00019034359138458967
1977,0.00019577615603338927
1978,0.00019356916891410947
1979,0.00019359275756869465
1980,0.000201367714907974
1981,0.00020163977751508355
1982,0.00020147980831097811
1983,0.00020596188551280648
1984,0.00020796236640308052
1985,0.00020412322191987187
1986,0.00021216484310571104
1987,0.0002073504583677277
1988,0.00020434943144209683
1989,0.00020602399308700114
1990,0.00020882523676846176
1991,0.00021139024465810508
1992,0.00020736927399411798
1993,0.00020129588665440679
1994,0.00020345913071651012
1995,0.00020318731549195945
1996,0.00020147141185589135
1997,0.00020266308274585754
1998,0.00019475318549666554
1999,0.00018996749713551253
2000,0.00018121051834896207
2001,0.00018288276623934507
2002,0.00017773757281247526
2003,0.00017695881251711398
2004,0.0001755863195285201
2005,0.00017095889779739082
2006,0.00016576355847064406
2007,0.00016222811245825142
2008,0.0001558546646265313
2009,0.00015126033395063132
2010,0.00014367685071192682
2011,0.00013771744852419943
2012,0.0001452056603739038
2013,0.00014280567120295018
2014,0.00011961122072534636
2015,0.00012031388905597851
2016,0.00013060850324109197
2017,0.00011869271111208946
2018,0.00011302427446935326
2019,0.00012300269736442715
