,want
1800,0.00016567946295253932
1801,0.00017476704670116305
1802,0.00014377378101926297
1803,0.00013374877744354308
1804,0.0001481362123740837
1805,0.0001498992060078308
1806,0.00015556247672066092
1807,0.00013932495494373143
1808,0.00016089020937215537
1809,0.00014527671737596393
1810,0.00014726622612215579
1811,0.00014711235417053103
1812,0.00013889037654735148
1813,0.0001355646236333996
1814,0.0001449383416911587
1815,0.0001351687969872728
1816,0.0001341357856290415
1817,0.00014158710837364197
1818,0.00014053343329578638
1819,0.0001377614971715957
1820,0.0001432206918252632
1821,0.00013635295908898115
1822,0.00013851818221155554
1823,0.00014616588305216283
1824,0.00014693506818730384
1825,0.00014555614325217903
1826,0.00013930928253103048
1827,0.00013847141235601157
1828,0.0001336318819085136
1829,0.00013101841614115983
1830,0.00013936072355136275
1831,0.00013307435438036919
1832,0.00013847793161403388
1833,0.00013730306818615645
1834,0.0001413865975337103
1835,0.00013707632024306804
1836,0.00013923205551691353
1837,0.00014180634752847254
1838,0.000136417307658121
1839,0.0001357302098767832
1840,0.00013875549484509975
1841,0.00013798160944133997
1842,0.00013060172204859555
1843,0.0001356780994683504
1844,0.00013613577175419778
1845,0.0001331568055320531
1846,0.00013357348507270217
1847,0.00013770184887107462
1848,0.0001389974931953475
1849,0.00013246061280369759
1850,0.00013514618331100792
1851,0.00013038712495472282
1852,0.00013372029934544116
1853,0.00013956452312413603
1854,0.00013503334776032716
1855,0.0001372144470224157
1856,0.00013791110541205853
1857,0.00013479628250934184
1858,0.00013786193449050188
1859,0.00013452100392896682
1860,0.0001393548445776105
1861,0.00013443910575006157
1862,0.00014181954611558467
1863,0.00013467461394611746
1864,0.00013875021249987185
1865,0.00013802736066281796
1866,0.00014274466957431287
1867,0.0001385466894134879
1868,0.00014264539640862495
1869,0.00014026369899511337
1870,0.00014143605949357152
1871,0.0001402728958055377
1872,0.00015204459486994892
1873,0.00014019290392752737
1874,0.00014522351557388902
1875,0.00013525084068533033
1876,0.0001423301873728633
1877,0.0001360107708023861
1878,0.0001362461334792897
1879,0.00013539864448830485
1880,0.00013246988237369806
1881,0.0001296017289860174
1882,0.00013833219418302178
1883,0.00012951526150573045
1884,0.000133230205392465
1885,0.0001300442818319425
1886,0.00013499509077519178
1887,0.00013354886323213577
1888,0.00013280233542900532
1889,0.00013422672054730356
1890,0.00012987508671358228
1891,0.0001289357605855912
1892,0.00013111410953570157
1893,0.00012844096636399627
1894,0.00013250153278931975
1895,0.00012341827095951885
1896,0.0001266008912352845
1897,0.00011967729369644076
1898,0.00012186003004899248
1899,0.00013001628394704312
1900,0.00013282528379932046
1901,0.0001226767635671422
1902,0.00012271708692424
1903,0.00012156563752796501
1904,0.00012612786667887121
1905,0.00012245323159731925
1906,0.00012804378638975322
1907,0.00012574555876199156
1908,0.0001330631785094738
1909,0.00013735381071455777
1910,0.0001302590244449675
1911,0.00013570515147875994
1912,0.00014024613483343273
1913,0.00013898080214858055
1914,0.00013529276475310326
1915,0.00012669069110415876
1916,0.0001458818296669051
1917,0.00013500388013198972
1918,0.00013723898155149072
1919,0.00015290790179278702
1920,0.00014425594417843968
1921,0.00013911353016737849
1922,0.0001411489356542006
1923,0.00013059613411314785
1924,0.00015462540613953024
1925,0.0001301751472055912
1926,0.0001413504796801135
1927,0.0001234016235684976
1928,0.000135278474772349
1929,0.00013624785060528666
1930,0.00013272945943754166
1931,0.0001208273897645995
1932,0.00013119849609211087
1933,0.0001184804059448652
1934,0.0001358337322017178
1935,0.0001386987278237939
1936,0.00013373844558373094
1937,0.00013190507888793945
1938,0.00013079456402920187
1939,0.0001427053939551115
1940,0.0001367827208014205
1941,0.00014089272008277476
1942,0.00014859273505862802
1943,0.00016498051991220564
1944,0.00016523245722055435
1945,0.00016999967920128256
1946,0.000164343771757558
1947,0.00016783727915026248
1948,0.00016377100837416947
1949,0.00014570580970030278
1950,0.0001464282104279846
1951,0.00015781403635628521
1952,0.0001539039658382535
1953,0.0001522570091765374
1954,0.00014531165652442724
1955,0.00015601450286339968
1956,0.00015459379937965423
1957,0.00015297019854187965
1958,0.00014799428754486144
1959,0.00014118035323917866
1960,0.00013527290138881654
1961,0.000136282091261819
1962,0.00013094779569655657
1963,0.0001299677387578413
1964,0.00013303180458024144
1965,0.00013299389684107155
1966,0.0001396354491589591
1967,0.0001405461662216112
1968,0.00013884154031984508
1969,0.0001439746847609058
1970,0.0001412820565747097
1971,0.00013351134839467704
1972,0.00013565830886363983
1973,0.0001352490799035877
1974,0.00014130293857306242
1975,0.00013516093895304948
1976,0.00013650998880621046
1977,0.0001381566107738763
1978,0.00013776231207884848
1979,0.00013878985191695392
1980,0.0001409889227943495
1981,0.00013537424092646688
1982,0.00014044903218746185
1983,0.00014317115710582584
1984,0.00015066066407598555
1985,0.00014724931679666042
1986,0.00015666188846807927
1987,0.00015729822916910052
1988,0.0001666919415583834
1989,0.0001678886474110186
1990,0.00017257395666092634
1991,0.00017820177890826017
1992,0.00018070379155687988
1993,0.0001796430442482233
1994,0.00019006621732842177
1995,0.0001880245836218819
1996,0.0001938252680702135
1997,0.0002037033555097878
1998,0.00020285583741497248
1999,0.00021287493291310966
2000,0.0002322425862075761
2001,0.0002363898092880845
2002,0.00024425837909802794
2003,0.0002521096321288496
2004,0.00025822699535638094
2005,0.000263371504843235
2006,0.0002683924976736307
2007,0.00028563340310938656
2008,0.00029960882966406643
2009,0.0003497888392303139
2010,0.0003799254773184657
2011,0.0004147490835748613
2012,0.0003799987316597253
2013,0.0003736212966032326
2014,0.0004514344909694046
2015,0.0004335095582064241
2016,0.00039737875340506434
2017,0.00041241722647100687
2018,0.0003877026028931141
2019,0.00042801894596777856
