,public
1800,0.00033452181378379464
1801,0.0003340445982757956
1802,0.0004202737763989717
1803,0.0003502527251839638
1804,0.000380912417313084
1805,0.00041615741793066263
1806,0.00040154255111701787
1807,0.0003799258847720921
1808,0.00036740757059305906
1809,0.0003226076951250434
1810,0.0003456232079770416
1811,0.0003879995201714337
1812,0.0004804798518307507
1813,0.0003926983627025038
1814,0.0004588084411807358
1815,0.00038705230690538883
1816,0.0004137033538427204
1817,0.00044645913294516504
1818,0.000414238718803972
1819,0.0003885186742991209
1820,0.00039016836672089994
1821,0.0003800888662226498
1822,0.0003752335032913834
1823,0.00038696546107530594
1824,0.00035264217876829207
1825,0.0003964116331189871
1826,0.0003710981400217861
1827,0.0003745737485587597
1828,0.000399313576053828
1829,0.00037844711914658546
1830,0.0004132100148126483
1831,0.0004108671273570508
1832,0.0004339840670581907
1833,0.00041824294021353126
1834,0.0004538845969364047
1835,0.0003988788812421262
1836,0.0004285173781681806
1837,0.00042204096098430455
1838,0.00040477528818883
1839,0.00039017514791339636
1840,0.0003829089691862464
1841,0.00039319711504504085
1842,0.00034788332413882017
1843,0.00035942200338467956
1844,0.00034805567702278495
1845,0.0003395554085727781
1846,0.0003683786781039089
1847,0.00035247617051936686
1848,0.00034787869662977755
1849,0.00035829306580126286
1850,0.00035431445576250553
1851,0.00036874724901281297
1852,0.0003574277216102928
1853,0.0003709465672727674
1854,0.0003629618149716407
1855,0.00036435213405638933
1856,0.0003558432508725673
1857,0.00033975925180129707
1858,0.0003466522612143308
1859,0.00034530158154666424
1860,0.000337248231517151
1861,0.00033375987550243735
1862,0.00032245879992842674
1863,0.00032310173264704645
1864,0.00031441004830412567
1865,0.00032629226916469634
1866,0.00033049602643586695
1867,0.00032576819648966193
1868,0.0003406970645301044
1869,0.0003249698202125728
1870,0.0003314926871098578
1871,0.00032817586907185614
1872,0.0003438884159550071
1873,0.0003349684993736446
1874,0.00034113714355044067
1875,0.00034270354080945253
1876,0.000337437930284068
1877,0.00033199487370438874
1878,0.0003291699686087668
1879,0.0003332000342197716
1880,0.00032307798392139375
1881,0.0003368563193362206
1882,0.00031990453135222197
1883,0.0003126217343378812
1884,0.0003320954565424472
1885,0.0003173064615111798
1886,0.0003526465443428606
1887,0.0003331660700496286
1888,0.0003391821519471705
1889,0.0003414732054807246
1890,0.0003369511978235096
1891,0.0003419402055442333
1892,0.00032579514663666487
1893,0.00032814033329486847
1894,0.0003279524971731007
1895,0.00034221430541947484
1896,0.00032827979885041714
1897,0.00035878075868822634
1898,0.00033298207563348114
1899,0.00033927804906852543
1900,0.00033915298990905285
1901,0.00036187603836879134
1902,0.00033704968518577516
1903,0.00035946257412433624
1904,0.0003425121831241995
1905,0.00035706599010154605
1906,0.00036496573011390865
1907,0.0003719828382600099
1908,0.000367392145562917
1909,0.00038491346640512347
1910,0.0003774813958443701
1911,0.0003885180049110204
1912,0.00038772475090809166
1913,0.00040852182428352535
1914,0.0004132118192501366
1915,0.0004309674259275198
1916,0.0004100165970157832
1917,0.0004177821392659098
1918,0.0003964512434322387
1919,0.0004302186716813594
1920,0.0004053161828778684
1921,0.000417213246691972
1922,0.00041004884405992925
1923,0.000399289361666888
1924,0.00039665651274845004
1925,0.0003917369176633656
1926,0.0003914486151188612
1927,0.0003908035869244486
1928,0.0003895034606102854
1929,0.00039037162787280977
1930,0.00041144905844703317
1931,0.0004057238402310759
1932,0.0004109445435460657
1933,0.0004273309023119509
1934,0.0004080783692188561
1935,0.000422472832724452
1936,0.0004102571401745081
1937,0.00042092171497642994
1938,0.00042246750672347844
1939,0.0004492879379540682
1940,0.0004052014846820384
1941,0.00043235509656369686
1942,0.0003847857587970793
1943,0.00038769262027926743
1944,0.0003884422476403415
1945,0.0004082830564584583
1946,0.00039211532566696405
1947,0.0004042538348585367
1948,0.000389854540117085
1949,0.000401371595216915
1950,0.00037222090759314597
1951,0.00037771646748296916
1952,0.00036131328670307994
1953,0.00037200504448264837
1954,0.0003777390520554036
1955,0.0003871089138556272
1956,0.0003722255351021886
1957,0.00038771616527810693
1958,0.000365385232726112
1959,0.00039078699774108827
1960,0.00037500495091080666
1961,0.0003815908858086914
1962,0.000362034363206476
1963,0.0003836216637864709
1964,0.00036768068093806505
1965,0.0003756476507987827
1966,0.0003663248207885772
1967,0.0003935577115043998
1968,0.0003798728866968304
1969,0.0004024503577966243
1970,0.00039839197415858507
1971,0.0004195780784357339
1972,0.00041600948316045105
1973,0.00041908654384315014
1974,0.00042680514161475003
1975,0.00042177506838925183
1976,0.00042122602462768555
1977,0.0004233800573274493
1978,0.0004118335200473666
1979,0.0004060733481310308
1980,0.00038632843643426895
1981,0.00037235580384731293
1982,0.0003671536687761545
1983,0.00036622496554628015
1984,0.000355779193341732
1985,0.0003539166646078229
1986,0.0003506309003569186
1987,0.0003523213090375066
1988,0.0003550207184161991
1989,0.0003495679411571473
1990,0.0003599216288421303
1991,0.0003551592817530036
1992,0.0003566780360415578
1993,0.00036364083644002676
1994,0.0003660258371382952
1995,0.0003731705655809492
1996,0.0003821176360361278
1997,0.0003934018895961344
1998,0.0003831994254142046
1999,0.0003934208070859313
2000,0.00037911912659183145
2001,0.00037393535603769124
2002,0.0003822033468168229
2003,0.00036672892747446895
2004,0.00036101407022215426
2005,0.0003547340747900307
2006,0.00034438938018865883
2007,0.00034085093648172915
2008,0.00033176830038428307
2009,0.0003151001292280853
2010,0.000300856598187238
2011,0.0002648479712661356
2012,0.00024096107517834753
2013,0.000263402791460976
2014,0.0002472916094120592
2015,0.0002580690779723227
2016,0.0002811808662954718
2017,0.0002451961627230048
2018,0.00023511095787398517
2019,0.00024400500115007162
