,data
1974,0.0004041397478431463
1975,0.00042259879410266876
1976,0.0004458728653844446
1977,0.0004668759647756815
1978,0.00046546669909730554
1979,0.00047730785445310175
1980,0.0004971368471160531
1981,0.00048766189138405025
1982,0.0004932720912620425
1983,0.0005286913365125656
1984,0.0005183572066016495
1985,0.0005036406219005585
1986,0.0005021842662245035
1987,0.00048161818995140493
1988,0.0004821335314773023
1989,0.0004805221105925739
1990,0.0004921643994748592
1991,0.00047782002366147935
1992,0.0004855177248828113
1993,0.0005193722900003195
1994,0.0004805687058251351
1995,0.0004602870612870902
1996,0.0004468123079277575
1997,0.0004437255847733468
1998,0.00042977664270438254
1999,0.00042218848830088973
2000,0.00040660385275259614
2001,0.00039921386633068323
2002,0.0004039662890136242
2003,0.0004098578356206417
2004,0.00038898320053704083
2005,0.00038430598215200007
2006,0.00037053649430163205
2007,0.0003554276190698147
2008,0.00033226210507564247
2009,0.0003182215441484004
2010,0.0003184030647389591
2011,0.0003144780348520726
2012,0.00035654520615935326
2013,0.0003306923608761281
2014,0.00027153754490427673
2015,0.000275219208560884
2016,0.0002997617411892861
2017,0.0002733876171987504
2018,0.00028125426615588367
2019,0.00030662244535051286
