,every
1800,0.0009761274559423327
1801,0.0010592229664325714
1802,0.001060085603967309
1803,0.0010043751681223512
1804,0.0010361929889768362
1805,0.0010309547651559114
1806,0.0010210160398855805
1807,0.0009631341090425849
1808,0.0009564561187289655
1809,0.0009242726373486221
1810,0.0009307836298830807
1811,0.0009587230160832405
1812,0.000967945612501353
1813,0.000964284292422235
1814,0.001001178752630949
1815,0.0009858767734840512
1816,0.0009301339741796255
1817,0.0010125223780050874
1818,0.0010040164925158024
1819,0.0009726638672873378
1820,0.0009764548158273101
1821,0.0009349025203846395
1822,0.000956453091930598
1823,0.0010075647151097655
1824,0.0009462416055612266
1825,0.0009652333101257682
1826,0.0009314030176028609
1827,0.0009287353605031967
1828,0.0009262879029847682
1829,0.0009132892009802163
1830,0.0009113101405091584
1831,0.0009206155664287508
1832,0.0007403567433357239
1833,0.0009143701754510403
1834,0.0008934023207984865
1835,0.0008992537041194737
1836,0.000917998084332794
1837,0.0008758316398598254
1838,0.0008552183280698955
1839,0.0008617244311608374
1840,0.0008381229708902538
1841,0.0008408331195823848
1842,0.0008161886362358928
1843,0.0008289305260404944
1844,0.000812164566013962
1845,0.0008061893749982119
1846,0.0007981350063346326
1847,0.0008000887464731932
1848,0.0007872416754253209
1849,0.0007708563352935016
1850,0.0007945753168314695
1851,0.00075859937351197
1852,0.000763523334171623
1853,0.000748592778109014
1854,0.000762882293201983
1855,0.000751035229768604
1856,0.0007277164841070771
1857,0.0006992197595536709
1858,0.0006860435823909938
1859,0.0006959690363146365
1860,0.0006927056820131838
1861,0.0006743798148818314
1862,0.0006650955765508115
1863,0.0006585500668734312
1864,0.0006492084939964116
1865,0.0006552133127115667
1866,0.0006468114443123341
1867,0.0006285320268943906
1868,0.0006271429592743516
1869,0.0006224300595931709
1870,0.0006228024140000343
1871,0.00061463110614568
1872,0.0005937793757766485
1873,0.0005934651708230376
1874,0.0005799595965072513
1875,0.0005777270998805761
1876,0.0005763026420027018
1877,0.0005563867161981761
1878,0.0005543254665099084
1879,0.0005438479711301625
1880,0.0005435416824184358
1881,0.0005477514932863414
1882,0.000547584961168468
1883,0.0005387068958953023
1884,0.0005402610986493528
1885,0.0005262167542241514
1886,0.0005178115679882467
1887,0.0005236377473920584
1888,0.0005255910800769925
1889,0.0005284499493427575
1890,0.0005240697646513581
1891,0.000515876105055213
1892,0.0005243740160949528
1893,0.0005155278486199677
1894,0.0005272889393381774
1895,0.0004940625512972474
1896,0.000506921554915607
1897,0.0004973989562131464
1898,0.0004990010638721287
1899,0.0005056213703937829
1900,0.0005033130873925984
1901,0.00048713511205278337
1902,0.0004859831533394754
1903,0.00048403232358396053
1904,0.00048786087427288294
1905,0.0004716248658951372
1906,0.0004689813940785825
1907,0.00046996126184239984
1908,0.0004651430936064571
1909,0.00047906232066452503
1910,0.00045983216841705143
1911,0.00045183111797086895
1912,0.00045907075400464237
1913,0.00045487788156606257
1914,0.00046098860912024975
1915,0.0004478678747545928
1916,0.0004517922643572092
1917,0.00046500255120918155
1918,0.00047923249076120555
1919,0.00046829876373521984
1920,0.00045475337537936866
1921,0.0004379100864753127
1922,0.00043179321801289916
1923,0.00041939428774639964
1924,0.0004233406507410109
1925,0.0004015587328467518
1926,0.00040848684147931635
1927,0.00039629367529414594
1928,0.00038801421760581434
1929,0.00038896003388799727
1930,0.00039195630233734846
1931,0.0003723276895470917
1932,0.0003732545883394778
1933,0.00035187334287911654
1934,0.00036222863127477467
1935,0.0003543164930306375
1936,0.000348170317010954
1937,0.000344700034474954
1938,0.0003483561158645898
1939,0.00033584103221073747
1940,0.00032951580942608416
1941,0.00032405031379312277
1942,0.00034429095103405416
1943,0.00034017220605164766
1944,0.0003409127821214497
1945,0.0003319609968457371
1946,0.0003266088606324047
1947,0.00032359527540393174
1948,0.000317889207508415
1949,0.00029855655157007277
1950,0.00030621050973422825
1951,0.00030207898817025125
1952,0.0003110672114416957
1953,0.0002922157000284642
1954,0.0002833629259839654
1955,0.00028429136727936566
1956,0.00028278399258852005
1957,0.00027326992130838335
1958,0.0002741217613220215
1959,0.00026848504785448313
1960,0.0002651569666340947
1961,0.00026463065296411514
