,history
1800,0.00015157951565925032
1801,0.00014800475037191063
1802,0.00015025006723590195
1803,0.0001430507400073111
1804,0.00017324868531432003
1805,0.00016323081217706203
1806,0.00015463864838238806
1807,0.00016955356113612652
1808,0.0001335749839199707
1809,0.00014756798918824643
1810,0.0001477041223552078
1811,0.00013101915828883648
1812,0.00013367249630391598
1813,0.00013955397298559546
1814,0.00016327467164956033
1815,0.0001463224325561896
1816,0.00013814281555823982
1817,0.00015388261817861348
1818,0.0001464605302317068
1819,0.00014534273941535503
1820,0.00014221557648852468
1821,0.00014305028889793903
1822,0.00013144819240551442
1823,0.0001510482543380931
1824,0.00015062818420119584
1825,0.00014534479123540223
1826,0.00014479478704743087
1827,0.00015402516874019057
1828,0.00015491945669054985
1829,0.00016935152234509587
1830,0.0001646094024181366
1831,0.0001589265011716634
1832,0.00013933485024608672
1833,0.00016121640510391444
1834,0.0001588617597008124
1835,0.00017341607599519193
1836,0.00015943922335281968
1837,0.0001628241443540901
1838,0.00016496909665875137
1839,0.00015562449698336422
1840,0.0001630958722671494
1841,0.00017000797379296273
1842,0.00015692577289883047
1843,0.0001546305138617754
1844,0.00016618325025774539
1845,0.00015743110270705074
1846,0.0001665964227868244
1847,0.00017004538676701486
1848,0.00017049185407813638
1849,0.00017947638116311282
1850,0.00017869679140858352
1851,0.00016872782725840807
1852,0.0001672579674050212
1853,0.00016196747310459614
1854,0.00017887164722196758
1855,0.00017169970669783652
1856,0.0001783226034604013
1857,0.00017338505131192505
1858,0.00016965577378869057
1859,0.0001696709223324433
1860,0.00016313671949319541
1861,0.0001721950393402949
1862,0.00016480010526720434
1863,0.0001798993325792253
1864,0.00016464381769765168
1865,0.0001669627527007833
1866,0.00016037689056247473
1867,0.00016016847803257406
1868,0.00016135213081724942
1869,0.00016780485748313367
1870,0.0001662466675043106
1871,0.0001621261762920767
1872,0.00015939802688080817
1873,0.00016883775242604315
1874,0.00016845112259034067
1875,0.000163313903613016
1876,0.00017252939869649708
1877,0.00016701560525689274
1878,0.00016485204105265439
1879,0.00016966334078460932
1880,0.00017015953199006617
1881,0.00017281813779845834
1882,0.00016292168584186584
1883,0.0001666609605308622
1884,0.0001603023411007598
1885,0.0001586928265169263
1886,0.00016856913862284273
1887,0.00016178515215869993
1888,0.00016235705697908998
1889,0.00016585712728556246
1890,0.00017399631906300783
1891,0.00017578661208972335
1892,0.0001674620871199295
1893,0.00017310470866505057
1894,0.00016900281480047852
1895,0.00016605047858320177
1896,0.0001700173015706241
1897,0.00017081847181543708
1898,0.00016979467181954533
1899,0.00017086765728890896
1900,0.0001682402944425121
1901,0.00016262959979940206
1902,0.0001690712961135432
1903,0.0001596435613464564
1904,0.00015975763380993158
1905,0.00015679611533414572
1906,0.00015033951785881072
1907,0.00015961870667524636
1908,0.00015225469542201608
1909,0.00014576483226846904
1910,0.00015213442384265363
1911,0.00014817134069744498
1912,0.00014572024520020932
1913,0.00014168569759931415
1914,0.00014073748025111854
1915,0.00013967667473480105
1916,0.00013686732563655823
1917,0.00013872857380192727
1918,0.00013757392298430204
1919,0.00013823862536810338
1920,0.00013733343803323805
1921,0.00013649059110321105
1922,0.00013630928879138082
1923,0.0001399875764036551
1924,0.0001385938230669126
1925,0.0001378294691676274
1926,0.0001547267456771806
1927,0.00014561068383045495
1928,0.00014498992823064327
