,p
1800,0.00023394898744300008
1801,0.000330046663293615
1802,0.0003455440455581993
1803,0.00027552293613553047
1804,0.0003606007667258382
1805,0.00027424440486356616
1806,0.0003213092277292162
1807,0.00030976691050454974
1808,0.00026224571047350764
1809,0.00028482163907028735
1810,0.0002863163244910538
1811,0.0003172342840116471
1812,0.0003162410284858197
1813,0.0002931416092906147
1814,0.0003685099072754383
1815,0.0002453985216561705
1816,0.0002829133300110698
1817,0.0004469827690627426
1818,0.0003521393518894911
1819,0.0002839429071173072
1820,0.00026452293968759477
1821,0.0003279689699411392
1822,0.00031233372283168137
1823,0.0002713856229092926
1824,0.0002909230242948979
1825,0.0003451030352152884
1826,0.00028715701773762703
1827,0.0003189483832102269
1828,0.0003110115067102015
1829,0.0002940816048067063
1830,0.00028896352159790695
1831,0.0002691475674510002
1832,0.00030846233130432665
1833,0.00023993061040528119
1834,0.0002742755750659853
1835,0.00023197641712613404
1836,0.00024808174930512905
1837,0.000265445007244125
1838,0.0002622655883897096
1839,0.0002603749162517488
1840,0.0003220892103854567
1841,0.00028853589901700616
1842,0.00028399829170666635
1843,0.0002898588718380779
1844,0.00028093100991100073
1845,0.0003291102475486696
1846,0.000278343417448923
1847,0.000276106788078323
1848,0.0002505061565898359
1849,0.0002919901453424245
1850,0.00024694824242033064
1851,0.0002488492173142731
1852,0.00024475075770169497
1853,0.00024613735149614513
1854,0.000262951449258253
1855,0.00023781295749358833
1856,0.0002580230648163706
1857,0.000254216167377308
1858,0.00027236994355916977
1859,0.00024639771436341107
1860,0.0002769909624475986
1861,0.00026369598344899714
1862,0.0002789688587654382
1863,0.00023921692627482116
1864,0.0002475839573889971
1865,0.0002394603652646765
1866,0.0002238729503005743
1867,0.00023477515787817538
1868,0.00023339987092185766
1869,0.0002850394230335951
1870,0.00022794498363509774
1871,0.0002612725365906954
1872,0.000268632429651916
1873,0.0003098670858889818
1874,0.00026315150898881257
1875,0.00028407512581907213
1876,0.0002668275556061417
1877,0.0002722782955970615
1878,0.00028104332159273326
1879,0.00026614562375470996
1880,0.00029171505593694746
1881,0.00029109156457707286
1882,0.00026566165615804493
1883,0.00028733673389069736
1884,0.0002715736336540431
1885,0.0003038037975784391
1886,0.00027558443252928555
1887,0.00026554331998340786
1888,0.0002679770113900304
1889,0.0003079722519032657
1890,0.0002900976687669754
1891,0.0003038198046851903
1892,0.00030035246163606644
1893,0.00029248694772832096
1894,0.00027936394326388836
1895,0.00030235075973905623
1896,0.0003087530203629285
1897,0.000295729172648862
1898,0.0003054029366467148
1899,0.0002853561018127948
1900,0.0003064660122618079
1901,0.0003044244949705899
1902,0.00031269490136764944
1903,0.00031363044399768114
1904,0.00033090324723161757
1905,0.0003412348742131144
1906,0.00035311467945575714
1907,0.00033828147570602596
1908,0.00036615272983908653
1909,0.0003464107576292008
1910,0.00035959461820311844
1911,0.0003399872512090951
1912,0.0003625990357249975
1913,0.00037095401785336435
1914,0.00036938299308530986
1915,0.0003625526442192495
1916,0.0003514727286528796
1917,0.0003318072995170951
1918,0.0003530191897880286
1919,0.0003302097611594945
1920,0.00031526756356470287
1921,0.0003482262836769223
1922,0.0003586838720366359
1923,0.0003753570490516722
1924,0.0004106948908884078
1925,0.0004164533456787467
1926,0.00038427580147981644
1927,0.0004133754118811339
1928,0.00042748707346618176
1929,0.0004450617707334459
1930,0.0004634894139599055
1931,0.00046555051812902093
1932,0.00045240993495099247
1933,0.0004323783505242318
1934,0.00043620000360533595
1935,0.0004928333219140768
1936,0.00044263098970986903
1937,0.00045031154877506196
1938,0.00045668164966627955
1939,0.00041922074160538614
1940,0.00045440392568707466
1941,0.00042805878911167383
1942,0.00042189907981082797
1943,0.00037029077066108584
1944,0.000366516993381083
1945,0.0003610309213399887
1946,0.00034765127929858863
1947,0.0003599558549467474
1948,0.000408109714044258
1949,0.00047133894986473024
1950,0.0004385383508633822
1951,0.0004159641976002604
1952,0.00041265375330112875
1953,0.0004584996495395899
1954,0.0004949375288560987
1955,0.0004625330329872668
1956,0.0004862482310272753
1957,0.0005067742895334959
1958,0.00047752587124705315
1959,0.0004808932135347277
1960,0.00048116635298356414
1961,0.0004772811953444034
1962,0.0005277147283777595
1963,0.0005270950496196747
1964,0.000537381274625659
1965,0.0005496636149473488
1966,0.0005128937773406506
1967,0.0005165161564946175
1968,0.0004999834345653653
1969,0.00047481092042289674
1970,0.0005072656786069274
1971,0.0004859686887357384
1972,0.0004900831845588982
1973,0.0006380444392561913
1974,0.0004909061244688928
1975,0.0004906884278170764
1976,0.0004907125257886946
1977,0.0004914572346024215
1978,0.000506135169416666
1979,0.0005004737759009004
1980,0.0004994331393390894
1981,0.0005255120922811329
1982,0.0005075428052805364
1983,0.0005097855464555323
1984,0.0005827900604344904
1985,0.0005166286719031632
1986,0.0005141426809132099
1987,0.000478582747746259
1988,0.00045831353054381907
1989,0.00046328146709129214
1990,0.0004535095358733088
1991,0.000421972363255918
1992,0.0004263235896360129
1993,0.0004123637918382883
1994,0.00040017158607952297
1995,0.00038321828469634056
1996,0.0003466755151748657
1997,0.0003295124915894121
1998,0.00032357251620851457
1999,0.00031796403345651925
2000,0.000307449052343145
2001,0.0002875050704460591
2002,0.00030035400413908064
2003,0.00029582009301520884
2004,0.0002856157370842993
2005,0.00028975505847483873
2006,0.0002860123640857637
2007,0.0002884509158320725
2008,0.00025160633958876133
2009,0.0002532387152314186
2010,0.00024317829229403287
2011,0.00023904260888230056
2012,0.0002599514555186033
2013,0.0002979491255246103
2014,0.00024948548525571823
2015,0.00025658542290329933
2016,0.0002933880896307528
2017,0.0002624456537887454
2018,0.0002458593517076224
2019,0.00025194260524585843
