,then
1800,0.0009047069470398128
1801,0.0008270751568488777
1802,0.0008197519346140325
1803,0.0008462101686745882
1804,0.0008355500176548958
1805,0.0008430785965174437
1806,0.0008608196512795985
1807,0.0008354670717380941
1808,0.0008917335653677583
1809,0.0009417160181328654
1810,0.0008963652653619647
1811,0.0009165821829810739
1812,0.0009371373453177512
1813,0.0008744683000259101
1814,0.0008735299343243241
1815,0.0008937552338466048
1816,0.0009669508435763419
1817,0.0008564821910113096
1818,0.0008308231481350958
1819,0.0008265982614830136
1820,0.000908071524463594
1821,0.000886435795109719
1822,0.0008851124439388514
1823,0.000870338233653456
1824,0.0008673491538502276
1825,0.0008762932848185301
1826,0.000897797872312367
1827,0.0008471360779367387
1828,0.0008729129913263023
1829,0.0008727255626581609
1830,0.0009088096558116376
1831,0.0008785921381786466
1832,0.0007990541053004563
1833,0.0008870817837305367
1834,0.0008654858684167266
1835,0.000852945726364851
1836,0.0008825847180560231
1837,0.0008744100341573358
1838,0.0008836885681375861
1839,0.0009027529740706086
1840,0.000883737113326788
1841,0.0009007580229081213
1842,0.0009058970026671886
1843,0.0009122798801399767
1844,0.0009259757352992892
1845,0.0008901700493879616
1846,0.0009003123268485069
1847,0.0009027253836393356
1848,0.0008875722996890545
1849,0.0008964176522567868
1850,0.0008901659748516977
1851,0.0008822064846754074
1852,0.0008881472749635577
1853,0.0009027756750583649
1854,0.0008614604012109339
1855,0.0008576891268603504
1856,0.0008588581113144755
1857,0.0008643294568173587
1858,0.0008456622017547488
1859,0.0008350616553798318
1860,0.0008515443769283593
1861,0.0008358136401511729
1862,0.0008327566902153194
1863,0.0008282658527605236
1864,0.0008491229964420199
1865,0.0008403720567002892
1866,0.0008222454925999045
1867,0.0008154265233315527
1868,0.0008235971326939762
1869,0.0008138376288115978
1870,0.0008043546113185585
1871,0.0008095859666354954
1872,0.0008147396147251129
1873,0.0007975994376465678
1874,0.000791289668995887
1875,0.0007919653435237706
1876,0.0007826662040315568
1877,0.0007870699628256261
1878,0.0007769810035824776
1879,0.0007700555142946541
1880,0.0007706858450546861
1881,0.0007703526061959565
1882,0.0007737232954241335
1883,0.0007816065917722881
1884,0.0007567018619738519
1885,0.000747534679248929
1886,0.0007426371448673308
1887,0.0007451305282302201
1888,0.0007419817266054451
1889,0.0007317527779377997
1890,0.0007412704289890826
1891,0.0007238248363137245
1892,0.0007319495198316872
1893,0.0007290830835700035
1894,0.0007220616680569947
1895,0.0007028027903288603
1896,0.0007199078099802136
1897,0.0006781670963391662
1898,0.0006940360181033611
1899,0.0007088180282153189
1900,0.000692430476192385
1901,0.0006638717604801059
1902,0.0006609768606722355
1903,0.000660716206766665
1904,0.0006581771885976195
1905,0.0006454355898313224
1906,0.0006440584547817707
1907,0.0006286277784965932
1908,0.0006307639996521175
1909,0.0006214650347828865
1910,0.0006190245621837676
1911,0.0006115740397945046
1912,0.0006138216704130173
1913,0.0005920696421526372
1914,0.0005768084665760398
1915,0.0005608202191069722
1916,0.0005636370042338967
1917,0.0005562381120398641
1918,0.0005523873260244727
1919,0.0005477435770444572
1920,0.0005600964650511742
1921,0.0005468164454214275
1922,0.0005643062759190798
1923,0.0005553990486077964
1924,0.0005669535603374243
1925,0.0005530052585527301
1926,0.0005605019396170974
1927,0.0005470692995004356
1928,0.0005450127646327019
1929,0.0005416593048721552
1930,0.0005295512382872403
1931,0.0005149677162989974
1932,0.0005127064068801701
1933,0.0005097078974358737
1934,0.0005145798204466701
1935,0.0005220149760134518
1936,0.0005133773665875196
1937,0.0005059833056293428
1938,0.0005038183298893273
1939,0.000499058049172163
1940,0.0004930252907797694
1941,0.0004818557936232537
1942,0.000495926768053323
1943,0.0005031214677728713
1944,0.0005017095245420933
1945,0.0004926418769173324
1946,0.0005158025305718184
1947,0.0005174847319722176
1948,0.0005093237850815058
1949,0.0004960729856975377
1950,0.0005206397036090493
1951,0.000518816290423274
1952,0.0005392103921622038
1953,0.0005208650836721063
1954,0.0005173851386643946
1955,0.0005251615075394511
1956,0.0005240464815869927
1957,0.0005174004472792149
1958,0.0005270750261843204
1959,0.0005164020112715662
1960,0.0005182453314773738
1961,0.0005211137467995286
1962,0.0005271880072541535
1963,0.0005254137213341892
1964,0.0005286263185553253
1965,0.0005283611244522035
1966,0.0005340581992641091
1967,0.0005340756615623832
1968,0.0005382993840612471
1969,0.0005341221112757921
1970,0.0005346805555745959
1971,0.0005184313631616533
1972,0.0005126527394168079
1973,0.0004999711527489126
1974,0.0005028492887504399
1975,0.0004971810849383473
1976,0.0004915743484161794
1977,0.0004874700680375099
1978,0.0004825599316973239
1979,0.00047908583655953407
1980,0.0004872134595643729
1981,0.00048401317326352
1982,0.0004854923754464835
1983,0.0004923299420624971
1984,0.0004951467853970826
1985,0.0004913259181194007
1986,0.0005039461539126933
1987,0.0005063873250037432
1988,0.0005114232772029936
1989,0.0005041374824941158
1990,0.0005114612285979092
1991,0.0005168936331756413
1992,0.0005175728583708405
1993,0.00051340606296435
1994,0.0005182333406992257
