,between
1800,0.0004668582114391029
1801,0.0004696910036727786
1802,0.0005005125422030687
1803,0.00044683110900223255
1804,0.00044094049371778965
1805,0.0004689550551120192
1806,0.0004447415121831
1807,0.000464933313196525
1808,0.0004077069170307368
1809,0.0004738062561955303
1810,0.0004422892816364765
1811,0.00043100694892928004
1812,0.0004529492580331862
1813,0.0004672114737331867
1814,0.0004747181956190616
1815,0.00048123751184903085
1816,0.00044349473319016397
1817,0.0004604279820341617
1818,0.00045250801485963166
1819,0.0004956410848535597
1820,0.00045457552187144756
1821,0.0004385063366498798
1822,0.00045183347538113594
1823,0.0004571418685372919
1824,0.00045796053018420935
1825,0.0004547282587736845
1826,0.0004782741889357567
1827,0.00046759776887483895
1828,0.0004722167504951358
1829,0.0004966955748386681
1830,0.000481090770335868
1831,0.00047039022319950163
1832,0.0005490889307111502
1833,0.0004823609779123217
1834,0.0004888076218776405
1835,0.00048451105249114335
1836,0.0005079702823422849
1837,0.0004973251488991082
1838,0.000499001529533416
1839,0.0005035147187300026
1840,0.0004936362383887172
1841,0.0005078221438452601
1842,0.0004991012392565608
1843,0.000492155144456774
1844,0.0004805078497156501
1845,0.000509351200889796
1846,0.0005064198048785329
1847,0.0005004251725040376
1848,0.0005000167875550687
1849,0.0005070847109891474
1850,0.0005016430513933301
1851,0.0005076152156107128
1852,0.0005070223123766482
1853,0.000500001129694283
1854,0.000520955421961844
1855,0.0005212115356698632
1856,0.0005338267073966563
1857,0.0005118497647345066
1858,0.0005271161790005863
1859,0.0005208786460570991
1860,0.0005142728914506733
1861,0.0005316016031429172
1862,0.0005213682889007032
1863,0.0005308717372827232
1864,0.0005205257330089808
1865,0.000520590110681951
1866,0.0005262363119982183
1867,0.0005297179450280964
1868,0.000515987048856914
1869,0.0005268909153528512
1870,0.0005224801134318113
1871,0.0005304197547957301
1872,0.0005339906201697886
1873,0.0005487319431267679
1874,0.0005470874020829797
1875,0.0005460305837914348
1876,0.0005481888074427843
1877,0.0005526946042664349
1878,0.0005557421827688813
1879,0.0005436690407805145
1880,0.0005422975518740714
1881,0.0005393695901148021
1882,0.0005461144610308111
1883,0.0005464620771817863
1884,0.0005511011113412678
1885,0.0005613516550511122
1886,0.0005537715624086559
1887,0.0005442862748168409
1888,0.0005503627471625805
1889,0.0005450811004266143
1890,0.0005626954371109605
1891,0.0005519541446119547
1892,0.0005536861717700958
1893,0.0005610724911093712
1894,0.0005542215658351779
1895,0.0005688766832463443
1896,0.0005543865263462067
1897,0.0005651290994137526
1898,0.0005679955938830972
1899,0.0005430805031210184
1900,0.0005599936121143401
1901,0.0005648144287988544
1902,0.0005700054462067783
1903,0.0005743124056607485
1904,0.0005832814495079219
1905,0.000579845393076539
1906,0.0005836424534209073
1907,0.0005812845774926245
1908,0.0005849958979524672
1909,0.0005727646639570594
1910,0.0006015364197082818
1911,0.0006032144301570952
1912,0.0005933092907071114
1913,0.0005919146351516247
1914,0.0006000938592478633
1915,0.0005968682817183435
1916,0.0005992178921587765
1917,0.0005868945736438036
1918,0.0005866601713933051
1919,0.0005780057399533689
1920,0.0005915941437706351
1921,0.0005870495224371552
1922,0.0006012934609316289
1923,0.0005939247203059494
1924,0.0006046556518413126
1925,0.0006103187915869057
1926,0.0006254215259104967
1927,0.0006065257475711405
1928,0.0006235445034690201
1929,0.0006132382550276816
1930,0.0006203493103384972
1931,0.000614209333434701
1932,0.0006334171048365533
1933,0.0006352284108288586
1934,0.0006365866865962744
1935,0.0006328787421807647
1936,0.0006341501721180975
1937,0.0006394275114871562
1938,0.00066137604881078
1939,0.0006442018202506006
1940,0.0006570564582943916
1941,0.000633137475233525
1942,0.000642110884655267
1943,0.0006273172912187874
1944,0.0006184217636473477
1945,0.0006115233991295099
1946,0.0006420915015041828
1947,0.0006442316225729883
1948,0.0006541063776239753
1949,0.0006625980022363365
1950,0.0006665021064691246
1951,0.0006550965481437743
1952,0.0006782358977943659
1953,0.0006696174386888742
1954,0.0006787673337385058
1955,0.0006805703160353005
1956,0.00069131248164922
1957,0.0006921939784660935
1958,0.0007082947995513678
1959,0.0007149895536713302
1960,0.0007363762706518173
1961,0.0007307507912628353
1962,0.0007480108761228621
1963,0.0007426582742482424
1964,0.0007579427328892052
1965,0.0007400561007671058
1966,0.0007539530051872134
1967,0.0007313546957448125
1968,0.0007454150472767651
1969,0.000741334049962461
1970,0.0007409219979308546
1971,0.0007421464542858303
1972,0.0007579987868666649
1973,0.0007390365353785455
1974,0.0007496308535337448
1975,0.000753846310544759
1976,0.0007476680912077427
1977,0.0007483141380362213
1978,0.0007427940145134926
1979,0.000745376804843545
1980,0.0007550203008577228
1981,0.0007573601324111223
1982,0.000749183411244303
1983,0.0007551051094196737
1984,0.0007490209536626935
1985,0.0007507349946536124
1986,0.0007600106182508171
1987,0.0007593908230774105
1988,0.0007569707813672721
1989,0.0007444477523677051
1990,0.000755584507714957
1991,0.0007626814185641706
1992,0.0007600066601298749
1993,0.0007583838305436075
1994,0.0007609101012349129
1995,0.0007491363794542849
1996,0.000765145814511925
1997,0.0007693743682466447
1998,0.0007753021200187504
1999,0.0007647324237041175
2000,0.0007646112353540957
2001,0.0007568017463199794
2002,0.0007771807722747326
2003,0.0007664376753382385
2004,0.0007680017151869833
2005,0.0007741746376268566
2006,0.0007616753573529422
2007,0.0007627865998074412
2008,0.0007337549468502402
2009,0.0007193246274255216
2010,0.0007125982665456831
2011,0.0006971338880248368
2012,0.0007544077234342694
2013,0.0007863037753850222
2014,0.0007065485115163028
2015,0.0007126205018721521
2016,0.0007674702792428434
2017,0.0007068239501677454
2018,0.0006798655376769602
2019,0.0007048597326502204
