,power
1800,0.0004291022487450391
1801,0.00047138010268099606
1802,0.0004910420393571258
1803,0.0004085916734766215
1804,0.0004584763082675636
1805,0.00047196962987072766
1806,0.00044362604967318475
1807,0.0004513512540142983
1808,0.0004708080377895385
1809,0.00045207899529486895
1810,0.00045409941230900586
1811,0.0004854401049669832
1812,0.0005108220502734184
1813,0.00048379891086369753
1814,0.00046786668826825917
1815,0.000471335428301245
1816,0.00047633855137974024
1817,0.00047053088201209903
1818,0.0004757526912726462
1819,0.00043639561044983566
1820,0.00044929320574738085
1821,0.0004446798120625317
1822,0.0004681902064476162
1823,0.00046581189963035285
1824,0.0004491147119551897
1825,0.0005092237843200564
1826,0.0005036555230617523
1827,0.00048306421376764774
1828,0.0004949818248860538
1829,0.0004912433796562254
1830,0.0005100462585687637
1831,0.0005124291055835783
1832,0.0004985977429896593
1833,0.0005225302884355187
1834,0.0005289262044243515
1835,0.0005139247514307499
1836,0.0005400431109592319
1837,0.0005173556855879724
1838,0.00048235946451313794
1839,0.0004934454336762428
1840,0.000495562853757292
1841,0.0005017559160478413
1842,0.00046864908654242754
1843,0.0004912884323857725
1844,0.0004997625946998596
1845,0.00048202372272498906
1846,0.0004871817654930055
1847,0.0004585488059092313
1848,0.000489754427690059
1849,0.0004924008972011507
1850,0.0004891640855930746
1851,0.0004988434375263751
1852,0.0004749231447931379
1853,0.0004856671439483762
1854,0.0004935156903229654
1855,0.0004779675218742341
1856,0.0004852109996136278
1857,0.000449181767180562
1858,0.0004715035029221326
1859,0.0004416508600115776
1860,0.0004536372725851834
1861,0.00044998855446465313
1862,0.0004250248894095421
1863,0.0004297562700230628
1864,0.0004307169874664396
1865,0.00042388465953990817
1866,0.0004409833927638829
1867,0.00043210916919633746
1868,0.0004393236886244267
1869,0.0004226008604746312
1870,0.00042204890633001924
1871,0.0004236139066051692
1872,0.0004073024610988796
1873,0.00040835043182596564
1874,0.0004076382319908589
1875,0.00039855961222201586
1876,0.00039610921521671116
1877,0.00040364559390582144
1878,0.00038334319833666086
1879,0.000384441576898098
1880,0.00037860224256291986
1881,0.00039133219979703426
1882,0.0003998982429038733
1883,0.00038716706330887973
1884,0.0003915208508260548
1885,0.0003778969985432923
1886,0.0003820015990640968
1887,0.0003791031485889107
1888,0.00037852994864806533
1889,0.00036837428342550993
1890,0.00037925507058389485
1891,0.0003703514230437577
1892,0.00037209855508990586
1893,0.00037562745274044573
1894,0.00037831475492566824
1895,0.00036766609991900623
1896,0.00036898188409395516
1897,0.0003780352708417922
1898,0.0003727966104634106
1899,0.00036361123784445226
1900,0.00036833854392170906
1901,0.0003762831329368055
1902,0.0003720312670338899
1903,0.0003836879914160818
1904,0.0003800707927439362
1905,0.0003894425753969699
1906,0.0003944385680370033
1907,0.00038248649798333645
1908,0.00038462234078906476
1909,0.00038563364068977535
1910,0.00039343786193057895
1911,0.0003906114725396037
1912,0.0003894878027494997
1913,0.00038571740151382983
1914,0.00037824915489181876
1915,0.00038055458571761847
1916,0.0003763119166251272
1917,0.00038059783400967717
1918,0.000395080482121557
1919,0.00039015416405163705
1920,0.0003848860797006637
1921,0.0003749530587811023
1922,0.0003792950592469424
1923,0.00035284843761473894
1924,0.00036946331965737045
1925,0.00034564363886602223
1926,0.00035175171797163785
1927,0.0003423992311581969
1928,0.00035352460690774024
1929,0.0003315350040793419
1930,0.0003482075408101082
1931,0.0003248685970902443
1932,0.00033554158289916813
1933,0.0003345051081851125
1934,0.0003485861234366894
1935,0.000349166220985353
1936,0.0003323924611322582
1937,0.0003404839662835002
1938,0.00033943899325095117
1939,0.00034725351724773645
1940,0.0003348701575305313
1941,0.00034250400494784117
1942,0.0003488575457595289
1943,0.0003460444859229028
1944,0.0003536473086569458
1945,0.0003635193279478699
1946,0.00035333953564986587
1947,0.00036320279468782246
1948,0.0003604282974265516
1949,0.0003552981361281127
1950,0.0003463989996816963
