,now
1800,0.00088534876704216
1801,0.0008524359436705709
1802,0.0008202817989513278
1803,0.0008249551174230874
1804,0.0008441017707809806
1805,0.0008321629138663411
1806,0.000876908132340759
1807,0.0007956947083584964
1808,0.0009204557281918824
1809,0.000828679942060262
1810,0.0008627114002592862
1811,0.0008852244936861098
1812,0.0009487560018897057
1813,0.0008956553065218031
1814,0.0008617547573521733
1815,0.0008611180819571018
1816,0.0008832308812998235
1817,0.0008558693225495517
1818,0.0008575126994401217
1819,0.0008114238153211772
1820,0.0009143565548583865
1821,0.0009135485161095858
1822,0.0008903265697881579
1823,0.0008475637878291309
1824,0.0008726718951947987
1825,0.0009044135804288089
1826,0.0008663292392157018
1827,0.0008678290760144591
1828,0.0008831889135763049
1829,0.0008902684203349054
1830,0.0008882589172571898
1831,0.0008944629807956517
1832,0.0007946076220832765
1833,0.0009314821218140423
1834,0.0009207874536514282
1835,0.0009066101047210395
1836,0.0009143226779997349
1837,0.0009229267598129809
1838,0.000911570037715137
1839,0.0009043823811225593
1840,0.0009126516524702311
1841,0.0009198985644616187
1842,0.0009092707769013941
1843,0.0009028365020640194
1844,0.0009299037628807127
1845,0.000903723353985697
1846,0.0009118819725699723
1847,0.0008999878191389143
1848,0.0009342175326310098
1849,0.0009195977472700179
1850,0.0009394917287863791
1851,0.0009154255385510623
1852,0.0009329431923106313
1853,0.0009471948142163455
1854,0.0009096020366996527
1855,0.0009000228019431233
1856,0.0009192611905746162
1857,0.0009063585894182324
1858,0.0008932267664931715
1859,0.0008874384802766144
1860,0.0009134914143942297
1861,0.0009006017353385687
1862,0.0009087305516004562
1863,0.0008813198073767126
1864,0.0009005495812743902
1865,0.0009040803997777402
1866,0.000898484606295824
1867,0.0008812376763671637
1868,0.0008903404232114553
1869,0.000893973745405674
1870,0.0008805281249806285
1871,0.000863507913891226
1872,0.000863263092469424
1873,0.0008496306254528463
1874,0.0008651699172332883
1875,0.0008517865207977593
1876,0.0008463006815873086
1877,0.0008275692234747112
1878,0.0008389207068830729
1879,0.0008333012810908258
1880,0.0008384471293538809
1881,0.0008329193224199116
1882,0.0008598159183748066
1883,0.0008255961001850665
1884,0.0008128836052492261
1885,0.0008039381355047226
1886,0.000791985250543803
1887,0.000790660094935447
1888,0.0007976433262228966
1889,0.0007840290782041848
1890,0.0007817836012691259
1891,0.0007679186528548598
1892,0.0007702505099587142
1893,0.0007763316971249878
1894,0.0007579938974231482
1895,0.0007381729083135724
1896,0.0007524304674006999
1897,0.0007327098282985389
1898,0.00072682328755036
1899,0.0007681687129661441
1900,0.0007493970915675163
1901,0.0007078738999553025
1902,0.0007144001428969204
1903,0.0007052086293697357
1904,0.000699403346516192
1905,0.0006821450078859925
1906,0.000685023027472198
1907,0.0006764489808119833
1908,0.0006681484519504011
1909,0.0006766105070710182
1910,0.0006541914190165699
1911,0.0006532218540087342
1912,0.0006547912489622831
1913,0.0006434021051973104
1914,0.0006402817089110613
1915,0.0006230424623936415
1916,0.0006347818416543305
1917,0.0006510026869364083
1918,0.0006688389112241566
1919,0.0006629988201893866
1920,0.0006542695919051766
1921,0.000645581167191267
1922,0.0006435807445086539
1923,0.0006204444216564298
1924,0.000642104132566601
1925,0.0006062772590667009
1926,0.0006226542172953486
1927,0.0006049222429282963
1928,0.0006087525398470461
1929,0.000618502963334322
1930,0.000604875385761261
1931,0.0005806827684864402
1932,0.0005945794400759041
1933,0.0005752960569225252
1934,0.0005911465850658715
1935,0.0005828256253153086
1936,0.0005703026545234025
1937,0.0005722062196582556
