,am
1800,0.00042720927740447223
1801,0.0004831146798096597
1802,0.0003658434434328228
1803,0.00039005689905025065
1804,0.0004458875919226557
1805,0.00039633779670111835
1806,0.0004303361347410828
1807,0.0003696197527460754
1808,0.0005258928867988288
1809,0.0004183325218036771
1810,0.00037213595351204276
1811,0.0004636134544853121
1812,0.0004682469880208373
1813,0.00042385648703202605
1814,0.0004054335877299309
1815,0.00034403183963149786
1816,0.0003793998621404171
1817,0.0003872926172334701
1818,0.0003559925244189799
1819,0.00032407883554697037
1820,0.00043127292883582413
1821,0.00042508033220656216
1822,0.0003607957623898983
1823,0.0003860409779008478
1824,0.00043087953235954046
1825,0.00039346658741123974
1826,0.00034759577829390764
1827,0.00036238759639672935
1828,0.00036045562592335045
1829,0.00033285681274719536
1830,0.0003631599247455597
1831,0.0003561253543011844
1832,0.0003230925358366221
1833,0.00036986920167692006
1834,0.0003781764826271683
1835,0.00037194712786003947
1836,0.0003755878715310246
1837,0.00039432637277059257
1838,0.0003825311432592571
1839,0.0003682647948153317
1840,0.0003725344722624868
1841,0.0003364303847774863
1842,0.00033641562913544476
1843,0.0003579743788577616
1844,0.00036059177364222705
1845,0.00032862406806088984
1846,0.0003459908184595406
1847,0.00034052785485982895
1848,0.00035426492104306817
1849,0.0003182222426403314
1850,0.00035378968459554017
1851,0.0003421661676838994
1852,0.00036394086782820523
1853,0.00039596762508153915
1854,0.0003530154936015606
1855,0.00034918406163342297
1856,0.00035088308504782617
1857,0.00036865114816464484
1858,0.00035490363370627165
1859,0.00034109348780475557
1860,0.00036262886715121567
1861,0.0003487433132249862
1862,0.00036332785384729505
1863,0.00033075810642912984
1864,0.00036301740328781307
1865,0.00036620383616536856
1866,0.0003682957903947681
1867,0.00035623955773189664
1868,0.000365459913155064
1869,0.0003590024425648153
1870,0.00035744611523114145
1871,0.0003499516751617193
1872,0.00036824922426603734
1873,0.0003388578479643911
1874,0.0003417171537876129
1875,0.000338466081302613
1876,0.0003421345609240234
1877,0.00032867363188415766
1878,0.0003202968218829483
1879,0.0003275126509834081
1880,0.00032502744579687715
1881,0.000323113810736686
1882,0.0003440091386437416
1883,0.00032276465208269656
1884,0.00032051076414063573
1885,0.0003183779481332749
1886,0.00031461400794796646
1887,0.00033197476295754313
1888,0.00030978204449638724
1889,0.0003337383677717298
1890,0.00030991245876066387
1891,0.00031929221586324275
1892,0.0003130344266537577
1893,0.0003241245576646179
1894,0.000316204153932631
1895,0.00030455863452516496
1896,0.0002906214795075357
1897,0.0002895846264436841
1898,0.0002880262036342174
1899,0.0003328805905766785
1900,0.00031831488013267517
1901,0.0002978813135996461
1902,0.00029348587850108743
1903,0.00028566294349730015
1904,0.0002888846502173692
1905,0.0002574387181084603
1906,0.00027092412346974015
1907,0.00025236737565137446
1908,0.000258678657701239
1909,0.0002753396111074835
1910,0.00025415411801077425
1911,0.000256120489211753
1912,0.00026191279175691307
1913,0.00025376706616953015
1914,0.00024759379448369145
1915,0.00022584763064514846
1916,0.00023979748948477209
1917,0.00024043163284659386
1918,0.0002369353169342503
1919,0.00025281566195189953
1920,0.000243826987571083
1921,0.00023704908380750567
1922,0.0002328182163182646
1923,0.0002419929369352758
1924,0.0002739917254075408
1925,0.00024184102949220687
1926,0.0002495089720468968
1927,0.00023234680702444166
1928,0.0002337735495530069
1929,0.00023941272229421884
1930,0.00024008075706660748
1931,0.00022506481036543846
1932,0.0002324651286471635
1933,0.0002191656531067565
1934,0.0002449245366733521
1935,0.00023740869073662907
1936,0.00022660661488771439
1937,0.00021725796977989376
1938,0.00022266987070906907
1939,0.00023835879983380437
1940,0.00020756131561938673
1941,0.0002077883982565254
1942,0.0002171019878005609
1943,0.00023274903651326895
1944,0.00022385035117622465
1945,0.0002442820987198502
1946,0.0002490509650669992
1947,0.00024996220599859953
1948,0.00024366403522435576
1949,0.0002167463826481253
1950,0.00023179581330623478
1951,0.0002432955225231126
1952,0.00024185041547752917
1953,0.00023389686248265207
1954,0.00021798630768898875
1955,0.00024320125521626323
1956,0.0002420291566522792
1957,0.00023592791694682091
1958,0.00022997772612143308
1959,0.00022057218302506953
1960,0.00020511154434643686
1961,0.0002088679902954027
1962,0.00020755625155288726
1963,0.00020577370014507324
1964,0.0002106434403685853
1965,0.0002131719811586663
1966,0.0002278896135976538
1967,0.00022710526536684483
1968,0.00021870392083656043
1969,0.00022716030071023852
1970,0.00021750711312051862
1971,0.00020267571380827576
1972,0.00019862614863086492
1973,0.00019521123613230884
1974,0.00020174283417873085
1975,0.00019089184934273362
1976,0.00018668279517441988
1977,0.00018236416508443654
1978,0.00017004132678266615
1979,0.00017697755538392812
1980,0.0001689507917035371
1981,0.00015505807823501527
1982,0.00015679352509323508
1983,0.000162145312060602
1984,0.0001611616025911644
1985,0.000154298308189027
1986,0.0001505121326772496
1987,0.00014748396642971784
1988,0.00015171793347690254
1989,0.0001480009377701208
1990,0.00014923472190275788
1991,0.00014859587827231735
1992,0.00015370668552350253
1993,0.00014342518988996744
1994,0.00014790627756156027
1995,0.00014579096750821918
1996,0.00014810278662480414
1997,0.00015147174417506903
1998,0.00014925404684618115
1999,0.0001547409628983587
2000,0.00016529222193639725
2001,0.000162821845151484
2002,0.00016375533596146852
2003,0.000169745457242243
2004,0.00018120225286111236
2005,0.00018112914403900504
2006,0.00019295870151836425
2007,0.00019053349387831986
2008,0.00021265042596496642
2009,0.000223311988520436
2010,0.00022658611123915762
2011,0.000236428837524727
2012,0.00022161842207424343
2013,0.0002231734397355467
2014,0.0002585217880550772
2015,0.0002545757160987705
2016,0.0002365303080296144
2017,0.00029808387625962496
2018,0.0003115428553428501
2019,0.00028250456671230495
