,than
1942,0.0012975840363651514
1943,0.0012702534440904856
1944,0.0012726867571473122
1945,0.0012625794624909759
1946,0.0012315125204622746
1947,0.0012486919295042753
1948,0.0012631687568500638
1949,0.0012692745076492429
1950,0.0012390968622639775
1951,0.0012464415049180388
1952,0.0012578635942190886
1953,0.0012417512480169535
1954,0.0012533157132565975
1955,0.00125270860735327
1956,0.0012514999834820628
1957,0.0012514620320871472
1958,0.0012459176359698176
1959,0.0012626423267647624
1960,0.0012516785645857453
1961,0.0012628764379769564
1962,0.0012418158585205674
1963,0.0012692605378106236
1964,0.0012408094480633736
1965,0.0012453609379008412
1966,0.0012399621773511171
1967,0.0012397344689816236
1968,0.001243133214302361
1969,0.0012479637516662478
1970,0.001237977296113968
1971,0.0012322867987677455
1972,0.001229618676006794
1973,0.0012053464306518435
1974,0.0012115894351154566
1975,0.0012119236635044217
1976,0.0011984575539827347
1977,0.0011947450693696737
1978,0.0011755130253732204
1979,0.001182481413707137
1980,0.0011839061044156551
1981,0.0011725195217877626
1982,0.00116255774628371
1983,0.001170357340015471
1984,0.0011436864733695984
1985,0.001127400086261332
1986,0.0011361736105754972
1987,0.0011294499272480607
1988,0.0011287450324743986
1989,0.001113411970436573
1990,0.0011173412203788757
1991,0.0011165933683514595
1992,0.0011142537696287036
1993,0.0011265447828918695
1994,0.0011129743652418256
1995,0.0011074874782934785
1996,0.0011146075557917356
1997,0.0011283780913800001
1998,0.0011290659895166755
1999,0.001115439343266189
2000,0.0011134102242067456
2001,0.0011104008881375194
2002,0.001109700882807374
2003,0.0011148098856210709
2004,0.00112266861833632
2005,0.0011203798931092024
2006,0.0011291976552456617
2007,0.001129511627368629
2008,0.0011359575437381864
2009,0.0011355872265994549
2010,0.0011245275381952524
2011,0.0011033102637156844
2012,0.0010957560734823346
2013,0.0011117602698504925
2014,0.0010876029264181852
2015,0.0010805140482261777
2016,0.0010788107756525278
2017,0.0010605660500004888
2018,0.0010468106484040618
2019,0.0010471531422808766
