,take
1800,0.00046280244714580476
1801,0.0004357064899522811
1802,0.00040238825022242963
1803,0.00045055997907184064
1804,0.0004154900088906288
1805,0.0004121187375858426
1806,0.0004194811044726521
1807,0.00040689780144020915
1808,0.00048419024096801877
1809,0.0004528119752649218
1810,0.0004416111914906651
1811,0.0004750836524181068
1812,0.0004714309179689735
1813,0.0004355331475380808
1814,0.0004223654977977276
1815,0.00041423211223445833
1816,0.0004675654345192015
1817,0.00042482567369006574
1818,0.0004109088040422648
1819,0.00040425622137263417
1820,0.00043485802598297596
1821,0.00042669326649047434
1822,0.00043265087879262865
1823,0.00044563753181137145
1824,0.0004292345547582954
1825,0.00042340962681919336
1826,0.0004256443353369832
1827,0.00041822041384875774
1828,0.00041610398329794407
1829,0.0004108850844204426
1830,0.00042561584268696606
1831,0.0004158098599873483
1832,0.0003890658845193684
1833,0.00042078137630596757
1834,0.0004173573979642242
1835,0.00040219470974989235
1836,0.0004238524124957621
1837,0.00042722781654447317
1838,0.0004244318697601557
1839,0.0004173061461187899
1840,0.000417629285948351
1841,0.0004121192032471299
1842,0.00040248726145364344
1843,0.0004203517746645957
1844,0.00042841301183216274
1845,0.00041124719427898526
1846,0.0004180021642241627
1847,0.0004165013087913394
1848,0.0004126608546357602
1849,0.0004058890917804092
1850,0.0004123218241147697
1851,0.0004113325849175453
1852,0.00041653827065601945
1853,0.0004344095359556377
1854,0.00040433660615235567
1855,0.00040727900341153145
1856,0.00041089532896876335
1857,0.0004142211109865457
1858,0.00040854388498701155
1859,0.0004035254241898656
1860,0.00042843149276450276
1861,0.0004223394498694688
1862,0.00042343061068095267
1863,0.00042053379002027214
1864,0.00043115904554724693
1865,0.0004304995236452669
1866,0.00042923682485707104
1867,0.0004271414363756776
1868,0.0004312887031119317
1869,0.00043094975990243256
1870,0.0004283249145373702
1871,0.00043015164555981755
1872,0.0004297313280403614
1873,0.0004123116086702794
1874,0.00041118721128441393
1875,0.00041222680010832846
1876,0.00040763214929029346
1877,0.0004043046210426837
1878,0.0004027830727864057
1879,0.00040197145426645875
1880,0.00039658439345657825
1881,0.0004016648163087666
1882,0.0004088888817932457
1883,0.0004038241459056735
1884,0.00040008965879678726
1885,0.00040489030652679503
1886,0.0004019307962153107
1887,0.00040853567770682275
1888,0.0004016996535938233
1889,0.0004018837644252926
1890,0.0003958632587455213
1891,0.0003942438925150782
1892,0.00039273302536457777
1893,0.0003945774515159428
1894,0.0004021356871817261
1895,0.0003887065395247191
1896,0.0003899234579876065
1897,0.00038216717075556517
1898,0.0003883455938193947
1899,0.0004032031283713877
1900,0.00039608796942047775
1901,0.00039265607483685017
1902,0.0003853511589113623
1903,0.00038802597555331886
1904,0.0003910259692929685
1905,0.0003804820589721203
1906,0.0003830716304946691
1907,0.0003852123045362532
1908,0.0003812200448010117
1909,0.000389429391361773
1910,0.00037430445081554353
1911,0.00037469479138962924
1912,0.00037940815673209727
1913,0.0003775567456614226
1914,0.00037926656659692526
1915,0.00036753551103174686
1916,0.00037765357410535216
1917,0.0003771310730371624
1918,0.0003788564936257899
1919,0.0003899256407748908
1920,0.0003804623265750706
1921,0.00037244203849695623
1922,0.0003655635518953204
1923,0.0003578740870580077
1924,0.00036948316846974194
1925,0.0003465871559455991
1926,0.000350882881321013
1927,0.0003428310446906835
1928,0.0003446598711889237
1929,0.00034351611975580454
1930,0.00034114124719053507
1931,0.0003387618053238839
1932,0.0003372085921000689
1933,0.000327777408529073
1934,0.00033694025478325784
1935,0.00033773446921259165
1936,0.00033443450229242444
1937,0.0003266958228778094
1938,0.0003284687118139118
1939,0.0003368471807334572
1940,0.0003246480191592127
1941,0.0003259489021729678
1942,0.0003366063174325973
1943,0.00034956293529830873
1944,0.00034519770997576416
1945,0.0003529863024596125
1946,0.0003552964481059462
1947,0.00035407906398177147
1948,0.0003415862447582185
1949,0.00032278147409670055
1950,0.00032708447542972863
1951,0.0003368353354744613
1952,0.00033718824852257967
1953,0.0003275077906437218
1954,0.0003193840675521642
1955,0.00033146547502838075
1956,0.0003274409973528236
1957,0.00032288406509906054
1958,0.0003211593138985336
1959,0.0003129521501250565
1960,0.0003089329693466425
1961,0.0003104854258708656
1962,0.00030858037644065917
1963,0.0003074445412494242
1964,0.000308355811284855
1965,0.00030917036929167807
1966,0.00031313442741520703
1967,0.0003152420977130532
1968,0.0003173323057126254
1969,0.0003156097372993827
1970,0.0003094132407568395
1971,0.00030568393412977457
1972,0.00029746233485639095
1973,0.00029273482505232096
1974,0.00029798480682075024
1975,0.00028868610388599336
1976,0.00028385798214003444
1977,0.0002803446550387889
1978,0.0002762138028629124
1979,0.0002796475891955197
1980,0.00027698761550709605
1981,0.0002732374705374241
1982,0.00027343962574377656
1983,0.0002778933849185705
1984,0.0002766054240055382
1985,0.00027865279116667807
1986,0.0002818565408233553
1987,0.00028193712932989
1988,0.0002887985319830477
1989,0.0002837124920915812
1990,0.0002862914407160133
1991,0.00028861936880275607
1992,0.00029246293706819415
1993,0.0002873063203878701
1994,0.00029501921380870044
1995,0.00029582090792246163
1996,0.00030274191522039473
1997,0.00031104779918678105
1998,0.0003150906995870173
1999,0.00032357731834053993
2000,0.00033761453232727945
2001,0.00034015020355582237
2002,0.00034638383658602834
2003,0.0003535834257490933
