,just
1800,0.0002536722458899021
1801,0.00024035836395341903
1802,0.00021948336507193744
1803,0.00020272101392038167
1804,0.00023475568741559982
1805,0.00022006104700267315
1806,0.00023076632351148874
1807,0.00022180388623382896
1808,0.0002571378427091986
1809,0.00023183826124295592
1810,0.00022295555390883237
1811,0.00024207010574173182
1812,0.00023416212934534997
1813,0.000217906926991418
1814,0.00023280536697711796
1815,0.0002292103017680347
1816,0.00022063935466576368
1817,0.00023064255947247148
1818,0.00022397794236894697
1819,0.00020883209072053432
1820,0.00023323694767896086
1821,0.00022958553745411336
1822,0.00023545701697003096
1823,0.0002368726272834465
1824,0.00024042717996053398
1825,0.00024076880072243512
1826,0.00023048311413731426
1827,0.00023065424466039985
1828,0.00023167190374806523
1829,0.00022930523846298456
1830,0.00023553817300125957
1831,0.0002335713361389935
1832,0.00025995116448029876
1833,0.00025420388556085527
1834,0.0002498009998816997
1835,0.0002534519589971751
1836,0.00025287835160270333
1837,0.00024676279281266034
1838,0.00024188938550651073
1839,0.0002438228839309886
1840,0.0002448440936859697
1841,0.00024449892225675285
1842,0.0002446283760946244
1843,0.0002480085240676999
1844,0.00024336492060683668
1845,0.0002369107969570905
1846,0.00024478204431943595
1847,0.0002449543680995703
1848,0.00025408374494872987
1849,0.0002465695433784276
1850,0.00025652541080489755
1851,0.00024621200282126665
1852,0.0002615549601614475
1853,0.0002637669676914811
1854,0.0002644783235155046
1855,0.00025984126841649413
1856,0.0002645469503477216
1857,0.000256611208897084
1858,0.0002592240343801677
1859,0.0002555124810896814
1860,0.00026694341795518994
1861,0.0002602004387881607
1862,0.0002694667491596192
1863,0.0002661820035427809
1864,0.00027577366563491523
1865,0.00027779152151197195
1866,0.00028519093757495284
1867,0.0002695206203497946
1868,0.0002761542855296284
1869,0.00028371307416819036
1870,0.0002785290125757456
1871,0.0002792314626276493
1872,0.0002888890739995986
1873,0.00027801169198937714
1874,0.00028032722184434533
1875,0.00027042257715947926
1876,0.00027284500538371503
1877,0.0002707457751967013
1878,0.0002744691155385226
1879,0.0002710841363295913
1880,0.0002720501215662807
1881,0.0002670400426723063
1882,0.0002799791400320828
1883,0.00027663810760714114
1884,0.0002743775839917362
1885,0.0002716959861572832
1886,0.00027468972257338464
1887,0.0002684193314053118
1888,0.0002732184075284749
1889,0.0002756058529485017
1890,0.0002741953358054161
1891,0.0002771931467577815
1892,0.00028471648693084717
1893,0.0002819213841576129
1894,0.00028420743183232844
1895,0.00027310644509270787
1896,0.00028410012600943446
1897,0.0002710329426918179
1898,0.0002770919818431139
1899,0.0002930245827883482
1900,0.00028626370476558805
1901,0.0002714030852075666
1902,0.00027278950437903404
1903,0.00027263289666734636
1904,0.00027145782951265574
1905,0.00026716230786405504
1906,0.000271581404376775
1907,0.00026972670457325876
1908,0.000274064572295174
1909,0.0002797616762109101
1910,0.00027281834627501667
1911,0.0002754908346105367
1912,0.0002842136600520462
1913,0.000281579967122525
1914,0.00028224021662026644
1915,0.00027981787570752203
1916,0.00029445716063492
1917,0.0002892659686040133
1918,0.0003006991755682975
1919,0.0003080925962422043
1920,0.0003060215967707336
1921,0.0002945887972600758
1922,0.00029733264818787575
1923,0.0002864162379410118
1924,0.0003011935914400965
1925,0.0002805060357786715
1926,0.0002845290000550449
1927,0.0002745883830357343
1928,0.0002842484100256115
1929,0.0002790819853544235
1930,0.00027909743948839605
1931,0.00026553496718406677
1932,0.00027418238460086286
1933,0.0002589261275716126
1934,0.0002787266275845468
1935,0.0002787817211356014
1936,0.00027365348068997264
1937,0.00026898999931290746
1938,0.0002686524821911007
1939,0.0002742584329098463
1940,0.00027258042246103287
1941,0.00027165139908902347
1942,0.00028677284717559814
1943,0.00029744021594524384
1944,0.0003025367623195052
1945,0.0002950803027488291
1946,0.00029697801801376045
1947,0.00029419909697026014
1948,0.00028708300669677556
1949,0.00027145943022333086
1950,0.00027307364507578313
1951,0.00028830079827457666
1952,0.0002852354373317212
1953,0.00027986016357317567
1954,0.000275834376225248
1955,0.0002858049119822681
1956,0.0002884043788071722
1957,0.00028229577583260834
1958,0.0002744298835750669
1959,0.0002662714396137744
1960,0.00026042270474135876
1961,0.00025851992540992796
1962,0.0002572925586719066
1963,0.0002524188021197915
1964,0.0002579044667072594
1965,0.00025592881138436496
1966,0.0002605821646284312
1967,0.00026390794664621353
1968,0.0002646451466716826
1969,0.0002703670470509678
1970,0.00026833321317099035
1971,0.00025734619703143835
1972,0.00026007957058027387
1973,0.0002587447816040367
1974,0.00026651759981177747
1975,0.0002566484618000686
1976,0.0002565249160397798
1977,0.00025801625452004373
1978,0.0002572942175902426
1979,0.0002577780978754163
1980,0.0002635035780258477
1981,0.0002609247458167374
1982,0.00026837640325538814
1983,0.00027233443688601255
1984,0.00028224335983395576
1985,0.00027998824953101575
1986,0.0002934679214376956
1987,0.0002951410715468228
1988,0.000303864770103246
1989,0.0003065692726522684
1990,0.00031247190781868994
1991,0.00031752409995533526
1992,0.00031880458118394017
1993,0.0003181083593517542
1994,0.0003321903059259057
1995,0.0003313975175842643
1996,0.0003479812585283071
1997,0.0003610403509810567
1998,0.00036523479502648115
1999,0.0003795624361373484
2000,0.0004255155799910426
2001,0.0004320219741202891
2002,0.0004559759108815342
2003,0.0004697917611338198
2004,0.00048447775770910084
2005,0.000501586589962244
2006,0.0005109169287607074
2007,0.0005400868249125779
2008,0.0005686947843059897
2009,0.0006517176516354084
2010,0.0007004556828178465
2011,0.0007682482828386128
2012,0.0007103185052983463
2013,0.0006932511460036039
2014,0.0008264496573247015
2015,0.0007977333152666688
2016,0.0007467317627742887
2017,0.0007617483497597277
2018,0.0007128996658138931
2019,0.0007728412747383118
