,over
1800,0.0005125352763570845
1801,0.0004708899650722742
1802,0.00045800450607202947
1803,0.0004183287383057177
1804,0.0004474380111787468
1805,0.000457291811471805
1806,0.0004518741916399449
1807,0.00044084651744924486
1808,0.00044600130058825016
1809,0.0004612133197952062
1810,0.00044858537148684263
1811,0.00044477052870206535
1812,0.0004152210021857172
1813,0.00044851875281892717
1814,0.0004435533192008734
1815,0.00045918923569843173
1816,0.00043569112312979996
1817,0.0004466580576263368
1818,0.00047201040433719754
1819,0.000462884025182575
1820,0.00048257026355713606
1821,0.00046647750423289835
1822,0.000479314912809059
1823,0.0004927588743157685
1824,0.0004979853983968496
1825,0.000499925808981061
1826,0.0004927907139062881
1827,0.0005057287635281682
1828,0.0005151606164872646
1829,0.0005333664012141526
1830,0.0005151109653525054
1831,0.0005251234979368746
1832,0.0005221912288106978
1833,0.0005328208208084106
1834,0.0005307716783136129
1835,0.0005463520647026598
1836,0.0005453875637613237
1837,0.000536963576450944
1838,0.0005455759819597006
1839,0.0005509682814590633
1840,0.0005455917562358081
1841,0.0005693247658200562
1842,0.0005624881596304476
1843,0.0005575425457209349
1844,0.000567089591640979
1845,0.0005588533822447062
1846,0.0005662399926222861
1847,0.0005763537483289838
1848,0.0005829508882015944
1849,0.0005801978404633701
1850,0.0005886959261260927
1851,0.0005752545548602939
1852,0.0005984095623716712
1853,0.000576623366214335
1854,0.0005833990289829671
1855,0.0005915655638091266
1856,0.0005996344843879342
1857,0.0006025887560099363
1858,0.0005933823413215578
1859,0.0005924476427026093
1860,0.000600433093495667
1861,0.0005926614976488054
1862,0.0006145687075331807
1863,0.0006193174049258232
1864,0.00061095564160496
1865,0.0006200534990057349
1866,0.0006203391822054982
1867,0.000620712642557919
1868,0.0006212019943632185
1869,0.0006331811309792101
1870,0.0006218798225745559
1871,0.0006265942938625813
1872,0.0006208482664078474
1873,0.0006322658155113459
1874,0.000625460990704596
1875,0.0006338683888316154
1876,0.0006364175933413208
1877,0.0006242733215913177
1878,0.0006331121549010277
1879,0.0006280262605287135
1880,0.000629087386187166
1881,0.0006193341105245054
1882,0.0006405828171409667
1883,0.0006368495523929596
1884,0.0006380564882420003
1885,0.0006441109580919147
1886,0.0006317135994322598
1887,0.0006289110169745982
1888,0.0006380045670084655
1889,0.0006395700620487332
1890,0.0006441464647650719
1891,0.0006414743838831782
1892,0.0006507726502604783
1893,0.000646561267785728
1894,0.0006478981813415885
1895,0.000635169621091336
1896,0.0006545044016093016
1897,0.0006447616033256054
1898,0.0006569845136255026
1899,0.0006705262348987162
1900,0.000666725100018084
1901,0.0006474579568020999
1902,0.0006526015349663794
1903,0.0006491914391517639
1904,0.0006531532853841782
1905,0.000649699242785573
1906,0.00065372115932405
1907,0.0006552994600497186
1908,0.0006599768530577421
1909,0.0006644596578553319
1910,0.0006685495609417558
1911,0.0006869051139801741
1912,0.0006745556020177901
1913,0.0006769497995264828
1914,0.0006739944801665843
1915,0.0006737372023053467
1916,0.0006818358087912202
1917,0.0006829555495642126
1918,0.0007060496718622744
1919,0.000712732900865376
1920,0.0007054408779367805
1921,0.0006843942101113498
1922,0.0006912624230608344
1923,0.000689646985847503
1924,0.0006971221882849932
1925,0.0006907028146088123
1926,0.0006926879286766052
1927,0.0006907465285621583
1928,0.0007010961417108774
1929,0.0006960032624192536
1930,0.0007019625627435744
1931,0.0006786553421989083
1932,0.0006791942287236452
1933,0.0006745501304976642
1934,0.0006875453982502222
1935,0.0006879536085762084
1936,0.000699009106028825
1937,0.0006879718857817352
1938,0.0006977692246437073
1939,0.0006962270708754659
1940,0.0007095587207004428
1941,0.0007040844648145139
1942,0.0007361689931713045
1943,0.0007318134885281324
1944,0.0007480021449737251
1945,0.0007318650023080409
1946,0.0007223504362627864
1947,0.0007239681435748935
1948,0.0007166668074205518
1949,0.0006891584489494562
1950,0.0006837403052486479
1951,0.0007007558597251773
1952,0.0006959700840525329
1953,0.0006860275170765817
1954,0.0006837917026132345
1955,0.0006858103442937136
1956,0.0006937439902685583
1957,0.0006762207485735416
1958,0.0006822424475103617
1959,0.000668872962705791
1960,0.0006790830520913005
1961,0.000663955055642873
1962,0.0006611752323806286
1963,0.0006550757680088282
1964,0.0006522905896417797
1965,0.0006497142021544278
1966,0.0006474689580500126
1967,0.000638337922282517
1968,0.0006379271508194506
1969,0.0006439879653044045
1970,0.0006385722081176937
1971,0.0006299962988123298
1972,0.0006342334090732038
1973,0.0006236970075406134
1974,0.0006325116846710443
1975,0.00063100247643888
1976,0.0006228680722415447
1977,0.0006318584200926125
1978,0.000617560523096472
1979,0.0006146655650809407
1980,0.0006215877365320921
1981,0.0006189673440530896
1982,0.0006213498418219388
1983,0.0006292415200732648
1984,0.0006252904422581196
1985,0.0006177812465466559
1986,0.000628446985501796
1987,0.0006244895630516112
1988,0.0006332322955131531
1989,0.0006228178390301764
1990,0.0006272245082072914
1991,0.0006338460952974856
1992,0.0006384308799169958
1993,0.0006542674964293838
1994,0.0006372634670697153
1995,0.0006303186528384686
1996,0.0006439367425628006
1997,0.0006535291322506964
1998,0.0006545266951434314
1999,0.0006618275656364858
2000,0.0006908713257871568
2001,0.0006949030794203281
2002,0.0007051212014630437
2003,0.000713916146196425
2004,0.0007246551103889942
2005,0.0007352143875323236
2006,0.0007343368488363922
2007,0.0007524432730861008
2008,0.000771101622376591
2009,0.0008104079170152545
2010,0.000845072150696069
2011,0.0008895551436580718
2012,0.0008498869137838483
2013,0.0008535965462215245
2014,0.0009415536769665778
2015,0.0009234424214810133
2016,0.00088453822536394
2017,0.0009207598050124943
2018,0.0008702398044988513
2019,0.0008894138736650348
