,while
1800,0.00034409374347887933
1801,0.0003481204330455512
1802,0.00033971958328038454
1803,0.00030231938580982387
1804,0.0003539017343427986
1805,0.0003323418495710939
1806,0.00035305364872328937
1807,0.00033166262437589467
1808,0.00033811465254984796
1809,0.0003347101737745106
1810,0.0003380178241059184
1811,0.0003286253777332604
1812,0.0002854188496712595
1813,0.00030827673617750406
1814,0.0003261030651628971
1815,0.00034948583925142884
1816,0.0003040497249457985
1817,0.0003307750739622861
1818,0.00033332512248307467
1819,0.0003244555846322328
1820,0.0003459368599578738
1821,0.0003445844631642103
1822,0.0003654933243524283
1823,0.00035647640470415354
1824,0.00036815161001868546
1825,0.00036483712028712034
1826,0.0003447571652941406
1827,0.0003697068023029715
1828,0.0003689802251756191
1829,0.00038000656059011817
1830,0.00038480351213365793
1831,0.0003892348613590002
1832,0.00034731123014353216
1833,0.00039282854413613677
1834,0.00039306035614572465
1835,0.0004070864524692297
1836,0.0003918170987162739
1837,0.0003862736630253494
1838,0.0003941030299756676
1839,0.0003875222464557737
1840,0.00038472010055556893
1841,0.00041051633888855577
1842,0.0003918285365216434
1843,0.0003870855725836009
1844,0.0003874601679854095
1845,0.000385215156711638
1846,0.0003806414606515318
1847,0.0004012866993434727
1848,0.00040094327414408326
1849,0.00039567254134453833
1850,0.0004016038728877902
1851,0.0003866751794703305
1852,0.00040676520438864827
1853,0.00039769388968124986
1854,0.0004101671220269054
1855,0.00041944431723095477
1856,0.00041848840191960335
1857,0.0004101804515812546
1858,0.0004080209182575345
1859,0.00041315818089060485
1860,0.0004131839668843895
1861,0.000405383063480258
1862,0.0004069077840540558
1863,0.00041033781599253416
1864,0.00041779191815294325
1865,0.0004191450425423682
1866,0.0004199680988676846
1867,0.0004077877674717456
1868,0.0004147329891566187
1869,0.00041543523548170924
1870,0.00041679167770780623
1871,0.00041736222920008004
1872,0.00042297199252061546
1873,0.0004216912784613669
1874,0.0004242132417857647
1875,0.00042431073961779475
1876,0.0004283599555492401
1877,0.00041465339018031955
1878,0.0004270553181413561
1879,0.00041994621278718114
