,since
1800,0.0002711612905841321
1801,0.00029307688237167895
1802,0.0002631941461004317
1803,0.000276177073828876
1804,0.000260696979239583
1805,0.0002646050706971437
1806,0.0002818178618326783
1807,0.0002583131135907024
1808,0.0002813301980495453
1809,0.0002966815955005586
1810,0.0002743099466897547
1811,0.00029912448371760547
1812,0.0002998845011461526
1813,0.0002706471714191139
1814,0.00029892343445681036
1815,0.0002727069950196892
1816,0.000297086633509025
1817,0.000271785567747429
1818,0.00026708192308433354
1819,0.00026121916016563773
1820,0.0002759091730695218
1821,0.00025949921109713614
1822,0.0002611720119602978
1823,0.00026597807300277054
1824,0.0002744966186583042
1825,0.0002646636567078531
1826,0.0002647647343110293
1827,0.00025972447474487126
1828,0.0002699493197724223
1829,0.0002682903432287276
1830,0.00025818534777499735
1831,0.000265462149400264
1832,0.00027058596606366336
1833,0.00027439865516498685
1834,0.0002674692659638822
1835,0.000263451220234856
1836,0.00026458175852894783
1837,0.00027276569744572043
1838,0.00026763425557874143
1839,0.0002623416075948626
1840,0.0002684309729374945
1841,0.0002688038512133062
1842,0.0002638770383782685
1843,0.00026045404956676066
1844,0.0002582982706371695
1845,0.00026231619995087385
1846,0.0002543154696468264
1847,0.00025891332188621163
1848,0.00026139311376027763
1849,0.000261867418885231
1850,0.0002532753278501332
1851,0.00025991062284447253
1852,0.00026237161364406347
1853,0.00025874574203044176
1854,0.0002537649997975677
1855,0.00025635576457716525
1856,0.0002492425555828959
1857,0.00024973502149805427
1858,0.00024998659500852227
1859,0.00024981715250760317
1860,0.0002561074506957084
1861,0.0002463609562255442
1862,0.00024703040253371
1863,0.00025205069687217474
1864,0.00024890340864658356
1865,0.000250504381256178
1866,0.00024406722513958812
1867,0.00024338471121154726
1868,0.000245927891228348
1869,0.00024927136837504804
1870,0.0002468525490257889
1871,0.0002499894180800766
1872,0.0002544781018514186
1873,0.0002413974580122158
1874,0.00024047549231909215
1875,0.00024329689040314406
1876,0.0002495056251063943
1877,0.0002460816176608205
1878,0.00024512020172551274
1879,0.0002515651867724955
1880,0.00024842924904078245
1881,0.0002441886463202536
1882,0.00024832537746988237
1883,0.0002496293163858354
1884,0.0002497817331459373
1885,0.0002437505027046427
1886,0.00025152863236144185
1887,0.00024282990489155054
1888,0.0002456243964843452
1889,0.000250099110417068
1890,0.0002470155886840075
1891,0.00024625551304779947
1892,0.0002493517240509391
1893,0.0002522308495827019
1894,0.00025155700859613717
1895,0.000245955801801756
1896,0.00024772214237600565
1897,0.00024196186859626323
1898,0.00024475951795466244
1899,0.0002492607745807618
1900,0.00024862284772098064
1901,0.0002469495520927012
1902,0.0002425017300993204
1903,0.00024034688249230385
1904,0.00024068877974059433
1905,0.00023419043282046914
1906,0.00024023202422540635
1907,0.00023272015096154064
1908,0.0002394934417679906
1909,0.000232978374697268
1910,0.00023516819055657834
1911,0.00024064427998382598
1912,0.00023901094391476363
1913,0.00023680679441895336
1914,0.0002439854433760047
1915,0.000243181741097942
1916,0.00024886883329600096
1917,0.00024403211136814207
1918,0.0002509891346562654
1919,0.0002460125833749771
1920,0.00025485706282779574
1921,0.00025726848980411887
1922,0.0002695271687116474
1923,0.00026005212566815317
1924,0.00026869121938943863
1925,0.000263590132817626
1926,0.0002773439628072083
1927,0.00027324145776219666
1928,0.00028015553834848106
1929,0.0002786994446069002
1930,0.0002863256086129695
1931,0.00027992267860099673
1932,0.00028524280060082674
1933,0.0002882965200114995
1934,0.00029525600257329643
1935,0.0002945387386716902
1936,0.00030466655152849853
1937,0.00029589474434033036
1938,0.0003107528609689325
1939,0.00030468529439531267
1940,0.0003160142805427313
1941,0.0003055924898944795
1942,0.0003165162925142795
1943,0.0003085469361394644
1944,0.0003158456238452345
1945,0.00031739615951664746
1946,0.0003177295729983598
1947,0.0003237907658331096
1948,0.0003405096649657935
1949,0.0003228325513191521
1950,0.0003279763041064143
1951,0.00032057095086202025
1952,0.0003400353016331792
1953,0.0003281880053691566
1954,0.0003278823569417
1955,0.00033154123229905963
1956,0.0003259968070778996
1957,0.00031569847487844527
1958,0.0003254335024394095
1959,0.000316926627419889
1960,0.0003227048728149384
1961,0.00031833164393901825
1962,0.00031880344613455236
1963,0.0003161275526508689
1964,0.0003201342769898474
1965,0.00031039497116580606
1966,0.00031759083503857255
1967,0.0003097409789916128
1968,0.0003085664939135313
1969,0.0003042326425202191
1970,0.0003059743612539023
1971,0.0002999713469762355
1972,0.0003044675977434963
1973,0.0002989268978126347
1974,0.0003036090056411922
1975,0.00030394011992029846
1976,0.0003011322987731546
1977,0.00029871409060433507
1978,0.0002912647614721209
1979,0.00029095460195094347
1980,0.00029334230930544436
1981,0.0002871505857910961
1982,0.0002912656345870346
1983,0.0002899899263866246
1984,0.00028813048265874386
1985,0.0002830861776601523
1986,0.0002870454336516559
1987,0.0002809986472129822
1988,0.0002855799102690071
1989,0.00027343613328412175
1990,0.000277273211395368
1991,0.0002724094083532691
1992,0.0002734962326940149
1993,0.00026500067906454206
1994,0.0002637923462316394
1995,0.0002613894466776401
1996,0.0002627116336952895
1997,0.0002648292575031519
1998,0.00026659652939997613
1999,0.00026478979270905256
2000,0.0002641578030306846
2001,0.0002653945120982826
2002,0.0002717473544180393
2003,0.00026793041615746915
2004,0.00026503895060159266
2005,0.00026651553343981504
2006,0.00026574262301437557
2007,0.00026854570023715496
2008,0.00026397997862659395
2009,0.0002648166846483946
2010,0.00026161022833548486
2011,0.00026248159701935947
2012,0.00026921715470962226
2013,0.0002717090828809887
2014,0.00027695001335814595
2015,0.00027080706786364317
2016,0.00027411579503677785
2017,0.00027167415828444064
2018,0.00026465917471796274
2019,0.00027596455765888095
