,cost
1800,5.071302075521089e-05
1801,3.5863984521711245e-05
1802,3.8525551644852385e-05
1803,2.7139354642713442e-05
1804,2.7807029255200177e-05
1805,3.0568171496270224e-05
1806,3.15994730044622e-05
1807,3.143518915749155e-05
1808,3.790538539760746e-05
1809,3.249225119361654e-05
1810,3.0587096262024716e-05
1811,3.259168079239316e-05
1812,3.196706165908836e-05
1813,3.464402470854111e-05
1814,3.7240326491883025e-05
1815,3.198881677235477e-05
1816,3.47393834090326e-05
1817,3.471149830147624e-05
1818,3.230432776035741e-05
1819,3.5656434192787856e-05
1820,3.5611166822491214e-05
1821,3.96939976781141e-05
1822,3.728789306478575e-05
1823,3.959862806368619e-05
1824,3.840326826320961e-05
1825,4.2337207560194656e-05
1826,4.1970557504100725e-05
1827,4.253884617355652e-05
1828,5.21482688782271e-05
1829,4.575371349346824e-05
1830,5.236174547462724e-05
1831,5.361883086152375e-05
1832,0.0001005750018521212
1833,5.738867912441492e-05
1834,5.911537664360367e-05
1835,5.726633025915362e-05
1836,5.42851303180214e-05
1837,5.150579090695828e-05
1838,5.692411650670692e-05
1839,5.5791548220440745e-05
1840,6.0335685702739283e-05
1841,6.21822036919184e-05
1842,6.085234053898603e-05
1843,6.055781341274269e-05
1844,6.2815539422445e-05
1845,6.135815783636644e-05
1846,7.009995897533372e-05
1847,7.016313611529768e-05
1848,7.658526737941429e-05
1849,7.843600178603083e-05
1850,7.905976963229477e-05
1851,8.253578562289476e-05
1852,7.963059761095792e-05
1853,7.588259904878214e-05
1854,7.634676148882136e-05
1855,7.973251194925979e-05
1856,7.901299250079319e-05
1857,7.916252798167989e-05
1858,8.754766167839989e-05
1859,9.428663179278374e-05
1860,8.657292346470058e-05
1861,9.121343464357778e-05
1862,0.00010171991016250104
1863,9.426352335140109e-05
1864,8.916145452531055e-05
1865,9.335552022093907e-05
1866,9.292933100368828e-05
1867,0.00010209850006503984
1868,0.00010582573304418474
1869,0.00010766985360532999
1870,0.00011162019654875621
1871,0.00011044676648452878
1872,0.00011309552792226896
1873,0.00011289121903246269
1874,0.0001288254716200754
1875,0.00011620502482401207
1876,0.00013021472841501236
1877,0.00012363905261736363
1878,0.00012961940956301987
1879,0.0001303010358242318
1880,0.00012301297101657838
1881,0.00012258251081220806
1882,0.00013222350389696658
1883,0.00012447786866687238
1884,0.00013176236825529486
1885,0.00013543758541345596
1886,0.0001435727608622983
1887,0.00014031966566108167
1888,0.00014747171371709555
1889,0.00014404341345652938
1890,0.00013994236360304058
1891,0.00014734781871084124
1892,0.00015795584477018565
1893,0.00015735045599285513
1894,0.0001608834572834894
1895,0.00015506346244364977
1896,0.00015392240311484784
1897,0.00016520463395863771
1898,0.000159270508447662
1899,0.00015869909839238971
1900,0.00016713094373699278
1901,0.00017337380268145353
1902,0.00017042238323483616
1903,0.00017781180213205516
1904,0.00017792977450881153
1905,0.00019177974900230765
1906,0.0001985007693292573
1907,0.00020833480812143534
1908,0.00022571624140255153
1909,0.0002500126138329506
1910,0.00022778369020670652
1911,0.00024362948897760361
1912,0.00026571977650746703
1913,0.0002889770839828998
1914,0.0002757723268587142
1915,0.00027936039259657264
1916,0.00029643875313922763
1917,0.00029053661273792386
1918,0.0002903285203501582
1919,0.00031778946868143976
1920,0.00031774089438840747
1921,0.00031593278981745243
1922,0.0003053527034353465
1923,0.000267466704826802
1924,0.0002858885272871703
1925,0.00027785569545812905
1926,0.00027432001661509275
1927,0.0002682423510123044
1928,0.00028047390514984727
1929,0.0002814391627907753
1930,0.00027523841708898544
1931,0.00025931166601367295
1932,0.0002725566446315497
1933,0.0002784385287668556
1934,0.00026408093981444836
1935,0.0002533661318011582
1936,0.00024996380670927465
1937,0.00025308571639470756
1938,0.0002533777733333409
1939,0.0002721356286201626
1940,0.0002500140981283039
1941,0.0002613652322907001
1942,0.00025778988492675126
1943,0.0002450219471938908
1944,0.00026688273646868765
1945,0.000262050045421347
1946,0.0002677385346032679
1947,0.0002752250002231449
1948,0.0002666577638592571
1949,0.00026969629107043147
1950,0.000256051222095266
1951,0.0002703088102862239
1952,0.0002628379734233022
1953,0.0002629350055940449
1954,0.00026925941347144544
1955,0.00028056890005245805
1956,0.00027035459061153233
1957,0.0002753752050921321
1958,0.00027285717078484595
1959,0.0002685127838049084
1960,0.0002619113656692207
1961,0.0002625000197440386
1962,0.0002500490518286824
1963,0.0002498778630979359
1964,0.00025194534100592136
1965,0.00025532557629048824
1966,0.0002502434072084725
1967,0.0002589407376945019
1968,0.00024700548965483904
1969,0.00025655311765149236
1970,0.00025064393412321806
1971,0.0002505482407286763
1972,0.0002596703707240522
1973,0.000272635166766122
1974,0.0002820029330905527
1975,0.00029806859674863517
1976,0.0002994348178617656
1977,0.00030487915500998497
1978,0.00029661666485480964
1979,0.00030262331711128354
1980,0.00029613779042847455
1981,0.0002836041967384517
1982,0.000279502070043236
1983,0.00027658886392600834
1984,0.000268999399850145
1985,0.0002552933874540031
1986,0.0002483756106812507
1987,0.00023421936202794313
1988,0.00023540371330454946
1989,0.00022573732712771744
1990,0.000225084790145047
1991,0.00022619230730924755
1992,0.0002287361421622336
1993,0.00021789844322483987
1994,0.00022454526333604008
1995,0.0002205913478974253
1996,0.0002136236580554396
1997,0.00021460857533384115
1998,0.00020439068612176925
1999,0.0001954151230165735
2000,0.0001832120615290478
2001,0.00018146591901313514
2002,0.00017802543879952282
2003,0.00017285124340560287
2004,0.00017030433809850365
2005,0.0001724696485325694
2006,0.00016307098849210888
2007,0.00016376175335608423
2008,0.00015396770322695374
2009,0.00014764894149266183
2010,0.00014494416245725006
2011,0.00013898324687033892
2012,0.00013330393994692713
2013,0.00013045122614130378
2014,0.00011605867621256039
2015,0.00011656279093585908
2016,0.000123488120152615
2017,0.00010885361552936956
2018,9.817634418141097e-05
2019,0.00011068366438848898
