,business
1800,0.00015034928219392896
1801,0.00015460723079741
1802,0.00014112859207671136
1803,0.00012367454473860562
1804,0.00012783757119905204
1805,0.00013904733350500464
1806,0.0001451153220841661
1807,0.00013660213153343648
1808,0.00016065208183135837
1809,0.0001390417746733874
1810,0.00012991864059586078
1811,0.00014099502004683018
1812,0.00016105239046737552
1813,0.00014476224896498024
1814,0.00016280543059110641
1815,0.0001341043971478939
1816,0.00016424080240540206
1817,0.00014700790052302182
1818,0.00014899144298397005
1819,0.00013283868611324579
1820,0.0001378340384690091
1821,0.00013661864795722067
1822,0.00013106627739034593
1823,0.00014207177446223795
1824,0.0001363218907499686
1825,0.00014779725461266935
1826,0.00014820760407019407
1827,0.00014001673844177276
1828,0.0001547102874610573
1829,0.00013907771790400147
1830,0.00015878492558840662
1831,0.00014447281137108803
1832,0.0002538090629968792
1833,0.00015971802349667996
1834,0.00017103987920563668
1835,0.00015329236339312047
1836,0.0001561327517265454
1837,0.00016554810281377286
1838,0.0001585224672453478
1839,0.00015260590589605272
1840,0.00016111995500978082
1841,0.00015298151993192732
1842,0.0001435483864042908
1843,0.00015401993005070835
1844,0.00014830348663963377
1845,0.00013901497004553676
1846,0.00015323521802201867
1847,0.0001498843776062131
1848,0.00015800482651684433
1849,0.0001595760986674577
1850,0.00015524320770055056
1851,0.00016673069330863655
1852,0.00016720454732421786
1853,0.00016794436669442803
1854,0.0001618712121853605
1855,0.00016295160457957536
1856,0.0001639607216930017
1857,0.0001671830250415951
1858,0.00016911039710976183
1859,0.0001691292563918978
1860,0.0001684367744019255
1861,0.00016171966854017228
1862,0.0001559816737426445
1863,0.00016375358973164111
1864,0.00017133410437963903
1865,0.0001803652849048376
1866,0.00017760311311576515
1867,0.00018556824943516403
1868,0.0001937902270583436
1869,0.0001892571453936398
1870,0.0001962939277291298
1871,0.0001907279947772622
1872,0.00021169811952859163
1873,0.0001997949293581769
1874,0.00020970455079805106
1875,0.00019950669957324862
1876,0.0002049595204880461
1877,0.00020518536621239036
1878,0.00021386462321970612
1879,0.00021933358220849186
1880,0.00021641796047333628
1881,0.00022617768263444304
1882,0.00023036246420815587
1883,0.00021911380463279784
1884,0.0002376519696554169
1885,0.0002337261539651081
1886,0.0002590112271718681
1887,0.0002585059846751392
1888,0.0002639944141265005
1889,0.00026535638608038425
1890,0.00026536433142609894
1891,0.0002708848041947931
1892,0.0002728750405367464
1893,0.00027748895809054375
1894,0.0002928661124315113
1895,0.0002853844198398292
1896,0.0002858169609680772
1897,0.00028941064374521375
1898,0.00028689930331893265
1899,0.0002819337241817266
1900,0.00029057703795842826
1901,0.0003038108116015792
1902,0.0002882444823626429
1903,0.0003045288030989468
1904,0.0003124052018392831
1905,0.00032756710425019264
1906,0.0003361881244927645
1907,0.0003461074084043503
1908,0.0003559142060112208
1909,0.00037101682391949
1910,0.000353784766048193
1911,0.00036994024412706494
1912,0.00039653267594985664
