,name
1800,0.0003858816926367581
1801,0.00038066698471084237
1802,0.00037499857717193663
1803,0.00032302114414051175
1804,0.0004128896980546415
1805,0.00039040588308125734
1806,0.0004013951402157545
1807,0.00041170703480020165
1808,0.00039946709875948727
1809,0.0003810495836660266
1810,0.000450590334367007
1811,0.0004147160507272929
1812,0.0003749471507035196
1813,0.0003969073877669871
1814,0.00039351070881821215
1815,0.0004040526400785893
1816,0.00039885114529170096
1817,0.0003966919903177768
1818,0.00039358175126835704
1819,0.0004323647008277476
1820,0.00040845852345228195
1821,0.00042695392039604485
1822,0.0004316314007155597
1823,0.00043209028081037104
1824,0.000412005465477705
1825,0.0004086206608917564
1826,0.00037274506757967174
1827,0.00040238688234239817
1828,0.00039054080843925476
1829,0.00041414162842556834
1830,0.0003946137148886919
1831,0.0004022281209472567
1832,0.0003503635816741735
1833,0.0003888350911438465
1834,0.00036767995334230363
1835,0.0003788892936427146
1836,0.00037873670225962996
1837,0.00039102270966395736
1838,0.0003815927484538406
1839,0.00039669571560807526
1840,0.0003873020759783685
1841,0.0003967377997469157
1842,0.0003991373523604125
1843,0.00039713637670502067
1844,0.00039044575532898307
1845,0.000391966023016721
1846,0.00038164580473676324
1847,0.0003804819716606289
1848,0.00037612105370499194
1849,0.00036628302768804133
1850,0.00037413020618259907
1851,0.0003683471877593547
1852,0.00035909004509449005
1853,0.00036749907303601503
1854,0.0003773609350901097
1855,0.0003617719921749085
1856,0.0003678765788208693
1857,0.0003741009277291596
1858,0.0003627797996159643
1859,0.00036684301448985934
1860,0.0003622754302341491
1861,0.0003454961406532675
1862,0.0003602821670938283
1863,0.00036012742202728987
1864,0.000340793194482103
1865,0.00035844033118337393
1866,0.0003532857517711818
1867,0.00035538210067898035
1868,0.0003503177722450346
1869,0.00035667643533088267
1870,0.000359412282705307
1871,0.00036218995228409767
1872,0.00036689447006210685
1873,0.00036676236777566373
1874,0.0003476707497611642
1875,0.0003561820776667446
1876,0.0003521231410559267
1877,0.00034396268893033266
1878,0.0003343879070598632
1879,0.00034802788286469877
1880,0.00035172028583474457
1881,0.0003443723835516721
1882,0.0003445460752118379
1883,0.0003357713285367936
1884,0.0003262055688537657
1885,0.00032998379901982844
1886,0.00031951209530234337
1887,0.00031417293939739466
1888,0.0003189603448845446
1889,0.00032067435677163303
1890,0.00032243950408883393
1891,0.0003215612086933106
1892,0.0003171596326865256
1893,0.000303794804494828
1894,0.00030807816074229777
1895,0.00030217913445085287
1896,0.0003026224731002003
1897,0.0002982598962262273
1898,0.0003012873057741672
1899,0.00029954183264635503
1900,0.00029156141681596637
1901,0.00028984883101657033
1902,0.00027864225558005273
1903,0.0002752653672359884
1904,0.000272452860372141
1905,0.00027337699430063367
1906,0.0002747989783529192
1907,0.00027596656582318246
1908,0.0002638526202645153
1909,0.0002625855850055814
1910,0.00027069952921010554
1911,0.0002656686119735241
1912,0.0002486772427801043
1913,0.00024192807904910296
1914,0.0002364836254855618
1915,0.00022966705728322268
1916,0.0002243121707579121
1917,0.00022660187096334994
1918,0.00021438133262563497
1919,0.0002165518089896068
1920,0.00021714853937737644
1921,0.0002145700273104012
1922,0.00022227545559871942
1923,0.0002310230047442019
1924,0.00022445441572926939
1925,0.0002344883105251938
1926,0.00023430497094523162
1927,0.0002317377075087279
1928,0.00022485971567220986
1929,0.00022689485922455788
1930,0.00022261343838181347
1931,0.00022271291527431458
1932,0.00020822561054956168
1933,0.00020411652803886682
1934,0.00020219672296661884
