,community
1972,0.00016651758051011711
1973,0.00016650932957418263
1974,0.0001698340493021533
1975,0.00016753851377870888
1976,0.00016861845506355166
1977,0.00017270240641664714
1978,0.0001743063039612025
1979,0.00016522368241567165
1980,0.00016364536713808775
1981,0.000156681751832366
1982,0.00015477326815016568
1983,0.0001502180239185691
1984,0.00014682800974696875
1985,0.00014825434482190758
1986,0.00014887924771755934
1987,0.00014983212167862803
1988,0.00015272492601070553
1989,0.00015545498172286898
1990,0.00016161173698492348
1991,0.00016268042963929474
1992,0.00016907912504393607
1993,0.0001763926848070696
1994,0.00018226921383757144
1995,0.00017951562767848372
1996,0.00018654718587640673
1997,0.00019015494035556912
1998,0.00019226830045226961
1999,0.00019095132302027196
2000,0.0001901836512843147
2001,0.00018594323773868382
2002,0.00018842361168935895
2003,0.00018520536832511425
2004,0.00018911166989710182
2005,0.0001907924743136391
2006,0.0001813065173337236
2007,0.00017524173017591238
2008,0.00016939347551669925
2009,0.0001678052794886753
2010,0.0001655061059864238
2011,0.00015023970627225935
2012,0.00014078094682190567
2013,0.00015571186668239534
2014,0.00014626033953391016
2015,0.00015152663399931043
2016,0.00016632233746349812
2017,0.00014421495143324137
2018,0.00013334503455553204
2019,0.00014281427138485014
