,course
1800,0.0002345720276935026
1801,0.00021354340424295515
1802,0.00023196495021693408
1803,0.0001966810814337805
1804,0.00021082961757201701
1805,0.0002282143832417205
1806,0.00021990147070027888
1807,0.00023305606737267226
1808,0.00021469539206009358
1809,0.00023022205277811736
1810,0.00022297605755738914
1811,0.00021898472914472222
1812,0.0002510872727725655
1813,0.00023499933013226837
1814,0.00024898091214708984
1815,0.0002486970042809844
1816,0.00022889375395607203
1817,0.00025843398179858923
1818,0.0002583846217021346
1819,0.00025561609072610736
1820,0.0002570972719695419
1821,0.0002662053448148072
1822,0.00025362122687511146
1823,0.00024603583733551204
1824,0.00025804503820836544
1825,0.0002599002327769995
1826,0.00027146158390678465
1827,0.0002729170664679259
1828,0.00027858291286975145
1829,0.0002870873431675136
1830,0.0002911236369982362
1831,0.00029692970565520227
1832,0.0002978958946187049
1833,0.00031288081663660705
1834,0.00030934554524719715
1835,0.0003100209287367761
1836,0.0003140985791105777
1837,0.00030762015376240015
1838,0.00032290213857777417
1839,0.0003152706194669008
1840,0.00029925149283371866
1841,0.00030574240372516215
1842,0.000301752588711679
1843,0.00030531288939528167
1844,0.000294891040539369
1845,0.00029566022567451
1846,0.0003036749840248376
1847,0.0003018840798176825
1848,0.00030346564017236233
1849,0.00029879677458666265
1850,0.00030288787093013525
1851,0.0002992581285070628
1852,0.00030440412228927016
1853,0.0003176802711095661
1854,0.00030644427170045674
1855,0.0003099051536992192
1856,0.0003115272556897253
1857,0.00030355702619999647
1858,0.00031398481223732233
1859,0.0003007056948263198
1860,0.0003097071312367916
1861,0.00031365672475658357
1862,0.000306078844005242
1863,0.0003073663101531565
1864,0.00031349706114269793
1865,0.0003079804591834545
1866,0.00031042139744386077
1867,0.00031320960260927677
1868,0.00031917341402731836
1869,0.0003202989755664021
1870,0.0003190486750099808
1871,0.00031281643896363676
1872,0.0003212190349586308
1873,0.00031644836417399347
1874,0.0003133249992970377
1875,0.00031781208235770464
1876,0.0003170618147123605
1877,0.00031064002541825175
1878,0.0003185844689141959
1879,0.00031631175079382956
1880,0.0003080207679886371
1881,0.00030470354249700904
1882,0.0003078398876823485
1883,0.00030794000485911965
1884,0.00031293719075620174
1885,0.0003097540757153183
1886,0.0003102004702668637
1887,0.0003033441898878664
1888,0.0003009005740750581
1889,0.0002966646570712328
1890,0.0003080860187765211
1891,0.0003071030951105058
1892,0.0003085028729401529
1893,0.00031437614234164357
1894,0.0003190701245330274
1895,0.00030964543111622334
1896,0.0003117832529824227
1897,0.00030624718056060374
1898,0.0003141865017823875
1899,0.00030892170616425574
1900,0.0003182139771524817
1901,0.0003074985870625824
1902,0.00032234861282631755
1903,0.00031752671930007637
1904,0.0003164085210300982
1905,0.00031368565396405756
1906,0.00031204987317323685
1907,0.000312853284412995
1908,0.00032487319549545646
1909,0.0003199261554982513
1910,0.00032035328331403434
1911,0.00031976072932593524
1912,0.00032596499659121037
1913,0.00032558845123276114
1914,0.0003270817396696657
1915,0.00032209212076850235
1916,0.00032714265398681164
1917,0.00032646735780872405
1918,0.0003362238348927349
1919,0.00033658824395388365
1920,0.0003368932812009007
1921,0.00032997349626384676
1922,0.0003280247619841248
1923,0.0003197809273842722
1924,0.0003293606569059193
1925,0.0003128292737528682
1926,0.0003276054630987346
1927,0.0003141298075206578
1928,0.00031834575929678977
1929,0.00031558520277030766
1930,0.000319844315527007
1931,0.00031075760489329696
1932,0.0003156725724693388
1933,0.0003060061135329306
1934,0.00031927420059219003
1935,0.00030241915374062955
1936,0.00030485904426313937
1937,0.0003008515923283994
1938,0.0003013860259670764
1939,0.00030408042948693037
1940,0.0003046896308660507
1941,0.0002943785802926868
1942,0.00030368720763362944
1943,0.0003009348292835057
1944,0.0003049892548006028
