,office
1800,0.00011855790944537148
1801,0.0001227816828759387
1802,0.00013878197933081537
1803,0.0001191071278299205
1804,0.00012320578389335424
1805,0.00014540468691848218
1806,0.00014578361879102886
1807,0.00013091090659145266
1808,0.0001364961062790826
1809,0.00012985317152924836
1810,0.00013619130186270922
1811,0.00014785869279876351
1812,0.0001853648864198476
1813,0.00015563800116069615
1814,0.00016294981469400227
1815,0.0001384622446494177
1816,0.0001732311793603003
1817,0.0001530708250356838
1818,0.00014884678239468485
1819,0.00015961728058755398
1820,0.00014022691175341606
1821,0.0001691591169219464
1822,0.0001499564095865935
1823,0.00015584808716084808
1824,0.00013219054380897433
1825,0.00014361462672241032
1826,0.0001508210552856326
1827,0.0001512311864644289
1828,0.0001645315787754953
1829,0.0001565425773151219
1830,0.0001637851819396019
1831,0.0001754615514073521
1832,0.00020901334937661886
1833,0.0001595105422893539
1834,0.00018534630362410098
1835,0.00017465345445089042
1836,0.00017409693100489676
1837,0.0001708710187813267
1838,0.0001759457227308303
1839,0.00017810441204346716
1840,0.00017542028217576444
1841,0.00017427206330467016
1842,0.0001709980861051008
1843,0.0001756564888637513
1844,0.000170030485605821
1845,0.00016764085739850998
1846,0.00018705226830206811
1847,0.00016864434292074293
1848,0.00016699179832357913
1849,0.0001743818138493225
1850,0.00016603412223048508
1851,0.00017473417392466217
1852,0.0001691828656475991
1853,0.0001656422537053004
1854,0.00016658111417200416
1855,0.00016363539907615632
1856,0.00017095687508117408
1857,0.00016752345254644752
1858,0.00017816846957430243
1859,0.00017429717991035432
1860,0.00017276578000746667
1861,0.00016723900625947863
1862,0.0001606135192560032
1863,0.00016047662938944995
1864,0.00015627384709659964
1865,0.00016389011580031365
1866,0.0001645044976612553
1867,0.00017647375352680683
1868,0.00021013170771766454
1869,0.00017945244326256216
1870,0.0001863348443293944
1871,0.00017787016986403614
1872,0.00021230606944300234
1873,0.0001803295745048672
1874,0.00019079878984484822
1875,0.00018188072135671973
1876,0.00019621172396000475
1877,0.00019518267072271556
1878,0.00017572706565260887
1879,0.00018724902474787086
1880,0.00018141616601496935
1881,0.00018587360682431608
1882,0.00017725041834637523
1883,0.00017114746151492
1884,0.00018528508371673524
1885,0.0001812268455978483
1886,0.00018680245557334274
1887,0.00019076831813436002
1888,0.00018672746955417097
1889,0.0001966824202099815
1890,0.00019044084183406085
1891,0.00019520708883646876
1892,0.0001902932854136452
1893,0.00019299655104987323
1894,0.00018981544417329133
1895,0.00020054250489920378
1896,0.00019077192700933665
1897,0.00019910736591555178
1898,0.00019181726383976638
1899,0.00019296526443213224
1900,0.00019078368495684117
1901,0.0002057848178083077
