,need
1800,8.851265738485381e-05
1801,8.113750664051622e-05
1802,6.99355878168717e-05
1803,6.5422042098362e-05
1804,7.141091919038445e-05
1805,7.426737283822149e-05
1806,7.552325405413285e-05
1807,7.32576590962708e-05
1808,8.877127402229235e-05
1809,7.828871457604691e-05
1810,8.048865856835619e-05
1811,8.369515126105398e-05
1812,7.587444270029664e-05
1813,6.692647002637386e-05
1814,7.03264304320328e-05
1815,7.411366095766425e-05
1816,7.59177200961858e-05
1817,7.356830610660836e-05
1818,7.365478813881055e-05
1819,7.011078560026363e-05
1820,7.63690986786969e-05
1821,7.818112499080598e-05
1822,8.4664199675899e-05
1823,8.004021947272122e-05
1824,8.585573232267052e-05
1825,8.261934999609366e-05
1826,8.021856774576008e-05
1827,7.837625162210315e-05
1828,8.469473687000573e-05
1829,8.213255205191672e-05
1830,9.268950088880956e-05
1831,8.816790068522096e-05
1832,9.104602213483304e-05
1833,8.888397132977843e-05
1834,8.523967699147761e-05
1835,9.258445061277598e-05
1836,8.654732664581388e-05
1837,8.63788663991727e-05
1838,8.897604129742831e-05
1839,9.103780030272901e-05
1840,8.607140625827014e-05
1841,8.964687731349841e-05
1842,8.857099601300433e-05
1843,9.67526066233404e-05
1844,9.596372547093779e-05
1845,9.094614506466314e-05
1846,9.288534056395292e-05
1847,9.286256681662053e-05
1848,9.577153105055913e-05
1849,9.452276572119445e-05
1850,9.706147102406248e-05
1851,9.488037903793156e-05
1852,9.548156231176108e-05
1853,9.5639523351565e-05
1854,9.408949699718505e-05
1855,9.654919267632067e-05
1856,9.54760835156776e-05
1857,9.575960575602949e-05
1858,9.651864093029872e-05
1859,9.94684814941138e-05
1860,0.00010109872528119013
1861,0.0001038158152368851
1862,0.00010695270611904562
1863,0.0001025535020744428
1864,0.00010673689394025132
1865,0.00010832557018147781
1866,0.00010831662802956998
1867,0.00010706854664022103
1868,0.000108807667857036
1869,0.000113136280560866
1870,0.00011160234862472862
1871,0.00011356946924934164
1872,0.00011004381667589769
1873,0.00011226353672100231
1874,0.00011439775698818266
1875,0.0001107810894609429
1876,0.00010934301826637238
1877,0.00011129264021292329
1878,0.00011304936924716458
1879,0.00011298796744085848
1880,0.00011184220784343779
1881,0.00011477080988697708
1882,0.00011680500028887764
1883,0.00011771555000450462
1884,0.00011880665260832757
1885,0.00011793275189120322
1886,0.00012200007040519267
1887,0.00011674916459014639
1888,0.0001195475779240951
1889,0.00011913205526070669
1890,0.00012230471475049853
1891,0.00012002139555988833
1892,0.0001246141328010708
1893,0.00012233843153808266
1894,0.00012748078734148294
1895,0.00011968079343205318
1896,0.000123601479572244
1897,0.00012115954450564459
1898,0.0001240493729710579
1899,0.00012710739974863827
1900,0.00012899113062303513
1901,0.00012268258433323354
1902,0.0001278997224289924
1903,0.00012616749154403806
1904,0.00012860137212555856
1905,0.00012740572856273502
1906,0.0001270782231586054
1907,0.00012861107825301588
1908,0.00013250359916128218
1909,0.0001347775978501886
1910,0.00013500663044396788
1911,0.00013134149776306003
1912,0.00013893186405766755
1913,0.00014160711725708097
1914,0.0001453734003007412
1915,0.0001465287059545517
1916,0.00015243752568494529
1917,0.00016107609553728253
1918,0.00017237136489711702
1919,0.00017002254026010633
1920,0.00016647700977046043
1921,0.00015911611262708902
1922,0.0001567496219649911
1923,0.00015198525215964764
1924,0.0001549471344333142
1925,0.0001474842574680224
1926,0.00015301024541258812
1927,0.00015425139281433076
1928,0.00015437512774951756
1929,0.00015385793813038617
1930,0.0001596063666511327
1931,0.00015865906607359648
1932,0.00016628408047836274
1933,0.0001602440170245245
1934,0.00016571584274061024
1935,0.00016424208297394216
1936,0.00017113989451900125
1937,0.000172487081727013
1938,0.00017960736295208335
1939,0.0001830745895858854
1940,0.00019075414456892759
1941,0.00020210309594403952
1942,0.00021774465858470649
1943,0.0002201007737312466
1944,0.00023112987400963902
1945,0.00022816791897639632
1946,0.00022011963301338255
1947,0.00022958999034017324
1948,0.00022022951452527195
1949,0.00021443811419885606
1950,0.0002124107995769009
1951,0.00022222544066607952
1952,0.00021625292720273137
1953,0.00021867142640985548
1954,0.00022187356080394238
1955,0.00023023369431030005
1956,0.00023338354367297143
1957,0.00023054290795698762
1958,0.00023854762548580766
1959,0.00023694905394222587
1960,0.00023661617888137698
1961,0.00023943974520079792
1962,0.00023450532171409577
1963,0.0002362341620028019
1964,0.00023807075922377408
1965,0.00024160607426892966
1966,0.0002489166217856109
1967,0.00025300474953837693
1968,0.00024569127708673477
1969,0.00025230401661247015
1970,0.0002535236126277596
1971,0.0002523788425605744
1972,0.0002571181394159794
1973,0.00026097975205630064
1974,0.0002728677645791322
1975,0.00027433515060693026
1976,0.0002722800418268889
1977,0.0002797494234982878
1978,0.0002785721735563129
1979,0.00027516388217918575
1980,0.00028101468342356384
1981,0.0002706641680561006
1982,0.0002731008280534297
1983,0.00027419428806751966
1984,0.0002804775722324848
1985,0.00027382513508200645
1986,0.00028138270135968924
1987,0.00027931772638112307
1988,0.00028789567295461893
1989,0.0002833710750564933
1990,0.00029453070601448417
1991,0.00029636197723448277
1992,0.00029886356787756085
1993,0.0002937816025223583
1994,0.000302494881907478
1995,0.00030059009441174567
1996,0.0003099011373706162
1997,0.0003199194325134158
1998,0.00032350613037124276
1999,0.00032991368789225817
2000,0.0003389972844161093
2001,0.000343678257195279
2002,0.00036512644146569073
2003,0.0003651668375823647
2004,0.0003690797893796116
2005,0.0003751372860278934
2006,0.00037602611701004207
2007,0.0003792590869124979
2008,0.0003833347000181675
2009,0.00041674336534924805
2010,0.0004418320895638317
2011,0.0004518123168963939
2012,0.00042894057696685195
2013,0.00042665054206736386
2014,0.0004689719353336841
2015,0.00047588517190888524
2016,0.0004492509469855577
2017,0.00043599444325082004
2018,0.00040862293099053204
2019,0.00043885211925953627
