,show
1800,6.907907663844526e-05
1801,7.02778561390005e-05
1802,3.971147089032456e-05
1803,4.986114436178468e-05
1804,5.0699480198090896e-05
1805,5.578182026511058e-05
1806,5.6786178902257234e-05
1807,5.4855689086252823e-05
1808,7.452198769897223e-05
1809,7.495858881156892e-05
1810,7.082410593284294e-05
1811,5.9357655118219554e-05
1812,5.6834272982086986e-05
1813,5.611175220110454e-05
1814,5.6226363085443154e-05
1815,6.200088682817295e-05
1816,6.686354026896879e-05
1817,7.75439475546591e-05
1818,8.696102304384112e-05
1819,7.970614387886599e-05
1820,8.49114585435018e-05
1821,9.759262320585549e-05
1822,9.723237599246204e-05
1823,0.00010698305413825437
1824,9.280280210077763e-05
1825,0.00011278946476522833
1826,0.00011134005762869492
1827,0.00010653488425305113
1828,0.0001109111326513812
1829,0.0001138811931014061
1830,0.0001212746137753129
1831,0.00011853648902615532
1832,0.00016680906992405653
1833,0.00013381797180045396
1834,0.0001366650394629687
1835,0.00014019901573192328
1836,0.00013693535584025085
1837,0.00013635552022606134
1838,0.00013901425700169057
1839,0.00013910082634538412
1840,0.00013872080307919532
1841,0.00014103128341957927
1842,0.00013942398072686046
1843,0.00014387811825145036
1844,0.0001441755739506334
1845,0.00013962671800982207
1846,0.00015232129953801632
1847,0.00014607066987082362
1848,0.00014889032172504812
1849,0.00015032516967039555
1850,0.00015364975843112916
1851,0.0001593488996149972
1852,0.00015522708417847753
1853,0.00016038943431340158
1854,0.00015808820899110287
1855,0.00016222710837610066
1856,0.00016096531180664897
1857,0.000160491734277457
1858,0.00016304056043736637
1859,0.00016373797552660108
1860,0.00016656136722303927
1861,0.0001634337822906673
1862,0.0001630966435186565
1863,0.00016170970047824085
1864,0.00017016171477735043
1865,0.0001642856077523902
1866,0.00016835174756124616
1867,0.00016798617434687912
1868,0.00017182726878672838
1869,0.00017199448484461755
1870,0.00017756754823494703
1871,0.00018129244563169777
1872,0.0001860102784121409
1873,0.00018490040383767337
1874,0.00018997906590811908
1875,0.00018918658315669745
1876,0.00019388360669836402
1877,0.00019453449931461364
1878,0.00019778487330768257
1879,0.0001993922924157232
1880,0.00019399031589273363
1881,0.00019490296836011112
1882,0.00020080267859157175
1883,0.0002006747090490535
1884,0.0002040319232037291
1885,0.00020184383902233094
1886,0.0002157372364308685
1887,0.00021153797570150346
1888,0.00021196884335950017
1889,0.00020849346765317023
1890,0.00021431301138363779
1891,0.00021342917170841247
1892,0.00021812153863720596
1893,0.00021562661277130246
1894,0.00021811079932376742
1895,0.00021410846966318786
1896,0.00022016993898432702
1897,0.00021371596085373312
1898,0.00021850795019418
1899,0.00021221922361291945
1900,0.00021357584046199918
1901,0.00021471266518346965
1902,0.00021871646458748728
1903,0.00021984153136145324
1904,0.00022445395006798208
1905,0.00023106561275199056
1906,0.0002382684324402362
1907,0.00023506541037932038
1908,0.0002411280875094235
1909,0.0002389312139712274
1910,0.0002399637014605105
1911,0.0002482756972312927
1912,0.000246261217398569
1913,0.00023979977413546294
1914,0.00024384992138948292
1915,0.0002475109067745507
1916,0.0002478311362210661
1917,0.00023421054356731474
1918,0.0002350448485231027
1919,0.00023431211593560874
1920,0.0002431500906823203
1921,0.0002469735045451671
1922,0.00024840058176778257
1923,0.0002337216428713873
1924,0.0002348092384636402
1925,0.00022426074428949505
1926,0.00022762062144465744
1927,0.00022253474162425846
1928,0.00023562900605611503
1929,0.00022156852355692536
1930,0.00022194381745066494
1931,0.0002184140612371266
1932,0.00022733812511432916
1933,0.00022011518012732267
1934,0.00021688059496227652
1935,0.0002123255981132388
1936,0.00020998726540710777
1937,0.00020588588085956872
1938,0.0002082108985632658
1939,0.00020514917559921741
1940,0.00020667293574661016
1941,0.00019039370818063617
1942,0.00019032704585697502
1943,0.00018561066826805472
1944,0.00018366756557952613
1945,0.00017803750233724713
1946,0.00018493733659852296
1947,0.00018710605218075216
1948,0.00019313496886752546
1949,0.00019426108337938786
1950,0.00019337164121679962
1951,0.00018768110021483153
1952,0.0001929151185322553
1953,0.0001909780694404617
1954,0.00019258027896285057
1955,0.0001881720672827214
1956,0.00019086712563876063
1957,0.00019291965872980654
1958,0.00018954418192151934
1959,0.0001873181900009513
1960,0.00019243785936851054
1961,0.00018527702195569873
1962,0.00018720905063673854
1963,0.00018496057600714266
1964,0.00018401142733637244
1965,0.0001782228791853413
1966,0.00018095129053108394
1967,0.00017359563207719475
