,into
1946,0.0009278705110773444
1947,0.0009278430370613933
1948,0.0009193592122755945
1949,0.0009006079635582864
1950,0.0009244747925549746
1951,0.0009155503357760608
1952,0.0009294287883676589
1953,0.0009105124627240002
1954,0.0009075900306925178
1955,0.0009206364629790187
1956,0.0009203287772834301
1957,0.0009011110523715615
1958,0.0009197508334182203
1959,0.000911631272174418
1960,0.0009109158418141305
1961,0.0009127206867560744
1962,0.0009229687275364995
1963,0.0009132765117101371
1964,0.0009127785451710224
1965,0.0009130443213507533
1966,0.0009173058206215501
1967,0.0009152702405117452
1968,0.0009302268153987825
1969,0.0009208031115122139
1970,0.0009208056726492941
1971,0.0009041188168339431
1972,0.0008951330091804266
1973,0.0008797855698503554
1974,0.0008819073555059731
1975,0.0008687234949320555
1976,0.0008557746186852455
1977,0.0008522453135810792
1978,0.0008371961303055286
1979,0.0008430026937276125
1980,0.0008509535109624267
1981,0.00084421451902017
1982,0.0008539010304957628
1983,0.0008582852315157652
1984,0.0008597473497502506
1985,0.000862033455632627
1986,0.0008702407358214259
1987,0.0008753264555707574
1988,0.0008804016979411244
1989,0.0008769918349571526
1990,0.0008883298141881824
1991,0.0008974176598712802
1992,0.0009002427104860544
1993,0.0008936853846535087
1994,0.0009085959172807634
1995,0.0009083084878511727
1996,0.0009295232594013214
1997,0.0009417194523848593
1998,0.0009573720744810998
1999,0.0009678319911472499
2000,0.0010115072363987565
2001,0.001014010631479323
2002,0.00103371636942029
2003,0.0010582688264548779
2004,0.001077728345990181
2005,0.0010909648844972253
2006,0.0011069315951317549
2007,0.001135234022513032
2008,0.0011722983326762915
2009,0.0012385325971990824
2010,0.001285256934352219
2011,0.0013438296737149358
2012,0.0012983056949451566
2013,0.0013080453500151634
2014,0.0014051080215722322
2015,0.0013847441878169775
2016,0.0013370417291298509
2017,0.001380821573548019
2018,0.0013475629966706038
2019,0.0013533384772017598
