,title
1800,9.007623157231137e-05
1801,0.00010198997188126668
1802,0.00010683365690056235
1803,8.836283814162016e-05
1804,0.00010601775284158066
1805,0.00010295143147232011
1806,0.0001087369819288142
1807,0.00011527019523782656
1808,0.00010447293607285246
1809,0.00010294069215888157
1810,0.00012013692321488634
1811,0.00012429060006979853
1812,0.0001318373833782971
1813,0.00011126392928417772
1814,0.0001156061262008734
1815,0.00011311381967971101
1816,0.00012119270832045004
1817,0.00011554214870557189
1818,0.00010635930811986327
1819,0.00011108273611171171
1820,0.00011214458936592564
1821,0.0001115825871238485
1822,0.00010725976608227938
1823,0.00011384231765987352
1824,0.00011657042341539636
1825,0.00010903304792009294
1826,0.00012019413406960666
1827,0.00011639176227618009
1828,0.00011617053678492084
1829,0.00011710707622114569
1830,0.00012199488992337137
1831,0.0001092039528884925
1832,0.00014253873087000102
1833,0.00010162151738768443
1834,0.00011766306852223352
1835,0.00010212476627202705
1836,0.00010499878408154473
1837,0.00011203524627489969
1838,0.0001087452401407063
1839,0.00010939573985524476
1840,0.0001115290287998505
1841,0.00010812870459631085
1842,0.00010757455311249942
1843,0.0001121267196140252
1844,0.00011563681619009003
1845,0.00011881725367857143
1846,0.00013165293785277754
1847,0.0001130778036895208
1848,0.00011329372500767931
1849,0.0001223052677232772
1850,0.00011688358063111082
1851,0.00012040448928019032
1852,0.00011059860116802156
1853,0.00012002889707218856
1854,0.00011319073382765055
1855,0.00011788486153818667
1856,0.00011187938798684627
1857,0.00012526132923085243
1858,0.00011564727901713923
1859,0.000129714171634987
1860,0.00011365005775587633
1861,0.00012136294390074909
1862,0.00010705464228522032
1863,0.00011054332571802661
1864,0.00010979180660797283
1865,0.0001146108697867021
1866,0.00011003023246303201
1867,0.00012478313874453306
1868,0.00011145307507831603
1869,0.00012066577619407326
1870,0.00012666832481045276
1871,0.00012642634101212025
1872,0.00011970300693064928
1873,0.00013490274432115257
1874,0.00012691733718384057
1875,0.00013033373397774994
1876,0.00013294751988723874
1877,0.00013858676538802683
1878,0.00013507012045010924
1879,0.0001469505368731916
1880,0.0001410276599926874
1881,0.00014240117161534727
1882,0.00014043963165022433
1883,0.00014315293810795993
1884,0.00013819824380334467
1885,0.00014177670527715236
1886,0.0001632215571589768
1887,0.00015987920050974935
1888,0.00015493205864913762
1889,0.0001501560618635267
1890,0.00014394943718798459
1891,0.0001511970185674727
1892,0.00014448542788159102
1893,0.000143796467455104
1894,0.00014009716687723994
1895,0.00014589801139663905
1896,0.00013482131180353463
1897,0.000140499891131185
1898,0.0001339426526101306
1899,0.00013309813220985234
1900,0.00012236730253789574
1901,0.00014390934666153044
1902,0.00013086774561088532
1903,0.00013707787729799747
1904,0.00013380438031163067
1905,0.0001407140662195161
1906,0.00015723702381365
1907,0.00013997071073390543
1908,0.0001345648488495499
1909,0.00013185841089580208
1910,0.0001395704603055492
1911,0.00013944300008006394
1912,0.00013205656432546675
1913,0.0001258364354725927
1914,0.0001277820410905406
1915,0.00013555788609664887
1916,0.00011961670679738745
1917,0.00012662567314691842
1918,0.00011635333066806197
1919,0.0001157763836090453
1920,0.00011051588080590591
1921,0.00011530442134244367
1922,0.00011695871216943488
1923,0.00011885425919899717
1924,0.00010933382873190567
1925,0.00011617266136454418
1926,0.00011713822459569201
1927,0.00012197658361401409
1928,0.00011536941019585356
1929,0.00012192529538879171
1930,0.00011223204637644812
1931,0.00012870853242930025
1932,0.0001155520003521815
1933,0.00012448996130842716
1934,0.00011077599629061297
1935,0.00013014009164180607
1936,0.00011784464004449546
1937,0.0001279367133975029
1938,0.00011418628128012642
1939,0.00013282183499541134
