,first
1800,0.0008251987746916711
1801,0.0008141618454828858
1802,0.0008353328448720276
1803,0.0007694805390201509
1804,0.0008984579471871257
1805,0.0009128453675657511
1806,0.0009079252486117184
1807,0.0009150865371339023
1808,0.0009075715788640082
1809,0.0009695080807432532
1810,0.000963861879426986
1811,0.0008930766489356756
1812,0.0009206997929140925
1813,0.0009261772502213717
1814,0.0009866569889709353
1815,0.0009623196674510837
1816,0.0009423492010682821
1817,0.000928823312278837
1818,0.0009128845995292068
1819,0.000905481749214232
1820,0.0009204269153997302
1821,0.0009235519100911915
1822,0.0009119510650634766
1823,0.0009582829079590738
1824,0.0009220699430443347
1825,0.0009291765745729208
1826,0.0009233129094354808
1827,0.0009205721435137093
1828,0.0009311626199632883
1829,0.0009356256341561675
1830,0.0009237262420356274
1831,0.0009199815103784204
1832,0.0008617606363259256
1833,0.0009164209477603436
1834,0.000905517372302711
1835,0.0009237911435775459
1836,0.0009268401772715151
1837,0.0009392966749146581
1838,0.000929188565351069
1839,0.0009538030717521906
1840,0.0009236994665116072
1841,0.0009443718590773642
1842,0.0009470529621466994
1843,0.000910991569980979
1844,0.0009152280981652439
1845,0.0009394019143655896
1846,0.0009164258372038603
1847,0.0009326277649961412
1848,0.0009256734047085047
1849,0.0009385652956552804
1850,0.0009139954345300794
1851,0.0009136427543126047
1852,0.000928273715544492
1853,0.0009191352874040604
1854,0.0009263973915949464
1855,0.0009171863202936947
1856,0.0009090395760722458
1857,0.0009192734723910689
1858,0.0009039937285706401
1859,0.0009235754259862006
1860,0.000918778998311609
1861,0.0009388363105244935
1862,0.0009305126732215285
1863,0.0009312676265835762
1864,0.000909073743969202
1865,0.0009269387228414416
1866,0.0008969404152594507
1867,0.0009131974657066166
1868,0.0009083211771212518
1869,0.0009226597612723708
1870,0.0009121123584918678
1871,0.0009193281875923276
1872,0.0009188936091959476
1873,0.000932412629481405
1874,0.0009207459515891969
1875,0.0009227757691405714
1876,0.0009268537978641689
1877,0.0009219960775226355
1878,0.0009298729710280895
1879,0.0009402643190696836
1880,0.0009295591153204441
1881,0.0009419576963409781
1882,0.0009206572431139648
1883,0.0009186464012600482
1884,0.0009081114549189806
1885,0.0009073427645489573
1886,0.0009079597657546401
1887,0.0008965894812718034
1888,0.0009000335703603923
1889,0.000905045191757381
1890,0.000919663580134511
1891,0.0009222269291058183
1892,0.0008955717785283923
1893,0.000906798173673451
1894,0.0009024537866935134
1895,0.000904058339074254
1896,0.000892777752596885
1897,0.0008889150340110064
1898,0.0008896987419575453
1899,0.0008894600905478001
1900,0.0008753087022341788
1901,0.0008767295512370765
1902,0.0008648126968182623
1903,0.0008755283197388053
1904,0.0008679369348101318
1905,0.0008751864661462605
1906,0.0008487259037792683
1907,0.0008648658986203372
1908,0.0008546136668883264
1909,0.0008583299349993467
1910,0.0008605271577835083
1911,0.0008728032116778195
1912,0.0008483750279992819
1913,0.0008448344888165593
1914,0.0008274669526144862
1915,0.0008400242077186704
1916,0.0008301811176352203
1917,0.0008410217706114054
1918,0.0008205726626329124
1919,0.0008170027867890894
1920,0.000818429107312113
1921,0.0008308456744998693
1922,0.0008322824724018574
1923,0.0008409026777371764
1924,0.0008317066240124404
1925,0.0008484505233354867
1926,0.0008460185490548611
1927,0.000854543293826282
1928,0.0008457633666694164
1929,0.0008493337663821876
1930,0.0008379632490687072
1931,0.0008437454816885293
1932,0.0008284577634185553
1933,0.0008314334554597735
1934,0.0008223412442021072
1935,0.0008311781566590071
1936,0.0008120909915305674
1937,0.0008299252367578447
1938,0.0008169885259121656
1939,0.0008050699252635241
1940,0.0008074183133430779
1941,0.0008016256033442914
1942,0.0007935679168440402
1943,0.0008002020185813308
1944,0.000797766144387424
1945,0.0007992832106538117
1946,0.0008040590910241008
1947,0.0008233503322117031
1948,0.0008061924017965794
1949,0.0007902784855104983
1950,0.0008180226432159543
1951,0.0008163789170794189
1952,0.000810159370303154
1953,0.0008103112922981381
1954,0.0008155363029800355
1955,0.0008016962674446404
1956,0.000801214249804616
1957,0.0008020751411095262
1958,0.0008030359749682248
1959,0.0008062467677518725
1960,0.0007915825699456036
1961,0.0007972820312716067
1962,0.0007934909663163126
1963,0.000783006486017257
1964,0.0007875403971411288
1965,0.0007814298151060939
1966,0.0007816496072337031
1967,0.0007762365858070552
1968,0.0007736823754385114
1969,0.0007646501180715859
1970,0.0007417126325890422
1971,0.0007324266480281949
1972,0.0007233459618873894
1973,0.0007105159456841648
1974,0.0007118656649254262
1975,0.0007064257515594363
1976,0.000700243457686156
1977,0.0006994110299274325
1978,0.0006782914279028773
1979,0.0006821439019404352
1980,0.0006988513632677495
1981,0.0006879933644086123
1982,0.0006860217545181513
1983,0.000694620655849576
1984,0.000690976157784462
1985,0.000688599597197026
1986,0.0006971476250328124
1987,0.000705250829923898
1988,0.0007038302719593048
1989,0.0006978276069276035
1990,0.0007030655397102237
1991,0.0007004090002737939
1992,0.0006990897236391902
1993,0.000698951305821538
1994,0.0007020884659141302
1995,0.0006938619771972299
1996,0.0007085493416525424
1997,0.0007202026317827404
1998,0.0007330969092436135
1999,0.0007390143582597375
2000,0.0007423750939778984
2001,0.0007486147223971784
2002,0.0007414972060360014
2003,0.0007391119725070894
2004,0.0007487716502510011
2005,0.0007471439312212169
2006,0.0007548886933363974
2007,0.0007520018261857331
2008,0.0007608403684571385
2009,0.0007666602032259107
2010,0.0007729713106527925
2011,0.0007728154305368662
2012,0.0007514083990827203
2013,0.0007707183249294758
2014,0.0007780562154948711
2015,0.0007808032678440213
2016,0.0007675406523048878
2017,0.0007589173619635403
2018,0.0007479020860046148
2019,0.0007653806242160499
