,second
1800,0.000233036233112216
1801,0.00023535586660727859
1802,0.00025533849839121103
1803,0.00022603353136219084
1804,0.0002594195830170065
1805,0.00025809576618485153
1806,0.0002515722007956356
1807,0.0002535530074965209
1808,0.00025110840215347707
1809,0.0002637911820784211
1810,0.0002570546348579228
1811,0.0002473834319971502
1812,0.00027211959240958095
1813,0.0002660445461515337
1814,0.00026585537125356495
1815,0.00027150724781677127
1816,0.00025540453498251736
1817,0.0002598893770482391
1818,0.0002520965354051441
1819,0.000257844541920349
1820,0.00024659381597302854
1821,0.0002671602996997535
1822,0.0002471519692335278
1823,0.0002542095899116248
1824,0.00024092121748253703
1825,0.0002468388120178133
1826,0.0002626153582241386
1827,0.00025870490935631096
1828,0.00027140197926200926
1829,0.0002608025388326496
1830,0.00025775053654797375
1831,0.0002596227277535945
1832,0.0002556999970693141
1833,0.0002549270575400442
1834,0.00026159544358961284
1835,0.00026219358551315963
1836,0.0002650742535479367
1837,0.0002668212400749326
1838,0.0002670900139492005
1839,0.00026638738927431405
1840,0.00025814969558268785
1841,0.000267176452325657
1842,0.000273811660008505
1843,0.00025289529003202915
1844,0.0002580945147201419
1845,0.0002629892551340163
1846,0.00026437584892846644
1847,0.00026409720885567367
1848,0.0002572081866674125
1849,0.00027795875212177634
1850,0.0002633942640386522
1851,0.00026857867487706244
1852,0.00027699736529029906
1853,0.0002740619529504329
1854,0.00027651272830553353
1855,0.0002863953122869134
1856,0.0002681392652448267
1857,0.000280931853922084
1858,0.0002725562662817538
1859,0.0002866477589122951
1860,0.0002755606546998024
1861,0.0003027958737220615
1862,0.00029194229864515364
1863,0.00030088541097939014
1864,0.00028317570104263723
1865,0.00031180118094198406
1866,0.0002860654203686863
1867,0.0003081060422118753
1868,0.0002858725201804191
1869,0.0003101390611846
1870,0.0002947640896309167
1871,0.00029800846823491156
1872,0.0002977865224238485
1873,0.0003118198656011373
1874,0.0003069842350669205
1875,0.00030761610832996666
1876,0.00030516754486598074
1877,0.0003106703225057572
1878,0.00031338565167970955
1879,0.0003151965793222189
1880,0.00030298391357064247
1881,0.0003131261037196964
1882,0.0003059184236917645
1883,0.00030394800705835223
1884,0.0003037342394236475
1885,0.000316022866172716
1886,0.000309966184431687
1887,0.00031202330137602985
