,market
1970,0.00014291760453488678
1971,0.00014531843771692365
1972,0.0001448878610972315
1973,0.000157219881657511
1974,0.0001642969873500988
1975,0.0001687730400590226
1976,0.0001635992812225595
1977,0.00016930862329900265
1978,0.00017419135838281363
1979,0.00018008249753620476
1980,0.0001881936623249203
1981,0.0001889884879346937
1982,0.00020002885139547288
1983,0.0001983502006623894
1984,0.00020108532044105232
1985,0.00020167234470136464
1986,0.00021052683587186038
1987,0.00020852696616202593
1988,0.00022150602308101952
1989,0.00021438967087306082
1990,0.00022310209169518203
1991,0.00022005938808433712
1992,0.0002286820817971602
1993,0.00022708281176164746
1994,0.00023582052381243557
1995,0.0002278728352393955
1996,0.00022595249174628407
1997,0.0002348230773350224
1998,0.00022835475101601332
1999,0.00022605292906519026
2000,0.0002197731810156256
2001,0.00022068244288675487
2002,0.00022071105195209384
2003,0.0002059032703982666
2004,0.000197037763427943
2005,0.00020360724010970443
2006,0.00019063193758483976
2007,0.00019808848446700722
2008,0.00018385067232884467
2009,0.0001737461134325713
2010,0.00016779641737230122
2011,0.00015396472008433193
2012,0.000146171820233576
2013,0.00014610105426982045
2014,0.00013630914327222854
2015,0.00014005777484271675
2016,0.00015662972873542458
2017,0.0001264456077478826
2018,0.00011556784011190757
2019,0.00012794110807590187
