,within
1800,0.0002880550455302
1801,0.00027401477564126253
1802,0.0002723576908465475
1803,0.00035189813934266567
1804,0.00024484487948939204
1805,0.0002719287876971066
1806,0.00026469011208973825
1807,0.0002728455001488328
1808,0.00029058431391604245
1809,0.0002837158099282533
1810,0.0002836581552401185
1811,0.00029500562231987715
1812,0.000281102693406865
1813,0.0002933841897174716
1814,0.00029465436819009483
1815,0.0002993186644744128
1816,0.00031568517442792654
1817,0.00031576331821270287
1818,0.00030815659556537867
1819,0.0003304420388303697
1820,0.0002990882203448564
1821,0.0003129212709609419
1822,0.000314294797135517
1823,0.0003160636988468468
1824,0.00029828675906173885
1825,0.0002972067741211504
1826,0.00032407668186351657
1827,0.00032038294011726975
1828,0.0003221587394364178
1829,0.0003332914784550667
1830,0.0003154455916956067
1831,0.00034000890445895493
1832,0.0004227333702147007
1833,0.00032660705619491637
1834,0.0003374394727870822
1835,0.00033426927984692156
1836,0.00035181036219000816
1837,0.0003414164239075035
1838,0.0003326459845993668
1839,0.0003386033058632165
1840,0.0003406232572160661
1841,0.0003412784426473081
1842,0.0003370654594618827
1843,0.00034192512976005673
1844,0.0003280338423792273
1845,0.00035569060128182173
1846,0.00035302762989886105
1847,0.0003398846019990742
1848,0.00033740143408067524
1849,0.00034333806252107024
1850,0.00034445771598257124
1851,0.00035132767516188323
1852,0.00034274367499165237
1853,0.0003312622429803014
1854,0.00034038827288895845
1855,0.00033930479548871517
1856,0.0003417502739466727
1857,0.0003391497884877026
1858,0.0003365405136719346
1859,0.0003332916530780494
1860,0.00032679265132173896
1861,0.0003393747902009636
1862,0.00034449249505996704
1863,0.00034190661972388625
1864,0.0003409240744076669
1865,0.00034078024327754974
1866,0.0003480577433947474
1867,0.000335648626787588
1868,0.0003377460816409439
1869,0.00032907832064665854
1870,0.0003364667936693877
1871,0.0003363560535944998
1872,0.00033625427749939263
1873,0.0003387552569620311
1874,0.00033337483182549477
1875,0.00032839737832546234
1876,0.0003274911141488701
1877,0.0003349175094626844
1878,0.00033605811768211424
1879,0.0003256703494116664
1880,0.0003259559452999383
1881,0.0003314809873700142
1882,0.00033383097616024315
1883,0.0003314586356282234
1884,0.0003441498556639999
1885,0.00033437073579989374
1886,0.0003435172839090228
1887,0.000344837608281523
1888,0.0003409460186958313
1889,0.00033907213946804404
1890,0.0003424922178965062
1891,0.0003373636573087424
1892,0.0003381751594133675
1893,0.0003343347634654492
1894,0.00034133708686567843
1895,0.0003543318307492882
1896,0.00033749366411939263
1897,0.0003468041541054845
1898,0.00034297019010409713
1899,0.0003290909808129072
1900,0.0003322050906717777
1901,0.00034239882370457053
1902,0.00033025650191120803
1903,0.0003431215591263026
1904,0.00034490894176997244
1905,0.00035201632999815047
1906,0.000354841526132077
1907,0.00035838980693370104
1908,0.00035074108745902777
1909,0.000357321638148278
1910,0.00035227491753175855
1911,0.0003573383728507906
1912,0.00036070935311727226
1913,0.00035607267636805773
1914,0.000367993488907814
1915,0.00037656474160030484
1916,0.00035654084058478475
1917,0.00036272549186833203
1918,0.0003513879200909287
1919,0.0003444453759584576
1920,0.0003352339845150709
1921,0.0003441062872298062
1922,0.0003423774614930153
1923,0.0003452405799180269
1924,0.00034278290695510805
1925,0.0003493360709398985
1926,0.00034480661270208657
1927,0.0003481765161268413
1928,0.0003367228782735765
1929,0.00034498225431889296
1930,0.00034038120065815747
