,policy
1985,0.00023420288925990462
1986,0.00023739620519336313
1987,0.00022908243408892304
1988,0.0002380928781349212
1989,0.00023320804757531732
1990,0.00023514403437729925
1991,0.0002319029881618917
1992,0.0002300527412444353
1993,0.00022515175805892795
1994,0.0002291919954586774
1995,0.00022220972459763288
1996,0.00022183374676387757
1997,0.00021993796690367162
1998,0.00022397228167392313
1999,0.00021993299014866352
2000,0.0002126484614564106
2001,0.00021552949328906834
2002,0.00021499603462871164
2003,0.00020403278176672757
2004,0.0001997611252591014
2005,0.0002048343449132517
2006,0.00019065836386289448
2007,0.00019354710821062326
2008,0.00017621640290599316
2009,0.00016691435303073376
2010,0.00016377840074710548
2011,0.0001385958748869598
2012,0.00013683948782272637
2013,0.00015867337060626596
2014,0.00013804524496663362
2015,0.00014588273188564926
2016,0.00016645848518237472
2017,0.00013694239896722138
2018,0.00012609419354703277
2019,0.0001388720265822485
