,available
1901,4.993664697394706e-05
1902,5.2637278713518754e-05
1903,5.4131054639583454e-05
1904,5.49472970305942e-05
1905,5.806630724691786e-05
1906,6.046251655789092e-05
1907,6.511371611850336e-05
1908,6.966309592826292e-05
1909,7.051021384540945e-05
1910,7.281084981514141e-05
1911,7.640627154614776e-05
1912,8.214411354856566e-05
1913,9.053818939719349e-05
1914,9.24166597542353e-05
1915,9.806582238525152e-05
1916,0.00010738406126620248
1917,0.00011729276593541726
1918,0.00012890093785244972
1919,0.00012924357724841684
1920,0.00012871931539848447
1921,0.00012746726861223578
1922,0.0001259967393707484
1923,0.00013137781934347004
1924,0.0001354520209133625
1925,0.00014055029896553606
1926,0.000142628705361858
1927,0.0001471552241127938
1928,0.00014937043306417763
1929,0.00015213844017125666
1930,0.00016443697677459568
1931,0.00016342430899385363
1932,0.00017540120461490005
1933,0.00017738640599418432
1934,0.0001805859210435301
1935,0.0001831989357015118
1936,0.00019707625324372202
1937,0.0001973063626792282
1938,0.00021020295389462262
1939,0.00022251853079069406
1940,0.0002374955074628815
1941,0.0002618486760184169
1942,0.0002711094857659191
1943,0.0002745961246546358
1944,0.00029266378260217607
1945,0.00029808428371325135
1946,0.0002967219625134021
1947,0.0002862958062905818
1948,0.0002944965963251889
1949,0.0002849362208507955
1950,0.00028155025211162865
1951,0.00028383982134982944
1952,0.00027567462529987097
1953,0.0002829844888765365
1954,0.0002898442617151886
1955,0.0002943795407190919
1956,0.0002997188421431929
1957,0.00029502762481570244
1958,0.0002972946676891297
1959,0.0002989592030644417
1960,0.0002958215482067317
1961,0.0002961324935313314
1962,0.00029149450710974634
1963,0.00028916887822560966
1964,0.0002927726018242538
1965,0.0002949913323391229
1966,0.00029435771284624934
1967,0.0002986037579830736
1968,0.0002836520434357226
1969,0.0002866694703698158
1970,0.00029232018277980387
1971,0.00030076614348217845
1972,0.00031538441544398665
1973,0.00032130457111634314
1974,0.0003372628416400403
1975,0.00035393008147366345
1976,0.00034628252615220845
1977,0.0003506263601593673
1978,0.000354026909917593
1979,0.00034478952875360847
1980,0.0003451332449913025
1981,0.00033791313762776554
1982,0.0003378411929588765
1983,0.00034643858089111745
1984,0.0003327534650452435
1985,0.00032947456929832697
1986,0.00032285432098433375
1987,0.0003205995017196983
1988,0.00032138495589606464
1989,0.0003010401560459286
1990,0.0003069984377361834
1991,0.0002991655492223799
1992,0.0002953509974759072
1993,0.0002959753619506955
1994,0.0002871448523364961
1995,0.00029267233912833035
1996,0.0002840167435351759
1997,0.0002833668841049075
1998,0.00027241589850746095
1999,0.0002732707653194666
2000,0.00026056880597025156
2001,0.00025906984228640795
2002,0.0002494541695341468
2003,0.0002538299886509776
2004,0.0002462640404701233
2005,0.0002457630471326411
2006,0.00023095712822396308
2007,0.00022428558440878987
2008,0.0002048360911430791
2009,0.00019862073531839997
2010,0.00019241010886617005
2011,0.00018492693197913468
2012,0.00018330193415749818
2013,0.00017658385331742465
2014,0.0001561147510074079
2015,0.00014928224845789373
2016,0.00015496932610403746
2017,0.00013417851005215198
2018,0.00012684079410973936
2019,0.00013245351146906614
