,open
1800,0.00015733377949800342
1801,0.0001456756581319496
1802,0.00014687314978800714
1803,0.00013229931937530637
1804,0.0001382713089697063
1805,0.00014081597328186035
1806,0.00014184995961841196
1807,0.0001428058894816786
1808,0.00014647914213128388
1809,0.00014790642308071256
1810,0.00014508989988826215
1811,0.0001405732473358512
1812,0.00014044939598534256
1813,0.00015090264787431806
1814,0.00013689733168575913
1815,0.0001434266596334055
1816,0.0001412808196619153
1817,0.00014324142830446362
1818,0.00014926590665709227
1819,0.000145292142406106
1820,0.0001563508849358186
1821,0.00015213254664558917
1822,0.00015191329293884337
1823,0.00014492464833892882
1824,0.00015226055984385312
1825,0.00015131960390135646
1826,0.00014745051157660782
1827,0.00015314547636080533
1828,0.00015284369874279946
1829,0.00015722359239589423
1830,0.00015495366824325174
1831,0.00015592300042044371
1832,0.0001437724567949772
1833,0.00015339160745497793
1834,0.00015438275295309722
1835,0.00015651219291612506
1836,0.00015494745457544923
1837,0.00015079860168043524
1838,0.00015885676839388907
1839,0.00016003598284441978
1840,0.00015653984155505896
1841,0.00016084506933111697
1842,0.00016158807557076216
1843,0.00015856968821026385
1844,0.00016014347784221172
1845,0.0001621070841792971
1846,0.00016142371168825775
1847,0.00016368577780667692
1848,0.00016412710829172283
1849,0.0001608831953490153
1850,0.00016426420188508928
1851,0.0001596287329448387
1852,0.00016588529979344457
1853,0.00016321655130013824
1854,0.000163694130606018
1855,0.00016367892385460436
1856,0.00016560453514102846
1857,0.00016585276171099395
1858,0.00016484540537931025
1859,0.00016773873358033597
1860,0.00016797955322545022
1861,0.0001654309598961845
1862,0.00017257785657420754
1863,0.00016882979252841324
1864,0.00016919337213039398
1865,0.00017121678683906794
1866,0.0001690534845693037
1867,0.00016966319526545703
1868,0.0001683531008893624
1869,0.00017004723486024886
1870,0.00016785408661235124
1871,0.0001679484121268615
1872,0.0001671554782660678
1873,0.00016690151824150234
1874,0.00016966053226497024
1875,0.00016587780555710196
1876,0.0001701543078524992
1877,0.0001672943471930921
1878,0.00016860976757016033
1879,0.00016567819693591446
1880,0.0001666334574110806
1881,0.0001659650297369808
1882,0.00016714730008970946
1883,0.00016818562289699912
1884,0.00017163975280709565
1885,0.00016895175212994218
1886,0.00016425411740783602
1887,0.00016731058713048697
1888,0.00016665415023453534
1889,0.00016699518891982734
1890,0.00017040513921529055
1891,0.00016885128570720553
1892,0.00017003947868943214
1893,0.00017459492664784193
1894,0.00017123519501183182
1895,0.0001724446046864614
1896,0.00017257324361708015
1897,0.00017009489238262177
1898,0.00017421942902728915
1899,0.0001777753495844081
1900,0.00017835432663559914
1901,0.00017208473582286388
1902,0.00017648565699346364
1903,0.0001768367801560089
1904,0.00017782529175747186
1905,0.0001814943680074066
1906,0.00017813104204833508
