,general
1800,0.00047335063572973013
1801,0.0005410868325270712
1802,0.0005741320783272386
1803,0.0004879954503849149
1804,0.0005578632699325681
1805,0.0006049270159564912
1806,0.0005065915756858885
1807,0.0005225950735621154
1808,0.00047531057498417795
1809,0.0005336562171578407
1810,0.0004892061115242541
1811,0.0005407662247307599
1812,0.000544154376257211
1813,0.0005533111980184913
1814,0.0005986869218759239
1815,0.0005644161137752235
1816,0.0005384196992963552
1817,0.0005515677621588111
1818,0.0005485300207510591
1819,0.0005365530960261822
1820,0.0004853265709243715
1821,0.00046165124513208866
1822,0.00048151062219403684
1823,0.0005183314788155258
1824,0.0004656077071558684
1825,0.0004655276134144515
1826,0.0004882363718934357
1827,0.0004972669994458556
1828,0.0004773245891556144
1829,0.0004907912807539105
1830,0.00046481488971039653
1831,0.00045733750448562205
1832,0.00045195588609203696
1833,0.00045824950211681426
1834,0.000467088189907372
1835,0.0004675291129387915
1836,0.0004960515070706606
1837,0.000458855414763093
1838,0.0004483234661165625
1839,0.0004494991444516927
1840,0.0004548882134258747
1841,0.00044222641736268997
1842,0.00044017238542437553
1843,0.0004286718904040754
1844,0.0004165259888395667
1845,0.00043051602551713586
1846,0.000419482501456514
1847,0.00042712947470135987
1848,0.00042157823918387294
1849,0.00041038787458091974
1850,0.00040084702777676284
1851,0.000409650121582672
1852,0.0004016950842924416
1853,0.00040388808702118695
1854,0.00041068028076551855
1855,0.0004073158197570592
1856,0.0004047974362038076
1857,0.00040170850115828216
1858,0.0003910940431524068
1859,0.0003941385948564857
1860,0.00039008137537166476
1861,0.00039425567956641316
1862,0.0003794514632318169
1863,0.00039431420736946166
1864,0.000380044017219916
1865,0.0003793559444602579
1866,0.0003859611169900745
1867,0.0003816070093307644
1868,0.0003744410059880465
1869,0.0003684801049530506
1870,0.00038680247962474823
1871,0.00037808361230418086
1872,0.00040123172220773995
1873,0.00039142504101619124
1874,0.00038607875467278063
1875,0.0003860499709844589
1876,0.00038431325810961425
1877,0.0003947347868233919
1878,0.00038319354644045234
1879,0.0003858312265947461
1880,0.00038070755545049906
1881,0.00038097368087619543
1882,0.0003770127077586949
1883,0.0003787297464441508
1884,0.00038711383240297437
1885,0.0003849409695249051
1886,0.0004010309057775885
1887,0.000393054389860481
1888,0.0003883416939061135
1889,0.00039317074697464705
1890,0.00039846132858656347
1891,0.00040857199928723276
1892,0.0003971268015448004
1893,0.0004053875745739788
1894,0.0004053724987898022
1895,0.0004132580943405628
1896,0.000407130311941728
1897,0.0004162854456808418
1898,0.0004093834140803665
1899,0.00039462666609324515
1900,0.00040470840758644044
1901,0.0004310180665925145
1902,0.00041547726141288877
1903,0.00041924905963242054
1904,0.0004166587023064494
1905,0.0004216991364955902
1906,0.000427556864451617
1907,0.00042737426701933146
1908,0.00042745357495732605
1909,0.0004418903263285756
1910,0.0004407395899761468
1911,0.00046786232269369066
1912,0.00044618206447921693
1913,0.00044672281364910305
1914,0.0004466161772143096
1915,0.00045372435124590993
1916,0.0004492760926950723
1917,0.00044499168870970607
1918,0.0004438165051396936
1919,0.00045859694364480674
1920,0.00045815896010026336
1921,0.0004639804537873715
1922,0.00046564446529373527
1923,0.0004404150531627238
1924,0.0004389532550703734
1925,0.0004386687360238284
1926,0.00045612777466885746
1927,0.00044846354285255075
1928,0.0004482140648178756
1929,0.00044340325985103846
1930,0.0004529199795797467
1931,0.00045256660087034106
1932,0.00045870867324993014
1933,0.0004530303122010082
1934,0.00043427516357041895
1935,0.00043036253191530704
1936,0.0004392894625198096
1937,0.0004388084344100207
1938,0.00044258980778977275
1939,0.00044509320287033916
1940,0.00043840770376846194
1941,0.0004350302624516189
1942,0.0004328642971813679
1943,0.00042720677447505295
1944,0.0004190312174614519
1945,0.00042652839329093695
1946,0.0004266284522600472
1947,0.0004327765782363713
1948,0.00043169097625650465
1949,0.00044050670112483203
1950,0.00042356850462965667
1951,0.00042204040801152587
1952,0.00042165329796262085
1953,0.00041172077180817723
1954,0.0004145198909100145
1955,0.00040661796811036766
1956,0.0004019240732304752
1957,0.00040857645217329264
1958,0.00040075278957374394
1959,0.000404873164370656
1960,0.00040546010131947696
1961,0.00040274669299833477
1962,0.0003946364449802786
1963,0.0003903388569597155
1964,0.0003855328541249037
1965,0.00037844778853468597
1966,0.0003788268950302154
1967,0.0003810583730228245
1968,0.0003761246334761381
1969,0.00036896782694384456
1970,0.00036332415766082704
1971,0.0003638617927208543
1972,0.00036606367211788893
1973,0.0003528134257066995
1974,0.00035118538653478026
1975,0.00035390377161093056
1976,0.00034855102421715856
1977,0.0003447411581873894
1978,0.00034046158543787897
1979,0.00033644697396084666
1980,0.000335923075908795
1981,0.00032619500416330993
1982,0.00032048404682427645
1983,0.00031678235973231494
1984,0.0003126232768408954
1985,0.0003182782093062997
1986,0.00030752658494748175
1987,0.00030692139989696443
1988,0.00030237564351409674
1989,0.00029480786179192364
1990,0.0002955501840915531
1991,0.00028846439090557396
1992,0.00028941448545083404
1993,0.00028513825964182615
1994,0.00028866875800304115
1995,0.0002837100764736533
1996,0.00027674250304698944
1997,0.00027894810773432255
1998,0.0002795106265693903
1999,0.000273282581474632
2000,0.0002629196678753942
2001,0.00026452026213519275
2002,0.00027288522687740624
2003,0.00025767265469767153
2004,0.00025173331960104406
2005,0.0002501291164662689
2006,0.00024977492284961045
2007,0.00024284044047817588
2008,0.00024172804842237383
2009,0.00022633244225289673
2010,0.00021336623467504978
2011,0.0001959728979272768
2012,0.00020801628124900162
2013,0.00021784564887639135
2014,0.0001875875605037436
2015,0.0001847833627834916
2016,0.00019380805315449834
2017,0.00018137178267352283
2018,0.00018441786232870072
2019,0.00018325034761801362
