,table
1800,8.160356082953513e-05
1801,7.205606380011886e-05
1802,8.094529039226472e-05
1803,6.924598710611463e-05
1804,7.632224878761917e-05
1805,6.468880019383505e-05
1806,7.936354813864455e-05
1807,7.625809666933492e-05
1808,7.841559272492304e-05
1809,8.065418660407886e-05
1810,7.496877515222877e-05
1811,7.283290324267e-05
1812,8.91724121174775e-05
1813,7.812868716428056e-05
1814,8.622141467640176e-05
1815,8.406755659962073e-05
1816,8.019496453925967e-05
1817,8.100032573565841e-05
1818,7.2773291321937e-05
1819,8.636884012958035e-05
1820,9.306640276918188e-05
1821,9.170488192467019e-05
1822,8.736069139558822e-05
1823,9.785594011191279e-05
1824,8.691939001437277e-05
1825,9.35724310693331e-05
1826,0.00010030024714069441
1827,9.589312685420737e-05
1828,0.00010017516615334898
1829,9.221414802595973e-05
1830,8.921985136112198e-05
1831,8.786593389231712e-05
1832,7.082564843585715e-05
1833,9.606697858544067e-05
1834,9.529533417662606e-05
1835,9.674068132881075e-05
1836,0.00010548029240453616
1837,0.00010668907634681091
1838,0.00010981733066728339
1839,0.00010619535896694288
1840,0.00010154427582165226
1841,0.00011547772737685591
1842,0.00011316889140289277
1843,0.0001030600251397118
1844,0.00010862519411602989
1845,9.482903260504827e-05
1846,0.00010199141252087429
1847,9.693852189229801e-05
1848,0.00010629223106661811
1849,0.00010792231478262693
1850,0.00010884596122195944
1851,0.00010757831478258595
1852,0.00011356061440892518
1853,0.00011018748773494735
1854,0.00011055238428525627
1855,0.00011526081652846187
1856,0.00011136962712043896
1857,0.00011327264655847102
1858,0.00010765940533019602
1859,0.00010573435429250821
1860,0.00010543210373725742
1861,0.00011126418394269422
1862,0.00010719752026489004
1863,0.00010847595694940537
1864,0.00010381839820183814
1865,0.000107125066278968
1866,0.00010417598969070241
1867,0.00011438844376243651
1868,0.00010642354027368128
1869,0.00011031419126084074
1870,0.00010691046918509528
1871,0.00010360222950112075
1872,0.00010403570922790095
1873,0.00010977649071719497
1874,0.0001091633239411749
1875,0.0001116439452744089
1876,0.00010611624747980386
1877,0.00010836697038030252
1878,0.00010543421376496553
1879,0.00010893171565840021
1880,0.00010189719614572823
1881,0.00010555095650488511
1882,0.00010233720968244597
1883,0.00010214896610705182
1884,0.00010437956370878965
1885,0.0001039101043716073
1886,9.99466356006451e-05
1887,0.00010330581426387653
1888,0.00010137262142961845
1889,0.00010706281318562105
1890,0.0001018540860968642
1891,0.00010577099601505324
1892,0.00010709067282732576
1893,0.00011158108827657998
1894,0.00010545671102590859
1895,0.00010746715270215645
1896,0.0001074371684808284
1897,0.00010823824413819239
1898,0.00010700373240979388
1899,0.00011326393723720685
1900,0.00011053442722186446
1901,0.00011099781113443896
1902,0.0001112168247345835
1903,0.00010913454025285318
1904,0.00011242555774515495
1905,0.0001135721176979132
1906,0.00010723200102802366
1907,0.00011293379793642089
1908,0.00011040855315513909
1909,0.00011429742880864069
1910,0.0001112508398364298
1911,0.00013338560529518872
1912,0.00011348530097166076
