,could
1940,0.0005836854106746614
1941,0.0005743060610257089
1942,0.0005979662528261542
1943,0.0006060322630219162
1944,0.0006142703932709992
1945,0.0006200747448019683
1946,0.0006548024830408394
1947,0.0006499123992398381
1948,0.0006335098878480494
1949,0.0005990616627968848
1950,0.0006110497051849961
1951,0.0006291890167631209
1952,0.0006410170462913811
1953,0.0006227564881555736
1954,0.0006245718104764819
1955,0.0006373898359015584
1956,0.0006466248305514455
1957,0.0006408356712199748
1958,0.0006406218162737787
1959,0.0006263278773985803
1960,0.0006405866588465869
1961,0.0006397831020876765
1962,0.0006479190778918564
1963,0.0006346480804495513
1964,0.0006360681145451963
1965,0.0006465287879109383
1966,0.0006624701782129705
1967,0.000666438601911068
1968,0.0006742564728483558
1969,0.0006816423847340047
1970,0.0006768342573195696
1971,0.000670408655423671
1972,0.000657007796689868
1973,0.0006425901083275676
1974,0.0006594910519197583
1975,0.0006482176249846816
1976,0.0006458104471676052
1977,0.0006459729047492146
1978,0.0006428419146686792
1979,0.0006424541934393346
1980,0.0006468309438787401
1981,0.0006364219589158893
1982,0.0006452584057115018
1983,0.0006376429228112102
1984,0.0006445673643611372
1985,0.0006402150611393154
1986,0.0006538645830005407
1987,0.0006547412485815585
1988,0.000662127451505512
1989,0.000650261586997658
1990,0.000657963624689728
1991,0.0006667107809334993
1992,0.0006662775413133204
1993,0.0006546893855556846
1994,0.0006608081166632473
1995,0.0006502348114736378
1996,0.000675147632136941
1997,0.0006861435249447823
1998,0.0007026763632893562
1999,0.0007175180944614112
2000,0.0007778527215123177
2001,0.000793454353697598
2002,0.0008153451490215957
2003,0.0008284254581667483
2004,0.0008474832866340876
2005,0.0008580617140978575
2006,0.0008754635928198695
2007,0.0009181688656099141
2008,0.0009686327539384365
2009,0.0010610463796183467
2010,0.001113647362217307
2011,0.0012110002571716905
2012,0.0011549482587724924
2013,0.0011458051158115268
2014,0.00133029546122998
2015,0.001270039239898324
2016,0.0012007607147097588
2017,0.0012685859110206366
2018,0.0012184953084215522
2019,0.0012956722639501095
