,c
1800,0.0004433529975358397
1801,0.00046638166531920433
1802,0.0005065977456979454
1803,0.0005964664160273969
1804,0.0005014594062231481
1805,0.0005293164867907763
1806,0.0005038520321249962
1807,0.0005583739839494228
1808,0.00046607281547039747
1809,0.0005850993911735713
1810,0.000557738181669265
1811,0.000519760069437325
1812,0.0005226711509749293
1813,0.0005582281155511737
1814,0.0005115664098411798
1815,0.0005376774352043867
1816,0.0005497048259712756
1817,0.0005609978688880801
1818,0.0005171410157345235
1819,0.0006180843338370323
1820,0.0005405916599556804
1821,0.0005548550398088992
1822,0.0005584367318078876
1823,0.0005424947012215853
1824,0.0005689588724635541
1825,0.0005432184552773833
1826,0.0005419674562290311
1827,0.0005269700195640326
1828,0.00048272579442709684
1829,0.000523199385497719
1830,0.0004988167202100158
1831,0.0004953217576257885
1832,0.000392481277231127
1833,0.0004520845250226557
1834,0.0004627216840162873
1835,0.00047675531823188066
1836,0.0004731117223855108
1837,0.0005041080294176936
1838,0.0005184927140362561
1839,0.00048383852117694914
1840,0.0005101190181449056
1841,0.0004801758041139692
1842,0.0004977448261342943
1843,0.00048155084368772805
1844,0.0004748036153614521
1845,0.0005413495237007737
1846,0.0005082692368887365
1847,0.00048366416012868285
1848,0.00044745858758687973
1849,0.0004720093565993011
1850,0.0004184071149211377
1851,0.0004417054005898535
1852,0.0004183251003269106
1853,0.0004224972799420357
1854,0.00041498427162878215
1855,0.0003886717895511538
1856,0.0004166388534940779
1857,0.0004222020215820521
1858,0.00040161958895623684
1859,0.0004069646820425987
1860,0.0003978208696935326
1861,0.0003915310662705451
1862,0.0004136691859457642
1863,0.0003948974481318146
1864,0.00035555570502765477
1865,0.00036109291249886155
1866,0.00036378990625962615
1867,0.000379298027837649
1868,0.0003447126946412027
1869,0.00034065466024912894
1870,0.00033786066342145205
1871,0.00034561188658699393
1872,0.0003352134954184294
1873,0.0003446488408371806
1874,0.00033346403506584466
1875,0.0003401803260203451
1876,0.00030457854154519737
1877,0.0003130552067887038
1878,0.00031964422669261694
1879,0.0002971598587464541
