,price
1979,0.0001859569747466594
1980,0.00018274287867825478
1981,0.00017686642240732908
1982,0.00017347656830679625
1983,0.00017285344074480236
1984,0.00016925988893490285
1985,0.00016036500164773315
1986,0.00016737941768951714
1987,0.00015897100092843175
1988,0.00015920928854029626
1989,0.00015639199409633875
1990,0.00015400568372569978
1991,0.00014921868569217622
1992,0.00014624236791860312
1993,0.0001429326948709786
1994,0.00014659408770967275
1995,0.00014692352851852775
1996,0.00013588798174168915
1997,0.0001356655702693388
1998,0.00013543126988224685
1999,0.00012699268700089306
2000,0.0001231438509421423
2001,0.00012802649871446192
2002,0.00012358653475530446
2003,0.00011721498594852164
2004,0.00011198522406630218
2005,0.00011922216071980074
2006,0.00011049062595702708
2007,0.00011739413457689807
2008,0.00011162791633978486
2009,0.00010558353824308142
2010,0.00010536654735915363
2011,9.90880944300443e-05
2012,9.074863919522613e-05
2013,9.135649452218786e-05
2014,8.319490734720603e-05
2015,8.629447256680578e-05
2016,9.20285310712643e-05
2017,7.590118184452876e-05
2018,6.729867891408503e-05
2019,7.780396117595956e-05
