,questions
1945,9.60755642154254e-05
1946,9.967315418180078e-05
1947,0.00010220642434433103
1948,9.883402526611462e-05
1949,9.606061939848587e-05
1950,9.555510769132525e-05
1951,9.89848340395838e-05
1952,9.758049418451265e-05
1953,9.78963216766715e-05
1954,0.0001019692062982358
1955,0.00010462147474754602
1956,0.00010473537986399606
1957,0.00010564974218141288
1958,0.0001036647881846875
1959,0.00010463386570336297
1960,0.00010255041706841439
1961,0.00010061253124149516
1962,9.932168904924765e-05
1963,0.00010197916708420962
1964,0.00010201046097790822
1965,0.0001015324960462749
1966,0.00010562779061729088
1967,0.00010625721188262105
1968,0.00010374699922977015
1969,0.00010925890092039481
1970,0.00010759903670987114
1971,0.0001076203552656807
1972,0.0001118554500862956
1973,0.00011184410686837509
1974,0.00011397156777093187
1975,0.00011528384493431076
1976,0.00011553360673133284
1977,0.0001197445672005415
1978,0.00011817774793598801
1979,0.00011667082435451448
1980,0.0001186926310765557
1981,0.00011211860692128539
1982,0.00011588867346290499
1983,0.00011724969954229891
1984,0.0001177120502688922
1985,0.00011175093823112547
1986,0.00011526200250955299
1987,0.00011340562195982784
1988,0.00011577769328141585
1989,0.00011427683057263494
1990,0.0001142714754678309
1991,0.00011482751142466441
1992,0.00011597227421589196
1993,0.00012006856559310108
1994,0.00011828754941234365
1995,0.00011539632396306843
1996,0.00011844844266306609
1997,0.00012325288844294846
1998,0.0001233799266628921
1999,0.0001231826317962259
2000,0.00012381358828861266
2001,0.00012417144898790866
2002,0.00012987057561986148
2003,0.00012825433805119246
2004,0.0001279395364690572
2005,0.00013098909403197467
2006,0.00012783723650500178
2007,0.00012870365753769875
2008,0.00012843434524256736
2009,0.00013417161244433373
2010,0.00013663034769706428
2011,0.0001344977063126862
2012,0.00012811197666451335
2013,0.00013535807374864817
2014,0.00014469142479356378
2015,0.0001562839315738529
2016,0.00014147463662084192
2017,0.00013045157538726926
2018,0.00012353126658126712
2019,0.00012962159235030413
