,change
1800,0.00011961351992795244
1801,0.00012173258437542245
1802,0.00011479444947326556
1803,0.00010628379823174328
1804,0.00012191537825856358
1805,0.00012034906831104308
1806,0.00011892124166479334
1807,0.00011539619299583137
1808,0.00011725348304025829
1809,0.00012466432235669345
1810,0.0001109395525418222
1811,0.00011007724242517725
1812,0.00011040991375921294
1813,0.00011174753308296204
1814,0.00011423615796957165
1815,0.00012085870548617095
1816,0.00010725974425440654
1817,0.00011866941349580884
1818,0.00012394727673381567
1819,0.00012431095819920301
1820,0.00011731414269888774
1821,0.00012407742906361818
1822,0.00013083692465443164
1823,0.0001255994284292683
1824,0.00012334022903814912
1825,0.00012318359222263098
1826,0.00012931367382407188
1827,0.00012308380973991007
1828,0.00012747551954817027
1829,0.0001361064933007583
1830,0.0001387802476529032
1831,0.00014140289567876607
1832,0.00014393577293958515
1833,0.0001487336994614452
1834,0.00014265136269386858
1835,0.0001461910578655079
1836,0.00014189939247444272
1837,0.00013339724682737142
1838,0.00013628769374918193
1839,0.00013681469135917723
1840,0.00013339042197912931
1841,0.00013712355575989932
1842,0.00014099522377364337
1843,0.00013828338705934584
1844,0.00013682743883691728
1845,0.00013202271657064557
1846,0.00014217646094039083
1847,0.0001358291192445904
1848,0.00013870176917407662
1849,0.00013811718963552266
1850,0.00014235993148759007
1851,0.0001390325924148783
1852,0.00014160496357362717
1853,0.0001411133271176368
1854,0.00013763723836746067
1855,0.00014160602586343884
1856,0.00013909919653087854
1857,0.00014020715025253594
1858,0.00014448670845013112
1859,0.00014189178182277828
1860,0.00014560608542524278
1861,0.00014261610340327024
1862,0.0001420613843947649
1863,0.00014179512800183147
1864,0.0001402871566824615
1865,0.00014288672537077218
1866,0.00014428717258851975
1867,0.00014562197611667216
1868,0.00014645732881035656
1869,0.00014749808178748935
1870,0.0001446995884180069
1871,0.0001470346178393811
1872,0.00014518495299853384
1873,0.00014709527022205293
1874,0.0001515057374490425
1875,0.00014860212104395032
1876,0.00014893908519297838
1877,0.00014936392835807055
1878,0.00014899300003889948
1879,0.00015067406638991088
1880,0.00014561017451342195
1881,0.0001469273993279785
1882,0.00014654417464043945
1883,0.00014511636982206255
1884,0.00014197090058587492
1885,0.00014710331743117422
1886,0.00014796649338677526
1887,0.0001463980443077162
1888,0.0001443931832909584
1889,0.00014529483451042324
1890,0.00015049574722070247
1891,0.000147090177051723
1892,0.00014716833538841456
1893,0.0001492326846346259
1894,0.0001507381966803223
1895,0.00014554722292814404
1896,0.00014779203047510237
1897,0.0001435639860574156
1898,0.00014314192230813205
1899,0.00013993812899570912
1900,0.00014699441089760512
1901,0.0001417702587787062
1902,0.00014097674284130335
1903,0.00014343825750984251
1904,0.00014057618682272732
1905,0.00014409922005143017
1906,0.00014594137610401958
1907,0.00014572637155652046
1908,0.0001449039118597284
1909,0.00014613299572374672
1910,0.0001450873096473515
1911,0.00014867533172946423
1912,0.00014769831614103168
1913,0.0001507865235907957
1914,0.0001510607689851895
1915,0.00015037799312267452
1916,0.00015047795022837818
1917,0.00014833077148068696
1918,0.00015111830725800246
1919,0.00014980611740611494
1920,0.00015494180843234062
1921,0.0001555881171952933
1922,0.00015928017091937363
1923,0.00015047060151118785
1924,0.00015111993707250804
1925,0.00015046984481159598
1926,0.00015612872084602714
1927,0.00015563916531391442
1928,0.0001580944226589054
1929,0.00015986367361620069
1930,0.0001606409641681239
1931,0.00016108312411233783
1932,0.00016929840785451233
1933,0.00017099091201089323
1934,0.00016974250320345163
1935,0.0001669308403506875
1936,0.00016938715998549014
1937,0.00016721506835892797
1938,0.0001709492498775944
1939,0.000175428154761903
1940,0.0001754591939970851
1941,0.00017131831555161625
1942,0.00017452635802328587
1943,0.00017292665143031627
1944,0.00017415985348634422
1945,0.00017064392159227282
1946,0.00016995755140669644
1947,0.0001746125635690987
1948,0.00017765625671017915
1949,0.00018132003606297076
1950,0.00018132835975848138
1951,0.00018219955381937325
1952,0.00018757626821752638
1953,0.00018878953414969146
1954,0.00020106062584090978
1955,0.00019524920207913965
1956,0.0001960520603461191
1957,0.000202851791982539
1958,0.00020695783314295113
1959,0.00020803026563953608
1960,0.00021675614698324353
1961,0.00022334980894811451
1962,0.00022245662694331259
1963,0.0002207556099165231
1964,0.00022732780780643225
1965,0.00022319470008369535
1966,0.00023006364062894136
1967,0.0002260305918753147
1968,0.00022965592506807297
1969,0.00023562904971186072
1970,0.0002412933827145025
1971,0.00024334444606211036
1972,0.00024497523554600775
1973,0.00024148172815330327
1974,0.00024112820392474532
1975,0.0002465828729327768
1976,0.0002426301216473803
1977,0.0002464431163389236
1978,0.0002442359400447458
1979,0.00024309131549671292
1980,0.00024949474027380347
1981,0.0002464753342792392
1982,0.00024700124049559236
1983,0.00024892418878152966
1984,0.0002470676554366946
1985,0.00024780776584520936
1986,0.0002542509464547038
1987,0.00025268117315135896
1988,0.00025382277090102434
1989,0.0002523436851333827
1990,0.00026001236983574927
1991,0.0002568224153947085
1992,0.0002645320782903582
1993,0.0002613016404211521
1994,0.00026448460994288325
1995,0.0002630965900607407
1996,0.0002652481780387461
1997,0.0002711718843784183
1998,0.00027104283799417317
1999,0.0002672928385436535
2000,0.0002664072089828551
2001,0.00026925202109850943
2002,0.00027580835740081966
2003,0.0002754981687758118
2004,0.0002759755006991327
2005,0.00028451011166907847
2006,0.00027399981627240777
2007,0.0002789786085486412
2008,0.0002750847488641739
2009,0.00028478907188400626
2010,0.00028673664201050997
2011,0.0002779663191176951
2012,0.0002815558109432459
2013,0.0002882406988646835
2014,0.0002676669682841748
2015,0.0002704945218283683
2016,0.00027808730374090374
2017,0.0002536471583880484
2018,0.0002446756698191166
2019,0.0002590911171864718
