,set
1800,0.00023876273189671338
1801,0.0002465395664330572
1802,0.00021847827883902937
1803,0.0002205094206146896
1804,0.00022515405726153404
1805,0.0002409868175163865
1806,0.00024736090563237667
1807,0.0002390612062299624
1808,0.0002776928886305541
1809,0.00026121936389245093
1810,0.00026011993759311736
1811,0.0002640466555021703
1812,0.0002473473723512143
1813,0.0002429261658107862
1814,0.00023511216568294913
1815,0.0002443307894282043
1816,0.00025810260558500886
1817,0.00024901999859139323
1818,0.00023778305330779403
1819,0.0002306359529029578
1820,0.00025223236298188567
1821,0.0002487363526597619
1822,0.0002569836797192693
1823,0.0002622069150675088
1824,0.0002645538479555398
1825,0.0002520791022107005
1826,0.00024858946562744677
1827,0.00024203298380598426
1828,0.0002396682684775442
1829,0.0002374723699176684
1830,0.0002463760902173817
1831,0.00024606261285953224
1832,0.00028343245503492653
1833,0.00023356084420811385
1834,0.00022800483566243201
1835,0.0002312009601155296
1836,0.00023197200789581984
1837,0.0002421178069198504
1838,0.00023961909755598754
1839,0.00024320234660990536
1840,0.0002422805700916797
1841,0.0002476565132383257
1842,0.00024013264919631183
1843,0.00025219423696398735
1844,0.0002568253257777542
1845,0.00024481790023855865
1846,0.0002459149109199643
1847,0.00024617495364509523
1848,0.0002459283568896353
1849,0.00025228821323253214
1850,0.000250242039328441
1851,0.0002463984419591725
1852,0.00024540492449887097
1853,0.00024966197088360786
1854,0.00024317616771440953
1855,0.0002448091108817607
1856,0.0002532882208470255
1857,0.0002580648579169065
1858,0.00025632581673562527
1859,0.000262121029663831
1860,0.0002639338781591505
1861,0.000263745168922469
1862,0.00024704873794689775
1863,0.0002615955309011042
1864,0.00026330057880841196
1865,0.0002519389090593904
1866,0.0002679015451576561
1867,0.0002790740109048784
1868,0.00028037704760208726
1869,0.0002623685577418655
1870,0.00027623100322671235
1871,0.00026730872923508286
1872,0.0002827884163707495
1873,0.00025869152159430087
1874,0.00025908416137099266
1875,0.0002611628151498735
1876,0.0002602500608190894
1877,0.0002616580459289253
1878,0.00026242455351166427
1879,0.00026022535166703165
1880,0.00026680922019295394
1881,0.0002593703393358737
1882,0.00026459706714376807
1883,0.000268007890554145
1884,0.00028361345175653696
1885,0.00028483159258030355
1886,0.000267199007794261
1887,0.00027485459577292204
1888,0.0002754265733528882
1889,0.0002684775972738862
1890,0.000275713624432683
1891,0.00026420786161907017
1892,0.00027214703732170165
1893,0.0002759250928647816
1894,0.00027110890368930995
1895,0.00027738235075958073
1896,0.0002631677489262074
1897,0.00027488431078381836
1898,0.00027177136507816613
1899,0.0002737064496614039
1900,0.0002641410974320024
1901,0.0002679301251191646
1902,0.0002657785371411592
1903,0.0002658021985553205
1904,0.0002684729406610131
1905,0.00026595944655127823
1906,0.0002640986058395356
1907,0.000261071341810748
1908,0.00025754168746061623
1909,0.00025468305102549493
1910,0.00026088618324138224
1911,0.000252038415055722
1912,0.00025519580231048167
1913,0.00024766838760115206
1914,0.0002526778553146869
1915,0.00025355222169309855
1916,0.0002475127694196999
1917,0.0002483038988430053
1918,0.000249893608270213
1919,0.0002446677244734019
1920,0.0002499605470802635
1921,0.00024640257470309734
1922,0.00025704404106363654
1923,0.00026051761233247817
1924,0.00026026859995909035
1925,0.0002606576308608055
1926,0.00026386009994894266
1927,0.00026423356030136347
1928,0.0002653403498698026
