,see
1800,0.0003747025039047003
1801,0.00038323504850268364
1802,0.00030828011222183704
1803,0.0003240498772356659
1804,0.000386990635888651
1805,0.0003521371691022068
1806,0.0003857858246192336
1807,0.00034861668245866895
1808,0.0004719241405837238
1809,0.00040739195537753403
1810,0.0004377433215267956
1811,0.00045323066296987236
1812,0.0004081249644514173
1813,0.00038574941572733223
1814,0.0003883868339471519
1815,0.0003985484945587814
1816,0.00042022651177830994
1817,0.0003933848056476563
1818,0.0003932870167773217
1819,0.00038092280738055706
1820,0.0004661680432036519
1821,0.00045736515312455595
1822,0.0004462027281988412
1823,0.0004266094765625894
1824,0.0004500442882999778
1825,0.0004474678135011345
1826,0.0004313048266340047
1827,0.0004117292701266706
1828,0.00043185471440665424
1829,0.000398489210056141
1830,0.0004258500994183123
1831,0.00043529205140657723
1832,0.00038901669904589653
1833,0.00045003576087765396
1834,0.0004285601316951215
1835,0.00042177303112111986
1836,0.00042758957715705037
1837,0.0004465885867830366
1838,0.00043150605051778257
1839,0.0004399710160214454
1840,0.00044199242256581783
1841,0.0004323796310927719
1842,0.0004401936021167785
1843,0.00045129787758924067
1844,0.000462493859231472
1845,0.0004436899907886982
1846,0.000442949531134218
1847,0.00044717127457261086
1848,0.00044532548054121435
1849,0.0004322129243519157
1850,0.0004476977919694036
1851,0.00043621816439554095
1852,0.0004398627206683159
1853,0.00046251091407611966
1854,0.00045375971239991486
1855,0.0004387388762552291
1856,0.0004497201007325202
1857,0.00046335128718055785
1858,0.00045620984747074544
1859,0.0004459090414457023
1860,0.00047677490510977805
1861,0.0004579582891892642
1862,0.0004789087688550353
1863,0.0004657192330341786
1864,0.00046489277156069875
1865,0.0004714587121270597
1866,0.0004713606904260814
1867,0.0004749489307869226
1868,0.0004751613596454263
1869,0.0004886550595983863
1870,0.0004859296604990959
1871,0.000485059164930135
1872,0.00048318691551685333
1873,0.00048625143244862556
1874,0.00048417391371913254
1875,0.0005000290693715215
1876,0.0004722089506685734
1877,0.0004659648984670639
1878,0.0004578281950671226
1879,0.0004593581543304026
1880,0.0004712091467808932
1881,0.00048302760114893317
1882,0.0004952633171342313
1883,0.0004821018083021045
1884,0.00048444877029396594
1885,0.0004668440669775009
1886,0.00048450304893776774
1887,0.00046577671309933066
1888,0.000482800678582862
1889,0.00048735435120761395
1890,0.0004818380402866751
1891,0.0004773805267177522
1892,0.0004938117344863713
1893,0.0004855343431700021
1894,0.0004766185593325645
1895,0.00046402731095440686
1896,0.0004977774224244058
1897,0.00047867224202491343
