,line
1800,0.00018038263078778982
1801,0.00015886845358181745
1802,0.00020061800023540854
1803,0.00016308395424857736
1804,0.0001406635856255889
1805,0.0001765168271958828
1806,0.00017318899335805327
1807,0.00014994500088505447
1808,0.0001272965018870309
1809,0.00018660284695215523
1810,0.00016284901357721537
1811,0.00012866810720879585
1812,0.00013823813060298562
1813,0.00016538328782189637
1814,0.0001748628419591114
1815,0.0001920264767250046
1816,0.00013106160622555763
1817,0.0001494125899625942
1818,0.00014117291721049696
1819,0.00016777760174591094
1820,0.0001287627237616107
1821,0.0001705452159512788
1822,0.00015514844562858343
1823,0.00015606681699864566
1824,0.00014025435666553676
1825,0.00015472578525077552
1826,0.0001420495827915147
1827,0.00015961032477207482
1828,0.0001529403089080006
1829,0.0001633875072002411
1830,0.00015667092520743608
1831,0.00015212094876915216
1832,0.0002323480584891513
1833,0.00015615287702530622
1834,0.00017513197963126004
1835,0.0001773547410266474
1836,0.00018408677715342492
1837,0.0001801208418328315
1838,0.00019073743897024542
1839,0.0001846885570557788
1840,0.00016859591414686292
1841,0.00018574412388261408
1842,0.00018920752336271107
1843,0.00017265808128286153
1844,0.00016052948194555938
1845,0.00021110480884090066
1846,0.00021507554629351944
1847,0.00019201320537831634
1848,0.00018586646183393896
1849,0.00017692155961412936
1850,0.00019399693701416254
1851,0.00019517872715368867
1852,0.0002138873387593776
1853,0.00020275631686672568
1854,0.00019894787692464888
1855,0.00021318467042874545
1856,0.00020701900939457119
1857,0.00021139088494237512
1858,0.0002154900721507147
1859,0.000212530474527739
1860,0.0002033595519606024
1861,0.0002232477127108723
1862,0.00024137238506227732
1863,0.00024308908905368298
1864,0.00023742238408885896
1865,0.00026179139968007803
1866,0.00026002025697380304
1867,0.00023967004381120205
1868,0.0002464318822603673
1869,0.00024125164782162756
1870,0.00024101484450511634
1871,0.00024282303638756275
1872,0.00024231724091805518
1873,0.0002625758352223784
1874,0.0002591440861579031
1875,0.0002581244916655123
1876,0.0002614468685351312
1877,0.0002700027544051409
1878,0.00028149853460490704
1879,0.0002843675028998405
1880,0.00028575363103300333
1881,0.0002850748714990914
1882,0.0003006954211741686
1883,0.00028655887581408024
1884,0.0003023070457857102
1885,0.00030306875123642385
1886,0.0003016524715349078
1887,0.0003008289204444736
1888,0.00030645038350485265
1889,0.0003233660536352545
1890,0.0003234188770875335
1891,0.00034184474498033524
1892,0.000329795409925282
1893,0.00032510393066331744
1894,0.0003198860213160515
1895,0.00032625312451273203
1896,0.00030959583818912506
1897,0.0003271726309321821
1898,0.0003267421561758965
1899,0.0003167304676026106
1900,0.00031685340218245983
1901,0.00032912814640440047
1902,0.0003318511007819325
1903,0.00034446315839886665
1904,0.000340857746778056
1905,0.0003503591869957745
1906,0.0003439407446421683
1907,0.00035603088326752186
1908,0.0003520229074638337
1909,0.0003459125873632729
1910,0.0003473601536825299
1911,0.0003522599581629038
1912,0.0003516679862514138
1913,0.00035855406895279884
1914,0.00036213546991348267
1915,0.0003810889320448041
1916,0.0003709002921823412
1917,0.0003800143313128501
1918,0.0003511922259349376
1919,0.0003568358370102942
1920,0.0003343051648698747
1921,0.00033651720150373876
1922,0.00033148707007057965
1923,0.000337615521857515
1924,0.00033586329664103687
1925,0.00033817681833170354
1926,0.00031798481359146535
1927,0.0003282410907559097
1928,0.0003286667342763394
1929,0.00032147139427252114
1930,0.0003211880102753639
1931,0.0003223894746042788
1932,0.00028762221336364746
1933,0.0003138708707410842
1934,0.0002846582792699337
1935,0.00030304360552690923
1936,0.0002891350304707885
1937,0.00029498711228370667
1938,0.00029093606281094253
1939,0.00030906283063814044
1940,0.0003030064981430769
1941,0.00030386276193894446
1942,0.000293400400551036
1943,0.0003076721332035959
1944,0.000300168787362054
1945,0.0002946878084912896
1946,0.0002881385153159499
1947,0.00030058101401664317
1948,0.0002926620654761791
1949,0.0002965979801956564
1950,0.0002822675451170653
1951,0.0002907693851739168
1952,0.0002857040090020746
1953,0.000297136401059106
1954,0.0002760103379841894
1955,0.00028440929600037634
1956,0.00027639121981337667
1957,0.00028084454243071377
1958,0.00027341023087501526
1959,0.0002807721321005374
1960,0.0002667136141099036
1961,0.0002745868405327201
1962,0.00027040892746299505
1963,0.00026845914544537663
1964,0.00026018620701506734
1965,0.0002620212617330253
1966,0.0002590168151073158
1967,0.00025897673913277686
1968,0.0002505389857105911
1969,0.00024640769697725773
1970,0.00024010997731238604
1971,0.0002510829654056579
1972,0.00024441181449219584
1973,0.0002423287369310856
