,go
1800,0.0003015914699062705
1801,0.0002495977678336203
1802,0.0002159213909180835
1803,0.0002606795751489699
1804,0.0002328932168893516
1805,0.00022427598014473915
1806,0.00023702922044321895
1807,0.00021917289996054024
1808,0.00028969545383006334
1809,0.0002569752687122673
1810,0.00023695224081166089
1811,0.0002671934780664742
1812,0.00026026414707303047
1813,0.00023881935339886695
1814,0.00024029346241150051
1815,0.00023039667576085776
1816,0.0002910441835410893
1817,0.00023792244610376656
1818,0.00023027278075460345
1819,0.0002153044188162312
1820,0.00028052699053660035
1821,0.0002655298449099064
1822,0.00024462066357955337
1823,0.0002506014716345817
1824,0.0002536833053454757
1825,0.00025663903215900064
1826,0.00024995615240186453
1827,0.0002364168467465788
1828,0.000245173170696944
1829,0.00022794654069002718
1830,0.00024797770311124623
1831,0.00024320275406353176
1832,0.00023911293828859925
1833,0.0002602467720862478
1834,0.00025139283388853073
1835,0.0002451627515256405
1836,0.00025569580611772835
1837,0.00026108609745278955
1838,0.00026057183276861906
1839,0.0002560853317845613
1840,0.0002562426379881799
1841,0.00025794675457291305
1842,0.00024819260579533875
1843,0.0002635815762914717
1844,0.00027380866231396794
1845,0.00024037180992309004
1846,0.00025420301244594157
1847,0.000249458069447428
1848,0.00025831774109974504
1849,0.00024912573280744255
1850,0.0002664542989805341
1851,0.00025430621462874115
1852,0.00027015473460778594
1853,0.00028817530255764723
1854,0.00026357578462921083
1855,0.0002653438423294574
1856,0.0002719484909903258
1857,0.00027868739562109113
1858,0.0002767510595731437
1859,0.00026617952971719205
1860,0.0002892484772019088
1861,0.00028000841848552227
1862,0.0002938223478849977
1863,0.0002819396322593093
1864,0.0002995312970597297
1865,0.00029307632939890027
1866,0.0002952963986899704
1867,0.0002969600318465382
1868,0.00030372291803359985
1869,0.00031069957185536623
1870,0.0003010367800015956
1871,0.0002948477922473103
1872,0.00032294675474986434
1873,0.00029489953885786235
1874,0.0002967758337035775
1875,0.000291871780063957
1876,0.00029258133145049214
1877,0.00028905118233524263
1878,0.0002857251965906471
1879,0.00028475254657678306
1880,0.0002809986181091517
1881,0.00028120115166530013
