,x
1960,0.0001026200843625702
1961,0.00010576316708466038
1962,0.00011262953194091097
1963,0.00011092507338616997
1964,0.00011795490718213841
1965,0.00011170146899530664
1966,0.00011346292012603953
1967,0.00011008822184521705
1968,0.00011000690574292094
1969,0.00010808141814777628
1970,0.00011241238826187328
1971,0.00011367287515895441
1972,0.00011371885921107605
1973,0.00011815200559794903
1974,0.00011644529877230525
1975,0.0001238677796209231
1976,0.00012156605225754902
1977,0.0001259945856872946
1978,0.0001240631827386096
1979,0.00012460706057026982
1980,0.00013477711763698608
1981,0.00013452579150907695
1982,0.00012644341040868312
1983,0.0001345666532870382
1984,0.00012626202078536153
1985,0.00012591187260113657
1986,0.000130405678646639
1987,0.00012743125262204558
1988,0.0001266190956812352
1989,0.00012253601744305342
1990,0.00012429093476384878
1991,0.0001213027790072374
1992,0.00012068315845681354
1993,0.0001198816898977384
1994,0.00011545975576154888
1995,0.00011336332681821659
1996,0.00011105083103757352
1997,0.00011051089677494019
1998,0.00010569710866548121
1999,9.988975943997502e-05
2000,9.630448766984046e-05
2001,9.70953842625022e-05
2002,9.298312943428755e-05
2003,9.67246523941867e-05
2004,9.437404514756054e-05
2005,9.509813389740884e-05
2006,0.00010631203622324392
2007,9.163578215520829e-05
2008,8.110280032269657e-05
2009,8.679892926011235e-05
2010,9.316001523984596e-05
2011,0.00011344381346134469
2012,0.00014342238137032837
2013,0.00012856019020546228
2014,0.0001170208997791633
2015,0.00011544393055373803
2016,0.0001453535951441154
2017,0.00015505804913118482
2018,0.00017243494221474975
2019,0.0001571025641169399
