,men
1800,0.0006721588433720171
1801,0.0007064118981361389
1802,0.0006706372951157391
1803,0.0006017513806000352
1804,0.0007439639884978533
1805,0.0007184568676166236
1806,0.0007048493134789169
1807,0.000681979232467711
1808,0.000737189082428813
1809,0.0007012357236817479
1810,0.0007340244483202696
1811,0.000694116170052439
1812,0.0007312062080018222
1813,0.0006630572024732828
1814,0.000703313562553376
1815,0.0007000143523328006
1816,0.0006726125138811767
1817,0.0006803664145991206
1818,0.0006720649544149637
1819,0.0005819819634780288
1820,0.0006664409302175045
1821,0.000599379010964185
1822,0.0006789779872633517
1823,0.0006972356932237744
1824,0.000668935535941273
1825,0.000666084117256105
1826,0.0006659814389422536
1827,0.0006623733206652105
1828,0.0006729463930241764
1829,0.0006505995406769216
1830,0.0006938793230801821
1831,0.0006610901327803731
1832,0.0004917595651932061
1833,0.0006389975314959884
1834,0.0006154150469228625
1835,0.0006313911289907992
1836,0.0006444414029829204
1837,0.0006188788684085011
1838,0.0006233988679014146
1839,0.0006629459676332772
1840,0.0006445150356739759
1841,0.000632823386695236
1842,0.0006214297609403729
1843,0.0006473004468716681
1844,0.0006885359762236476
1845,0.0006379039841704071
1846,0.0006408259505406022
1847,0.000656538235489279
1848,0.0006582248024642467
1849,0.000646536354906857
1850,0.0006486093625426292
1851,0.0006237061461433768
1852,0.0006287884898483753
1853,0.0006215897738002241
1854,0.000627819390501827
1855,0.0006522629992105067
1856,0.0006503037293441594
1857,0.0006110472604632378
1858,0.0006249766447581351
1859,0.0006290732999332249
1860,0.0006478243158198893
1861,0.0006441746954806149
1862,0.0006504979683086276
1863,0.0006811263738200068
1864,0.0006866590119898319
1865,0.0006585305090993643
1866,0.0006804608856327832
1867,0.000631869537755847
1868,0.0006235582404769957
1869,0.0006115693831816316
1870,0.0006052729440853
1871,0.0006255118059925735
1872,0.0006632143049500883
1873,0.000550754542928189
1874,0.0005499203107319772
1875,0.0005764734814874828
1876,0.0005762472283095121
1877,0.0005699050961993635
1878,0.0005361397052183747
1879,0.0005357593763619661
1880,0.0005551640642806888
1881,0.0005445239366963506
1882,0.0005489655886776745
1883,0.000556265702471137
1884,0.0005469362367875874
1885,0.0005510949995368719
1886,0.0005500555853359401
1887,0.0005625850753858685
1888,0.0005633590626530349
1889,0.0005621639429591596
1890,0.0005593392415903509
1891,0.0005725733935832977
1892,0.0005744160735048354
1893,0.000567292096093297
1894,0.0005716656451113522
1895,0.0005293574649840593
1896,0.0005491848569363356
1897,0.0005385465337894857
1898,0.0005500733968801796
1899,0.0006055573467165232
1900,0.0005889175226911902
1901,0.0005718250176869333
1902,0.0005627544014714658
1903,0.00055372976930812
1904,0.0005618913564831018
1905,0.0005300032207742333
1906,0.0005101916030980647
1907,0.0005298912874422967
1908,0.000531202822457999
1909,0.0005290777771733701
1910,0.0005280565237626433
1911,0.0005089284968562424
1912,0.0005195167032070458
1913,0.000524758012033999
1914,0.0005345189129002392
1915,0.0005297060706652701
1916,0.0006029554060660303
1917,0.000601558422204107
1918,0.0006665258551947773
1919,0.0006535036955028772
1920,0.0005921650445088744
1921,0.0005336123867891729
1922,0.0005065786535851657
1923,0.0004804204509127885
1924,0.0004983715480193496
1925,0.00046270081656984985
1926,0.00047195874503813684
1927,0.000463426171336323
1928,0.0004541013913694769
1929,0.0004429409746080637
1930,0.0004376294382382184
1931,0.000412112072808668
1932,0.0004077698686160147
1933,0.000382774363970384
1934,0.0004020188935101032
1935,0.0003934742708224803
1936,0.000408213643822819
1937,0.0003942492476198822
1938,0.0003912955871783197
1939,0.00038276740815490484
1940,0.0004012687422800809
1941,0.00041071829036809504
1942,0.0004678959376178682
1943,0.0004679429403040558
1944,0.0004579431551974267
1945,0.0004398650780785829
1946,0.0004066237306687981
1947,0.0003709660959430039
1948,0.00036085647298023105
1949,0.00032382714562118053
1950,0.0003395679232198745
1951,0.00033444276778027415
1952,0.0003502406179904938
1953,0.0003171263088006526
1954,0.0003022810269612819
1955,0.000308685761410743
1956,0.00030708027770742774
1957,0.0002891618642024696
1958,0.0002856639330275357
1959,0.00027753441827371716
1960,0.000282506545772776
1961,0.0002842307148966938
1962,0.0002828895812854171
1963,0.0002864925190806389
1964,0.00028017914155498147
1965,0.0002965988824144006
1966,0.000287294271402061
1967,0.00028927429229952395
1968,0.0003205298271495849
1969,0.00031489261891692877
1970,0.00029117308440618217
1971,0.00028149288846179843
1972,0.0002527001197449863
1973,0.00023032059834804386
1974,0.0002170532097807154
1975,0.0002065206499537453
1976,0.00020108805620111525
1977,0.00018664714298211038
1978,0.00018177961464971304
1979,0.00018113525584340096
1980,0.00018131617980543524
1981,0.0001789416855899617
1982,0.00017413785099051893
1983,0.00017634300456847996
1984,0.0001744844194035977
1985,0.00019289519696030766
1986,0.00017625124019104987
1987,0.00018034063396044075
1988,0.0001817831362131983
1989,0.00017881319217849523
1990,0.00018227669352199882
1991,0.00018437196558807045
1992,0.00018926851043943316
1993,0.00019612979667726904
1994,0.00019507967226672918
1995,0.00019650983449537307
1996,0.00020730282994918525
1997,0.00021069460490252823
1998,0.00021677774202544242
1999,0.0002207300567533821
2000,0.00023758264433126897
2001,0.0002360569778829813
2002,0.0002383656828897074
2003,0.0002492561179678887
2004,0.00026754511054605246
2005,0.00026061866083182395
2006,0.0002790855069179088
2007,0.0002837659267242998
2008,0.0003079433517996222
2009,0.0003149632248096168
2010,0.0003149009426124394
2011,0.00030792425968684256
