,food
1893,8.768922998569906e-05
1894,9.5262163085863e-05
1895,9.422255971003324e-05
1896,9.508796210866421e-05
1897,9.602690261090174e-05
1898,9.865511674433947e-05
1899,9.290852176491171e-05
1900,0.00010304414900019765
1901,9.600244811736047e-05
1902,0.00010173357441090047
1903,0.00010030512203229591
1904,9.844986925600097e-05
1905,0.00010186438885284588
1906,9.780622349353507e-05
1907,0.00010417545126983896
1908,0.00010025732626672834
1909,0.00010188236774411052
1910,0.00010282841685693711
1911,0.00010464899241924286
1912,0.00010499976633582264
1913,0.00010585039854049683
1914,0.00010830149403773248
1915,0.00010886097879847512
1916,0.00011517281382111832
1917,0.0001532804744783789
1918,0.00015866977628320456
1919,0.00013440045586321503
1920,0.00012076769780833274
1921,0.00011157611879752949
1922,0.00010581743117654696
1923,0.00010942106746369973
1924,0.00011414631444495171
1925,0.00010535254114074633
1926,0.00010700916755013168
1927,0.00011121010174974799
1928,0.00010739119170466438
1929,0.00010648624447640032
1930,0.00010877999739022925
1931,0.00011166668991791084
1932,0.0001130497403210029
1933,0.00011235650890739635
1934,0.00011164181341882795
1935,0.00011181198351550847
1936,0.00011114263907074928
1937,0.0001145120186265558
1938,0.00011730052210623398
1939,0.000122812096378766
1940,0.00012583368516061455
1941,0.00013683301222044975
1942,0.0001565462298458442
1943,0.00018740625819191337
1944,0.00016565060650464147
1945,0.00015552200784441084
1946,0.00014999562699813396
1947,0.0001433813595212996
1948,0.0001415964652551338
1949,0.00013170705642551184
1950,0.0001249152992386371
1951,0.0001316516863880679
1952,0.00012189397966722026
1953,0.00012191769201308489
1954,0.0001171640760730952
1955,0.00011666001955745742
1956,0.00011610289220698178
1957,0.0001125612689065747
1958,0.00011546232417458668
1959,0.00011485621507745236
1960,0.00011409779108362272
1961,0.0001217406170326285
1962,0.00011224547051824629
1963,0.000114904971269425
1964,0.00011312269634800032
1965,0.00011171753430971876
1966,0.00012037550914101303
1967,0.00011902424012077972
1968,0.00011910489411093295
1969,0.00012222552322782576
1970,0.00011542579886736348
1971,0.00011856570927193388
1972,0.00012097314902348444
1973,0.00013429814134724438
1974,0.00014663398906122893
1975,0.00014793904847465456
1976,0.00014215057308319956
1977,0.0001457393664168194
1978,0.00013651695917360485
1979,0.00014138185360934585
1980,0.0001351659302599728
1981,0.00013778262655250728
1982,0.00013346143532544374
1983,0.0001285867765545845
1984,0.00013396369467955083
1985,0.00012987149239052087
1986,0.00013169521116651595
1987,0.00012929641525261104
1988,0.0001325140765402466
1989,0.00013125395344104618
1990,0.00013487481919582933
1991,0.0001310452789766714
1992,0.0001295396068599075
1993,0.00012806830636691302
1994,0.00012954841076862067
1995,0.00012985974899493158
1996,0.0001277483388548717
1997,0.00013386996579356492
1998,0.00013462407514452934
1999,0.00013443442003335804
2000,0.00013924685481470078
2001,0.00013604409468825907
2002,0.00013515040336642414
2003,0.00013480537745635957
2004,0.00013673838111571968
2005,0.00014370601275004447
2006,0.00013782850874122232
2007,0.00014122507127467543
2008,0.00014289298269432038
2009,0.00015161263581831008
2010,0.0001574084599269554
2011,0.00015840819105505943
2012,0.00015401566633954644
2013,0.00015355827054008842
2014,0.00015649448323529214
2015,0.0001611326588317752
2016,0.00016200056415982544
2017,0.00015468151832465082
2018,0.00015182819333858788
2019,0.0001598074013600126
