,here
1800,0.0004661875427700579
1801,0.0004647290043067187
1802,0.00039122297312133014
1803,0.000366571475751698
1804,0.00040315804653801024
1805,0.00042978988494724035
1806,0.0004408741951920092
1807,0.00041365891229361296
1808,0.00045838922960683703
1809,0.000443540106061846
1810,0.00041906448313966393
1811,0.00043599572381936014
1812,0.0003749775351025164
1813,0.00039074564119800925
1814,0.00039245246443897486
1815,0.000385132385417819
1816,0.0003994744038209319
1817,0.0003796821692958474
1818,0.0003772078489419073
1819,0.0003676439810078591
1820,0.00038941632374189794
1821,0.00043313243077136576
1822,0.00040755976806394756
1823,0.00039239777834154665
1824,0.00040831684600561857
1825,0.0003995619190391153
1826,0.00038239950663410127
1827,0.00037570128915831447
1828,0.00039172492688521743
1829,0.000381807389203459
1830,0.0003841008001472801
1831,0.00037183944368734956
1832,0.00040971324779093266
1833,0.0003977179585490376
1834,0.00038308402872644365
1835,0.00038506730925291777
1836,0.0004013768339063972
1837,0.00041176783270202577
1838,0.000410169770475477
1839,0.0004202018026262522
1840,0.000411178421927616
1841,0.0004105024563614279
1842,0.00041024485835805535
1843,0.00042258616304025054
1844,0.0004236282256897539
1845,0.0004085975815542042
1846,0.0004038656479679048
1847,0.0004080095386598259
1848,0.00041396194137632847
1849,0.00040829507634043694
1850,0.0004129234002903104
1851,0.00040830185753293335
1852,0.0004133644688408822
1853,0.0004279601271264255
1854,0.0004092892922926694
1855,0.00039749813731759787
1856,0.0004149359301663935
1857,0.00041417550528422
1858,0.0004054211312904954
1859,0.0003926023200619966
1860,0.00040647818241268396
1861,0.00038700649747624993
1862,0.0004039627674501389
1863,0.0003943765477743
1864,0.00041041639633476734
1865,0.00041623544530011714
1866,0.00041163433343172073
1867,0.000402912002755329
1868,0.00041588462772779167
1869,0.0004097712517250329
1870,0.0004106082196813077
1871,0.00040134123992174864
1872,0.0004380529571790248
1873,0.000406843755627051
1874,0.0004262000438757241
1875,0.00041262927697971463
1876,0.0004149136075284332
1877,0.0004018120816908777
1878,0.00039941901923157275
1879,0.00040161056676879525
1880,0.00040360153070650995
1881,0.00040001864545047283
1882,0.00042336448677815497
1883,0.0004035331658087671
1884,0.00040496335714124143
1885,0.0003960102912969887
1886,0.00040119909681379795
1887,0.00038591944030486047
1888,0.0003925731871277094
1889,0.0004078641068190336
1890,0.0003980195033363998
1891,0.000394391332520172
1892,0.0003898949653375894
1893,0.00039093635859899223
1894,0.0003999624459538609
1895,0.00038236964610405266
1896,0.0003811054048128426
1897,0.0003709872835315764
1898,0.0003713617625180632
1899,0.0003967033699154854
1900,0.00038668265915475786
1901,0.0003673348401207477
1902,0.00036337776691652834
1903,0.0003593412693589926
1904,0.00036409770837053657
1905,0.00034990516724064946
1906,0.00035285070771351457
1907,0.00034468446392565966
1908,0.00034821685403585434
1909,0.0003445252659730613
1910,0.0003394733357708901
1911,0.00033863881253637373
1912,0.00033932915539480746
1913,0.0003347578167449683
1914,0.0003245290427003056
1915,0.0003147985553368926
1916,0.0003260501252952963
1917,0.0003096065775025636
1918,0.0003176481695845723
1919,0.0003200477221980691
1920,0.0003217367338947952
1921,0.0003135372535325587
1922,0.00031653227051720023
1923,0.00031304298317991197
1924,0.0003429458593018353
1925,0.0003223997191525996
1926,0.00033049192279577255
1927,0.00031752383802086115
1928,0.000326343608321622
1929,0.00033088497002609074
1930,0.0003207565168850124
1931,0.0003018124552909285
1932,0.0003137009625788778
1933,0.00030050124041736126
1934,0.0003169035189785063
1935,0.0003180596686434001
1936,0.0003048316575586796
1937,0.0002993110683746636
1938,0.0003021655429620296
1939,0.000305385299725458
1940,0.00029693281976506114
1941,0.0003052546235267073
1942,0.0003090703976340592
1943,0.0003122816560789943
1944,0.0003075286513194442
1945,0.00030759768560528755
