,use
1800,0.0003132587589789182
1801,0.0003483918262645602
1802,0.0003131709818262607
1803,0.00028907821979373693
1804,0.00031729915644973516
1805,0.0003352804633323103
1806,0.00032332888804376125
1807,0.00032690248917788267
1808,0.0003254758776165545
1809,0.0003391913487575948
1810,0.0003235583135392517
1811,0.00033925860770978034
1812,0.00030538352439180017
1813,0.0003252837050240487
1814,0.0003059340815525502
1815,0.0003028143255505711
1816,0.0003157557803206146
1817,0.00031444980413652956
1818,0.0003237814817111939
1819,0.000327702407957986
1820,0.0002921962586697191
1821,0.00030934950336813927
1822,0.0003027660713996738
1823,0.00033831398468464613
1824,0.0003156274324283004
1825,0.00030871445778757334
1826,0.0003155677404720336
1827,0.00031104806112125516
1828,0.00029724169871769845
1829,0.0003036903799511492
1830,0.00031656629289500415
1831,0.00030233507277444005
1832,0.0003507876244839281
1833,0.00028476721490733325
1834,0.00029549948521889746
1835,0.00031090487027540803
1836,0.0002963607257697731
1837,0.000307469570543617
1838,0.00029986974550411105
1839,0.00029950408497825265
1840,0.0002992471563629806
1841,0.0003001976292580366
1842,0.00029724041814915836
1843,0.0003069372323807329
1844,0.0003032031818293035
1845,0.00030352090834639966
1846,0.00030326738487929106
1847,0.00031026554643176496
1848,0.00029901909874752164
1849,0.0003038616559933871
1850,0.0003079337766394019
1851,0.00032301057945005596
1852,0.00031645907438360155
1853,0.0003070812381338328
1854,0.00031082332134246826
1855,0.000311558716930449
1856,0.0003124150389339775
1857,0.0003129035758320242
1858,0.00031367389601655304
1859,0.0003242329112254083
1860,0.0003244616964366287
1861,0.00031956718885339797
1862,0.00031775314710102975
1863,0.0003280391974840313
1864,0.00032289192313328385
1865,0.0003157681494485587
1866,0.00032530445605516434
1867,0.00033128319773823023
1868,0.00033210142282769084
1869,0.0003329266619402915
1870,0.0003398120170459151
1871,0.0003519036981742829
1872,0.00036151870153844357
1873,0.00035339462920092046
1874,0.00035951376776210964
1875,0.0003549551765900105
1876,0.00035881478106603026
1877,0.00036483266740106046
1878,0.0003710933669935912
1879,0.0003717927902471274
1880,0.0003698291548062116
1881,0.0003719402593560517
1882,0.0003765542060136795
1883,0.00037695738137699664
1884,0.00038636036333628
1885,0.00038465671241283417
1886,0.0003938675799872726
1887,0.0003986240189988166
1888,0.0003978271852247417
1889,0.00040296485531143844
1890,0.0004105486732441932
1891,0.0004050533752888441
1892,0.00041805277578532696
1893,0.00040564025403000414
1894,0.0004265636671334505
1895,0.00040994721348397434
1896,0.0004116171330679208
1897,0.00041646824683994055
1898,0.00041208683978766203
1899,0.0003982337948400527
1900,0.00040946752415038645
1901,0.00041422693175263703
1902,0.0004185885773040354
1903,0.000422151992097497
1904,0.0004302513552829623
1905,0.00044829677790403366
1906,0.000444176810560748
1907,0.00044581861584447324
1908,0.0004514769825618714
1909,0.00046761968405917287
1910,0.000461261544842273
1911,0.00046287188888527453
1912,0.0004807678342331201
1913,0.0004829454992432147
1914,0.0004890351556241512
1915,0.0005023315316066146
1916,0.000500005204230547
1917,0.000511973921675235
1918,0.0005143857561051846
1919,0.0004928713315166533
1920,0.0004951265873387456
1921,0.0004950651782564819
1922,0.0004945338587276638
1923,0.0004921079380437732
1924,0.00048697044258005917
1925,0.0004896645550616086
1926,0.0004927668487653136
1927,0.0004943484091199934
1928,0.0004922077059745789
1929,0.0004976182826794684
1930,0.0004975790507160127
1931,0.00048775182222016156
1932,0.0004898802726529539
1933,0.0004965059924870729
1934,0.00048568416968919337
1935,0.000487431010697037
1936,0.0005058689275756478
1937,0.0005017968360334635
1938,0.0005179840954951942
1939,0.0005305533413775265
1940,0.0005352621665224433
1941,0.0005531149217858911
1942,0.0005982098518870771
1943,0.0005875534261576831
1944,0.0005919043906033039
1945,0.0005814358009956777
1946,0.0005671629915013909
1947,0.000577226048335433
1948,0.0005894692149013281
1949,0.0005923259886913002
1950,0.0005721136112697423
1951,0.0005826165433973074
1952,0.0005710633704438806
1953,0.0005799222853966057
