,some
1800,0.001284588361158967
1801,0.0013839470921084285
1802,0.0012505896156653762
1803,0.0012083352776244283
1804,0.0013050321722403169
1805,0.0013243502471596003
1806,0.0013340943260118365
1807,0.0013542246306315064
1808,0.0013440479524433613
1809,0.0014328660909086466
1810,0.001371388672851026
1811,0.0013222713023424149
1812,0.001332482323050499
1813,0.0013529917923733592
1814,0.0013512407895177603
1815,0.0013532770099118352
1816,0.0013234871439635754
1817,0.0013479269109666348
1818,0.0013189803576096892
1819,0.0012937155552208424
1820,0.001336321933194995
1821,0.0013233869103714824
1822,0.0013602884719148278
1823,0.0013553061289712787
1824,0.001402774010784924
1825,0.0013342766324058175
1826,0.0013088410487398505
1827,0.0013228727038949728
1828,0.001273430185392499
1829,0.001332431798800826
1830,0.001321912743151188
1831,0.0012842747382819653
1832,0.0011077112285420299
1833,0.001311173546127975
1834,0.0013031548587605357
1835,0.0013163966359570622
1836,0.0012833363143727183
1837,0.0012976551661267877
1838,0.001304377568885684
1839,0.0012942526955157518
1840,0.0013060474302619696
1841,0.0012863501906394958
1842,0.0012993502896279097
1843,0.0012824421282857656
1844,0.0012821113923564553
1845,0.0012902743183076382
1846,0.0012505495687946677
1847,0.001274369191378355
1848,0.0012641604989767075
1849,0.0012627409305423498
1850,0.0012361700646579266
1851,0.0012390823103487492
1852,0.001246654661372304
1853,0.001257108524441719
1854,0.001240576384589076
1855,0.0012382017448544502
1856,0.0012348686577752233
1857,0.0012380481930449605
1858,0.001219460740685463
1859,0.0012139936443418264
1860,0.0012109096860513091
1861,0.001196300028823316
1862,0.0012120213359594345
1863,0.001215366879478097
1864,0.0011872847098857164
1865,0.0011958961840718985
1866,0.00116047915071249
1867,0.0011791003635153174
1868,0.0011587089393287897
1869,0.001182786887511611
1870,0.0011742135975509882
1871,0.0011772509897127748
1872,0.0011881483951583505
1873,0.0011624261969700456
1874,0.0011563168372958899
1875,0.0011690917890518904
1876,0.0011700713075697422
1877,0.0011476034997031093
1878,0.0011496648658066988
1879,0.0011296089505776763
1880,0.001149520743638277
1881,0.0011250352254137397
1882,0.0011498185340315104
